date,title,source,link
2026-07-31 01:40:41,2887 台新新光金 - 雲霄火箭直接噴向外太空 ！ 🚀🚀🚀🚀 - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/181184174
2026-07-31 01:40:41,2887 台新新光金 - 雲霄火箭直接噴向外太空 ！ 🚀🚀🚀🚀 - 股市爆料同學會 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/181184174
2026-07-31 02:36:18,台新新光金7月含息報酬率12.29%！真不愧是2887😍 - CMoney,CMoney,https://www.cmoney.tw/forum/article/181224553
2026-07-31 03:41:18,2887 台新新光金- 小心駛得萬年船- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/181190767
2026-07-31 03:41:18,2887 台新新光金- 小心駛得萬年船- 股市爆料同學會 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/181190767
2026-07-31 05:39:23,2887 台新新光金- 白日放歌須縱酒青春作伴好還鄉台新新光金第一階段劍指40 - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/181196485
2026-07-31 08:19:21,2887 台新新光金 - 除息後一直擋路的豬哥🐷買回 - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/181199589
2026-07-31 08:19:21,2887 台新新光金 - 除息後一直擋路的豬哥🐷買回 - 股市爆料同學會 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/181199589
2026-07-31 09:12:38,2887 台新新光金- 7/31 兆豐金、玉山金股價雙雙再創下新高，兆豐金盤中一度衝... - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/181223573
2026-07-31 10:10:08,2887 台新新光金- 2881、3、5、7全數於本月完成填息！今日漲幅皆為前五名！ - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/181206810
2026-07-31 10:37:55,2887 台新新光金- 簡單粗暴就填息了- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/181209538
2026-07-31 22:35:58,2887 台新新光金 - 台新新光金本週股權變化 =&gt;&gt; &gt;400... - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/181222917
