date,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
2018-08-06,0,0,0,0,0,7889922,0,0,0,0,0,13363,0
2018-08-07,0,0,0,0,0,7889922,0,0,0,0,0,14673,0
2018-08-08,0,0,0,0,0,7889922,0,0,0,0,0,15213,0
2018-08-09,0,0,0,0,0,7889922,0,0,0,0,0,15214,0
2018-08-10,0,0,0,0,0,7889922,0,0,0,0,0,17064,0
2018-08-13,0,0,0,0,0,7889922,0,0,0,0,0,18514,0
2018-08-14,0,0,0,0,0,7889922,0,0,0,0,0,19214,0
2018-08-15,0,0,0,0,0,7889922,0,0,0,0,0,19853,0
2018-08-16,0,0,0,0,0,7889922,0,0,0,0,0,20078,0
2018-08-17,0,0,0,0,0,7889922,0,0,0,0,0,20279,0
2018-08-20,0,0,0,0,0,7889922,0,0,0,0,0,21569,0
2018-08-21,0,0,0,0,0,7889922,0,0,0,0,0,22749,0
2018-08-22,0,0,0,0,0,7889922,0,0,0,0,0,23115,0
2018-08-23,0,0,0,0,0,7889922,0,0,0,0,0,22845,0
2018-08-24,0,0,0,0,0,7889922,0,0,0,0,0,22854,0
2018-08-27,0,0,0,0,0,7889922,0,0,0,0,0,22754,0
2018-08-28,0,0,0,0,0,7889922,0,0,0,0,0,22816,0
2018-08-29,0,0,0,0,0,7889922,0,0,0,0,0,23076,0
2018-08-30,0,0,0,0,0,7889922,0,0,0,0,0,23355,0
2018-08-31,0,0,0,0,0,7889922,0,0,0,0,0,23454,0
2018-09-03,0,0,0,0,0,7889922,0,0,0,0,0,23355,0
2018-09-04,0,0,0,0,0,7889922,0,0,0,0,0,23644,0
2018-09-05,0,0,0,0,0,7889922,0,0,0,0,0,25363,0
2018-09-06,0,0,0,0,0,7889922,0,0,0,0,0,24833,0
2018-09-07,0,0,0,0,0,7889922,0,0,0,0,0,24413,0
2018-09-10,0,0,0,0,0,7889922,0,0,0,0,0,24135,0
2018-09-11,0,0,0,0,0,7889922,0,0,0,0,0,23928,0
2018-09-12,0,0,0,0,0,7889922,0,0,0,0,0,23599,0
2018-09-13,0,0,0,0,0,7889922,0,0,0,0,0,23618,0
2018-09-14,0,0,0,0,0,7889922,0,0,0,0,0,23357,0
2018-09-17,0,0,0,0,0,7889922,0,0,0,0,0,23357,0
2018-09-18,0,0,0,0,0,7889922,0,0,0,0,0,22109,0
