date,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
2015-01-05,287000,1000,0,0,288000,5536203,0,0,0,0,0,82612,0
2015-01-06,288000,0,1000,1000,286000,5536203,0,0,0,0,0,80592,0
2015-01-07,286000,1000,1000,0,286000,5536203,0,0,0,0,0,78825,0
2015-01-08,286000,0,14000,0,272000,5536203,0,0,0,0,0,77711,0
2015-01-09,272000,1000,14000,0,259000,5536203,0,0,0,0,0,74744,0
2015-01-12,259000,0,6000,0,253000,5536203,0,0,0,0,0,67917,0
2015-01-13,253000,0,25000,0,228000,5536203,0,0,0,0,0,64259,0
2015-01-14,228000,0,26000,0,202000,5536203,0,0,0,0,0,58983,0
2015-01-15,202000,0,16000,0,186000,5536203,0,0,0,0,0,54990,0
2015-01-16,186000,0,26000,0,160000,5536203,0,0,0,0,0,52802,0
2015-01-19,160000,0,19000,0,141000,5536203,0,0,0,0,0,50349,0
2015-01-20,141000,0,13000,0,128000,5536203,0,0,0,0,0,49935,0
2015-01-21,128000,0,14000,0,114000,5536203,0,0,0,0,0,41462,0
2015-01-22,114000,0,3000,0,111000,5536203,0,0,0,0,0,40443,0
2015-01-23,111000,0,6000,0,105000,5536203,0,0,0,0,0,40076,0
2015-01-26,105000,0,12000,0,93000,5536203,0,0,0,0,0,34488,0
2015-01-27,93000,0,12000,0,81000,5536203,0,0,0,0,0,31548,0
2015-01-28,81000,0,3000,0,78000,5536203,0,0,0,0,0,29303,0
2015-01-29,78000,0,25000,0,53000,5536203,0,0,0,0,0,28349,0
2015-01-30,53000,0,50000,0,3000,5536203,0,0,0,0,0,26989,0
2015-02-02,3000,0,0,0,3000,5536203,0,0,0,0,0,25375,0
2015-02-03,3000,0,1000,0,2000,5536203,0,0,0,0,0,24755,0
2015-02-04,2000,0,0,0,2000,5536203,0,0,0,0,0,24342,0
2015-02-05,2000,0,0,0,2000,5536203,0,0,0,0,0,23028,0
2015-02-06,2000,0,0,0,2000,5536203,0,0,0,0,0,22924,0
2015-02-09,2000,0,0,0,2000,5536203,0,0,0,0,0,22804,0
2015-02-10,2000,0,0,0,2000,5536203,0,0,0,0,0,22170,0
2015-02-11,2000,16000,1000,0,17000,5536203,0,0,0,0,0,23990,0
2015-02-12,17000,0,4000,0,13000,5536203,0,0,0,0,0,22383,0
2015-02-13,13000,1000,11000,0,3000,5536203,0,0,0,0,0,21823,0
2015-02-24,3000,0,0,1000,2000,5536203,0,0,0,0,0,21404,0
2015-02-25,2000,0,1000,0,1000,5536203,0,0,0,0,0,20999,0
2015-02-26,1000,1000,0,0,2000,5536203,0,0,0,0,0,20639,0
2015-03-02,2000,0,0,0,2000,5536203,0,0,0,0,0,19465,0
2015-03-03,2000,0,0,0,2000,5536203,0,0,0,0,0,17265,0
2015-03-04,2000,0,0,0,2000,5536203,0,0,0,0,0,15598,0
2015-03-05,2000,0,0,0,2000,5536203,0,0,0,0,0,15170,0
2015-03-06,2000,0,0,0,2000,5536203,0,0,0,0,0,15650,0
2015-03-09,2000,7000,1000,0,8000,5536203,0,0,0,0,0,16324,0
2015-03-10,8000,0,7000,0,1000,5536203,0,0,0,0,0,16504,0
2015-03-11,1000,0,0,0,1000,5536203,0,0,0,0,0,16390,0
2015-03-12,1000,0,0,0,1000,5536203,0,0,0,0,0,15917,0
2015-03-13,1000,0,0,0,1000,5536203,0,0,0,0,0,16410,0
2015-03-16,1000,1000,0,0,2000,5536203,0,0,0,0,0,16222,0
2015-03-17,2000,4000,0,0,6000,5536203,0,0,0,0,0,16116,0
2015-03-18,6000,5000,0,0,11000,5536203,0,0,0,0,0,15916,0
2015-03-19,11000,0,0,0,11000,5536203,0,0,0,0,0,15589,0
2015-03-20,11000,6000,0,0,17000,5536203,0,0,0,0,0,15476,0
2015-03-23,17000,20000,1000,0,36000,5536203,0,0,0,0,0,17555,0
