date,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
2015-01-05,111000,20000,68000,0,63000,65678402,404000,0,0,0,404000,116724,0
2015-01-06,63000,0,49000,1000,13000,65678402,404000,0,0,0,404000,119562,0
2015-01-07,13000,2000,0,0,15000,65678402,404000,0,0,0,404000,121065,0
2015-01-08,15000,0,0,0,15000,65678402,404000,0,0,0,404000,122221,0
2015-01-09,15000,0,0,0,15000,65678402,404000,0,0,0,404000,123338,0
2015-01-12,15000,0,2000,0,13000,65678402,404000,0,0,0,404000,125175,0
2015-01-13,13000,0,0,0,13000,65678402,404000,0,0,0,404000,128379,0
2015-01-14,13000,0,3000,0,10000,65678402,404000,0,0,0,404000,128594,0
2015-01-15,10000,0,0,0,10000,65678402,404000,0,0,0,404000,128029,0
2015-01-16,10000,4000,0,0,14000,65678402,404000,0,0,0,404000,146636,0
2015-01-19,14000,0,2000,0,12000,65678402,404000,0,0,0,404000,149533,0
2015-01-20,12000,0,1000,0,11000,65678402,404000,0,0,0,404000,145874,0
2015-01-21,11000,0,0,0,11000,65678402,404000,0,0,0,404000,126863,0
2015-01-22,11000,0,0,0,11000,65678402,404000,0,0,0,404000,109393,0
2015-01-23,11000,0,0,0,11000,65678402,404000,0,0,0,404000,107285,0
2015-01-26,11000,0,0,0,11000,65678402,404000,0,0,0,404000,106450,0
2015-01-27,11000,0,0,0,11000,65678402,404000,0,0,0,404000,106150,0
2015-01-28,11000,2000,0,0,13000,65678402,404000,0,0,0,404000,106601,0
2015-01-29,13000,0,2000,0,11000,65678402,404000,0,0,0,404000,107042,0
2015-01-30,11000,0,0,0,11000,65678402,404000,0,0,0,404000,107351,0
2015-02-02,11000,0,2000,0,9000,65678402,404000,0,0,0,404000,106879,0
2015-02-03,9000,1000,0,0,10000,65678402,404000,0,0,0,404000,106084,0
2015-02-04,10000,0,0,0,10000,65678402,404000,0,0,0,404000,105632,0
2015-02-05,10000,0,1000,0,9000,65678402,404000,4000,0,0,408000,104697,0
2015-02-06,9000,0,3000,0,6000,65678402,408000,4000,0,0,412000,103899,0
2015-02-09,6000,0,0,0,6000,65678402,412000,11000,0,0,423000,103675,0
2015-02-10,6000,0,0,0,6000,65678402,423000,7000,0,0,430000,103028,0
2015-02-11,6000,0,2000,0,4000,65678402,430000,23000,0,0,453000,104995,0
2015-02-12,4000,0,3000,0,1000,65678402,453000,7000,0,0,460000,104431,0
2015-02-13,1000,0,0,0,1000,65678402,460000,13000,0,0,473000,82113,0
2015-02-24,1000,0,0,0,1000,65678402,473000,0,0,0,473000,80123,0
2015-02-25,1000,0,0,0,1000,65678402,473000,0,0,0,473000,76864,0
2015-02-26,1000,0,0,0,1000,65678402,473000,0,0,0,473000,75143,0
2015-03-02,1000,0,0,0,1000,65678402,473000,0,0,0,473000,73120,0
2015-03-03,1000,0,0,0,1000,65678402,473000,0,54000,0,419000,72471,0
2015-03-04,1000,4000,0,0,5000,65678402,419000,0,0,0,419000,73326,0
2015-03-05,5000,0,0,0,5000,65678402,419000,0,0,0,419000,69892,0
2015-03-06,5000,0,0,0,5000,65678402,419000,0,0,0,419000,70321,0
2015-03-09,5000,0,4000,0,1000,65678402,419000,17000,0,0,436000,69763,0
2015-03-10,1000,0,0,0,1000,65678402,436000,16000,0,0,452000,49178,0
2015-03-11,1000,42000,0,0,43000,65678402,452000,17000,0,0,469000,59770,0
2015-03-12,43000,20000,21000,0,42000,65678402,469000,17000,0,0,486000,65398,0
2015-03-13,42000,0,13000,0,29000,65678402,486000,25000,0,0,511000,65895,0
2015-03-16,29000,0,28000,0,1000,65678402,511000,55000,0,0,566000,70033,0
2015-03-17,1000,0,0,0,1000,65678402,566000,0,0,0,566000,69267,0
2015-03-18,1000,0,0,0,1000,65678402,566000,0,0,0,566000,69637,0
2015-03-19,1000,0,0,0,1000,65678402,566000,0,0,0,566000,70384,0
2015-03-20,1000,0,0,0,1000,65678402,566000,0,0,0,566000,71010,0
2015-03-23,1000,0,0,0,1000,65678402,566000,0,0,0,566000,71235,0
2015-03-24,1000,0,0,0,1000,65678402,566000,0,0,0,566000,71012,0
2015-03-25,1000,0,0,0,1000,65678402,566000,0,0,0,566000,71021,0
2015-03-26,1000,0,0,0,1000,65678402,566000,0,0,0,566000,71841,0
2015-03-27,1000,0,0,0,1000,65678402,566000,0,0,0,566000,72636,0
2015-03-30,1000,0,0,0,1000,65678402,566000,0,0,0,566000,74799,0
2015-03-31,1000,0,0,0,1000,65678402,566000,0,0,0,566000,75612,0
2015-04-01,1000,0,0,0,1000,65678402,566000,11000,0,0,577000,75682,0
2015-04-02,1000,0,0,0,1000,65678402,577000,0,0,0,577000,75924,0
2015-04-07,1000,0,0,0,1000,65678402,577000,0,0,0,577000,73177,0
2015-04-08,1000,0,0,0,1000,65678402,577000,0,0,0,577000,76340,0
2015-04-09,1000,0,0,0,1000,65678402,577000,25000,0,0,602000,77760,0
2015-04-10,1000,0,0,0,1000,65678402,602000,0,4000,0,598000,78523,0
2015-04-13,1000,2000,0,0,3000,65678402,598000,28000,0,0,626000,87848,0
2015-04-14,3000,0,2000,0,1000,65678402,626000,3000,0,0,629000,89063,0
2015-04-15,1000,0,0,1000,0,65678402,629000,0,0,0,629000,91163,0
2015-04-16,0,0,0,0,0,65678402,629000,16000,0,0,645000,92272,0
2015-04-17,0,0,0,0,0,65678402,645000,27000,0,0,672000,89992,0
2015-04-20,0,0,0,0,0,65678402,672000,8000,0,0,680000,89407,0
