date,regime_prev,r_0050,r_ew_index,equity_S2,equity_S3,equity_S2b
2015-01-07,False,0.001540812150936377,0.004960586629968011,1.0,1.0001136164936213,1.0
2015-01-08,False,0.023076888665467754,0.0037330107196620332,1.0,1.023193127074263,1.0
2015-01-09,False,-0.005263133076151116,0.002199625690579854,1.0,1.0178079254838677,1.0
2015-01-12,False,-0.006046871463493364,-0.0019380085125242363,1.0,1.011653371783942,1.0
2015-01-13,False,0.0030418726398908635,0.003101576742133183,1.0,1.014730692496625,1.0
2015-01-14,False,-0.005307025430703605,1.4751123202927374e-05,1.0,1.0093454909062298,1.0
2015-01-15,False,0.0030487410058968045,-0.0017170960686146985,1.0,1.0124227238934727,1.0
2015-01-16,False,-0.0045592983023462486,-0.01069435595924706,1.0,1.0078067866871685,1.0
2015-01-19,False,0.01145045178123305,-0.004338922134636047,1.0,1.0193466297029294,1.0
2015-01-20,False,0.007547158120088326,0.009257418655282068,1.0,1.0270397998964766,1.0
2015-01-21,False,0.007490625187380973,0.00033074417041634163,1.0,1.0347329700900239,1.0
2015-01-22,False,0.005204436068106055,0.006382897475900151,1.0,1.0401181716804189,1.0
2015-01-23,False,0.01627214805157373,0.0016478972349489585,1.0,1.0570431285611348,1.0
2015-01-26,False,0.0,0.00018013666155836106,1.0,1.0570431285611348,1.0
2015-01-27,False,0.0065502585678614,0.003166159737843399,1.0,1.0639670343705916,1.0
2015-01-28,False,0.0,-0.00038347304810215643,1.0,1.0639670343705916,1.0
2015-01-29,False,-0.012292083646819996,-0.0014550382922778882,1.0,1.0508886625866491,1.0
2015-01-30,False,-0.004392413174334475,-0.0018628531651255775,1.0,1.0462727253803448,1.0
2015-02-02,False,0.002205895792909196,-0.005145309062402181,1.0,1.048580693983497,1.0
2015-02-03,False,0.007336745982153614,0.0030009807154600665,1.0,1.0562738641770442,1.0
2015-02-04,False,0.010924965278120924,0.001470964982568379,1.0,1.0678136194673649,1.0
2015-02-05,False,-0.004322710814614661,0.00019928941398861255,1.0,1.0631977699865005,1.0
2015-02-06,False,-0.005065181161829746,-0.00268810846898504,1.0,1.0578124806706657,1.0
2015-02-09,False,-0.003636358208153223,-0.002468289901318088,1.0,1.053965895573892,1.0
2015-02-10,False,-0.003649629568591495,-0.003449811588929763,1.0,1.0501193104771185,1.0
2015-02-11,False,0.01098899446490309,-0.001849803985053966,1.0,1.0616590657674392,1.0
2015-02-12,False,0.0,-0.0014761960562389431,1.0,1.0616590657674392,1.0
2015-02-13,False,0.006521779008642037,0.003761264576748413,1.0,1.068582971576896,1.0
2015-02-24,False,0.01151909372249027,0.00758409047572739,1.0,1.0808920789767473,1.0
2015-02-25,False,0.007829120725585392,0.004824849905656237,1.0,1.0893545135543852,1.0
2015-02-26,False,-0.007062136428338306,0.003160311577800501,1.0,1.081661343360838,1.0
2015-03-02,False,-0.00426745139283824,0.00034422371333153734,1.0,1.0770454061545336,1.0
2015-03-03,False,-0.0014285530441235927,0.0017272549248952274,1.0,1.0755067896609123,1.0
2015-03-04,False,0.0007153391470204884,0.0019996447877899115,1.0,1.0762761417704432,1.0
2015-03-05,False,-0.0035739759969464213,0.004699865072272269,1.0,1.0724295566736695,1.0
2015-03-06,False,0.0014347016865088325,0.005249906798698412,1.0,1.0739681731672912,1.0
2015-03-09,False,-0.010028605548921155,0.000749916563031805,1.0,1.063197769986501,1.0
2015-03-10,False,-0.002170780139222339,-0.003762968927836119,1.0,1.060889801383349,1.0
2015-03-11,False,0.0014503075546727917,-0.0032406708444427945,1.0,1.0624284178769705,1.0
2015-03-12,False,0.008689325823584726,0.005198386292084578,1.0,1.0716602045641392,1.0
2015-03-13,False,-0.002871463337107194,0.002378696425875404,1.0,1.0685829715768964,1.0
2015-03-16,False,-0.007919387196101413,0.0007702210244806551,1.0,1.0601204492738183,1.0
2015-03-17,False,0.0036284415600214004,-0.001865335834427273,1.0,1.063967034370592,1.0
2015-03-18,False,0.010845970709184138,0.0026283360062095973,1.0,1.075506789660913,1.0
2015-03-19,False,0.010729597805662516,0.006058301839032554,1.0,1.0870465449512339,1.0
2015-03-20,False,-0.0014154099479617432,0.0031308062357255917,1.0,1.0855079284576123,1.0
2015-03-23,False,0.002834913160934205,-0.0002823802197616798,1.0,1.0885852491702952,1.0
2015-03-24,False,-0.0035335634941824345,-5.44049799713342e-05,1.0,1.0847386640735215,1.0
2015-03-25,False,-0.0035460938419292765,-0.005989342883452986,1.0,1.080892078976748,1.0
2015-03-26,False,-0.012099690398104546,-0.000865246049562507,1.0,1.0678136194673657,1.0
2015-03-27,False,-0.009365996663058263,-0.0036716460347617774,1.0,1.0578124806706664,1.0
2015-03-30,False,0.0007273048140281624,-0.0077818276796703945,1.0,1.058581832780197,1.0
2015-03-31,False,0.00363371538945767,0.0037377204965181043,1.0,1.0624284178769707,1.0
2015-04-01,False,-0.00579291140595084,-0.004412502327565737,1.0,1.0562738641770448,1.0
2015-04-02,False,0.01238161070484467,0.005879513445162132,1.0,1.0693522359609868,1.0
2015-04-07,False,0.0014389124250333563,0.006459287275317749,1.0,1.0708909401800482,1.0
2015-04-08,False,-0.008620741913323626,0.0001008170811991338,1.0,1.0616590657674394,1.0
2015-04-09,False,0.0014493393111554287,-0.0027007917677343007,1.0,1.0631977699865007,1.0
2015-04-10,False,0.007959417162571203,-0.0008529898138273095,1.0,1.0716602045641388,1.0
2015-04-13,True,0.0028715451964875793,0.003971487673716911,0.9990104897474811,1.0747375252768219,1.0001061974461731
2015-04-14,True,-0.005010794904968141,0.004288476582029022,0.9940046530754447,1.0693522359609866,1.0043951294534632
