sid,signal_date,entry_date,exit_date,hold_days,entry_open,exit_close,r_i,b_i,alpha_i,b_i_21d,alpha_i_21d,b_i_adj,alpha_i_adj,bench_n_entry,score,yoy,year,branch_era,status
8096,2015-11-10,2015-11-11,2015-12-09,20,23.475528,14.14551,-0.40186091709630556,0.004538395277596141,-0.4063993123739017,-0.011486957874169423,-0.39037395922213614,0.0036388981419057664,-0.4054998152382113,1567,0,2.408166,2015,False,closed
3205,2015-11-10,2015-11-11,2015-12-09,20,261.470328,258.041209,-0.017539753885190454,0.004538395277596141,-0.022078149162786595,-0.011486957874169423,-0.0060527960110210305,0.0036388981419057664,-0.02117865202709622,1567,0,2.122289,2015,False,closed
4164,2015-11-10,2015-11-11,2015-12-09,20,40.411287,41.058443,0.011589238794225921,0.004538395277596141,0.00705084351662978,-0.011486957874169423,0.023076196668395346,0.0036388981419057664,0.007950340652320155,1567,0,1.887781,2015,False,closed
4137,2015-11-10,2015-11-11,2015-12-09,20,173.543641,173.806586,-0.002909847969739242,0.004538395277596141,-0.007448243247335383,-0.011486957874169423,0.008577109904430181,0.0036388981419057664,-0.006548746111645009,1567,0,0.943016,2015,False,closed
3413,2015-11-10,2015-11-11,2015-12-09,20,43.20332,46.329876,0.06794341983440168,0.004538395277596141,0.06340502455680554,-0.011486957874169423,0.0794303777085711,0.0036388981419057664,0.06430452169249591,1567,0,0.739415,2015,False,closed
3131,2015-12-10,2015-12-11,2016-01-11,20,164.693428,146.023727,-0.11778532789359396,-0.022719206342381115,-0.09506612155121284,-0.03945638205160373,-0.07832894584199022,-0.023921972076495712,-0.09386335581709825,1583,0,0.192437,2015,False,closed
1565,2015-12-17,2015-12-18,2016-01-18,20,404.509627,376.97115,-0.07250366899049109,-0.047487153488239175,-0.02501651550225191,-0.04746107582414483,-0.025042593166346258,-0.047884939004815275,-0.02461872998567581,1595,0,0.176456,2015,False,closed
2485,2015-12-18,2015-12-21,2016-01-19,20,43.680201,49.096546,0.11957500173991877,-0.04324861487400522,0.16282361661392397,-0.037523336902112625,0.15709833864203138,-0.043861559813019646,0.1634365615529384,1591,0,0.379531,2015,False,closed
3691,2015-12-21,2015-12-22,2016-01-20,20,607.351268,521.854277,-0.1451952519195201,-0.058433147706243416,-0.08676210421327668,-0.06003134207867744,-0.08516390984084266,-0.05804255293087324,-0.08715269898864686,1595,0,0.638577,2015,False,closed
4130,2015-12-21,2015-12-22,2016-01-20,20,48.262814,50.345031,0.03871829868954592,-0.058433147706243416,0.09715144639578933,-0.06003134207867744,0.09874964076822336,-0.05804255293087324,0.09676085162041916,1595,0,0.234159,2015,False,closed
3413,2016-02-16,2016-02-17,2016-03-17,20,54.00415,58.267635,0.07452235867521274,0.06748084173023772,0.0070415169449750264,0.07095141709536246,0.003570941579850287,0.06387908681232046,0.010643271862892281,1598,2,2.368561,2016,False,closed
6206,2016-02-16,2016-02-17,2016-03-17,20,57.338775,61.125298,0.061612737987949764,0.06748084173023772,-0.005868103742287953,0.07095141709536246,-0.009338679107412692,0.06387908681232046,-0.002266348824370698,1598,0,0.316849,2016,False,closed
1227,2016-02-16,2016-02-17,2016-03-17,20,47.775189,48.356396,0.007740456844137168,0.06748084173023772,-0.05974038488610055,0.07095141709536246,-0.06321096025122529,0.06387908681232046,-0.05613862996818329,1598,0,0.179261,2016,False,closed
2228,2016-02-16,2016-02-17,2016-03-17,20,109.343507,109.641446,-0.0017002017181962804,0.06748084173023772,-0.069181043448434,0.07095141709536246,-0.07265161881355874,0.06387908681232046,-0.06557928853051674,1598,0,0.161789,2016,False,closed
3293,2016-02-17,2016-02-18,2016-03-18,20,30.624198,37.294815,0.2133967695692799,0.063809652941478,0.14958711662780189,0.07374341586850353,0.13965335370077636,0.06039342721061103,0.15300334235866886,1603,2,1.410935,2016,False,closed
4952,2016-03-17,2016-03-18,2016-04-19,20,21.781897,22.013346,0.006200750365085285,-0.012281749212474713,0.01848249957756,-0.006487117092193517,0.012687867457278802,-0.012739685839238346,0.018940436204323632,1615,2,0.348631,2016,False,closed
3016,2016-03-18,2016-03-21,2016-04-20,20,23.625122,19.450758,-0.1811167436447524,-0.026254614494097717,-0.15486212915065467,-0.021178234184012323,-0.15993850946074006,-0.02617001404891428,-0.1549467295958381,1617,2,2.710669,2016,False,closed
3552,2016-03-18,2016-03-21,2016-04-20,20,388.477689,381.818072,-0.021567855789589516,-0.026254614494097717,0.004686758704508201,-0.021178234184012323,-0.0003896216055771923,-0.02617001404891428,0.004602158259324765,1617,2,1.460319,2016,False,closed
3131,2016-03-18,2016-03-21,2016-04-20,20,191.364428,150.691152,-0.2169685559005774,-0.026254614494097717,-0.19071394140647968,-0.021178234184012323,-0.19579032171656507,-0.02617001404891428,-0.19079854185166312,1617,2,0.41733,2016,False,closed
8299,2016-03-18,2016-03-21,2016-04-20,20,164.679333,167.774809,0.0143719913626016,-0.026254614494097717,0.04062660585669932,-0.021178234184012323,0.035550225546613926,-0.02617001404891428,0.04054200541151588,1617,0,0.175004,2016,False,closed
2542,2016-04-19,2016-04-20,2016-05-19,20,17.353141,15.981352,-0.08347633716138202,-0.06016339227979872,-0.023312944881583295,-0.06862860212037492,-0.014847735041007101,-0.059272014293228814,-0.024204322868153202,1612,2,2.159886,2016,False,closed
5289,2016-04-20,2016-04-21,2016-05-20,20,63.078179,49.75037,-0.21571532593030318,-0.059553003831297135,-0.15616232209900605,-0.0565159292554408,-0.15919939667486238,-0.058546728411437265,-0.15716859751886592,1602,0,0.192664,2016,False,closed
3552,2016-04-21,2016-04-22,2016-05-23,20,418.07599,271.564404,-0.3548674781724489,-0.034343418166226214,-0.3205240600062227,-0.04294988957607815,-0.31191758859637075,-0.034543615516858917,-0.32032386265559,1600,0,0.90272,2016,False,closed
1473,2016-04-26,2016-04-27,2016-05-26,20,31.038179,31.493035,0.01022972571699511,-0.022747128238314374,0.032976853955309485,-0.025432051828065405,0.035661777545060516,-0.023346588540140933,0.033576314257136045,1601,0,0.226521,2016,False,closed
2379,2016-04-27,2016-04-28,2016-05-27,20,58.596478,56.836629,-0.03445835797759032,-0.012400037548719878,-0.022058320428870445,-0.018092451563291423,-0.0163659064142989,-0.013287996403473223,-0.0211703615741171,1600,0,0.349999,2016,False,closed
4105,2016-06-01,2016-06-02,2016-07-01,20,69.805617,69.208988,-0.012972005608445457,0.019870189224286294,-0.03284219483273175,0.013610384326017133,-0.02658238993446259,0.02240405163909176,-0.035376057247537215,1609,0,0.310296,2016,False,closed
4916,2016-06-04,2016-06-06,2016-07-06,20,35.99535,32.646949,-0.09744815437966302,0.017318108478850736,-0.11476626285851375,0.01401558338173503,-0.11146373776139805,0.021817848677654794,-0.11926600305731781,1507,2,0.917506,2016,False,closed
6414,2016-06-06,2016-06-07,2016-07-07,20,297.598648,284.696947,-0.047777686871077404,0.017349718405394565,-0.06512740527647197,0.02103962720530106,-0.06881731407637846,0.022716616192847594,-0.070494303063925,1603,0,0.246487,2016,False,closed
2489,2016-06-07,2016-06-08,2016-07-11,20,15.889257,18.367037,0.15151558299894063,0.0197970064999331,0.13171857649900753,0.02022919015511193,0.1312863928438287,0.02618267458457635,0.12533290841436429,1606,2,0.656736,2016,False,closed
5434,2016-06-08,2016-06-13,2016-07-12,20,37.453437,39.062547,0.03853794623107633,0.03475621556010666,0.0037817306709696658,0.021019959738621363,0.017517986492454965,0.04156855925772285,-0.0030306130266465198,1612,2,0.396009,2016,False,closed
2542,2016-07-01,2016-07-04,2016-08-02,20,18.347689,19.20658,0.042386944545168684,0.029565265483056713,0.01282167906211197,0.03428075087288085,0.008106193672287834,0.043696927713081424,-0.00130998316791274,1622,2,2.31088,2016,False,closed
3520,2016-07-06,2016-07-07,2016-08-05,20,198.581601,212.70296,0.06668611466968168,0.03751570894076095,0.029170405728920726,0.04131111384668751,0.025375000822994168,0.05079243809899947,0.015893676570682205,1611,2,0.93987,2016,False,closed
2439,2016-07-07,2016-07-11,2016-08-08,20,42.757481,64.362693,0.5008716520642317,0.03716084915817097,0.4637108029060607,0.04009639365288575,0.4607752584113459,0.049725457433240416,0.45114619463099126,1611,2,0.331063,2016,False,closed
4157,2016-07-11,2016-07-12,2016-08-09,20,30.3,28.9,-0.05062962046204632,0.028739308806284836,-0.07936892926833115,0.02997298576498464,-0.08060260622703096,0.041080297486899564,-0.09170991794894588,1616,2,5.012658,2016,False,closed
6414,2016-07-12,2016-07-13,2016-08-10,20,303.285407,309.48156,0.016005105956268376,0.023768746827897314,-0.007763640871628938,0.027807001934151865,-0.01180189597788349,0.03554799130787778,-0.019542885351609404,1623,0,0.400605,2016,False,closed
3035,2016-08-02,2016-08-03,2016-08-31,20,28.850167,25.606903,-0.1168425121759261,0.0014882988360243044,-0.11833081101195041,0.0008329048040836007,-0.1176754169800097,0.011612863386922578,-0.1284553755628487,1614,2,0.182853,2016,False,closed
6279,2016-08-05,2016-08-08,2016-09-05,20,91.145405,95.342891,0.04162763424963657,-0.013620416214849107,0.05524805046448568,-0.011166925930036764,0.052794560179673336,-0.004009112794406189,0.04563674704404276,1624,2,0.236214,2016,False,closed
3324,2016-08-08,2016-08-09,2016-09-06,20,84.52716,82.190003,-0.032074775527771035,-0.0020756856181500805,-0.029999089909620955,-0.008991627011751602,-0.023083148516019433,0.006656157235996885,-0.03873093276376792,1624,2,0.876636,2016,False,closed
3526,2016-08-09,2016-08-10,2016-09-07,20,46.824342,64.741052,0.37821166363960856,0.0029411863341461952,0.37527047730546237,0.0020322593082608975,0.37617940433134767,0.011389025672893682,0.3668226379667149,1618,0,0.257408,2016,False,closed
2542,2016-08-10,2016-08-11,2016-09-08,20,19.515741,19.187258,-0.02125669498918835,0.01521433160449126,-0.03647102659367961,0.007724263528078756,-0.028980958517267105,0.02302682310633486,-0.04428351809552321,1630,2,15.956704,2016,False,closed
4105,2016-08-31,2016-09-01,2016-10-04,20,71.083533,83.70009,0.1730641661617326,0.014212674294415306,0.15885149186731728,0.011418304488979514,0.16164586167275308,0.015097523547185743,0.15796664261454685,1613,0,0.343614,2016,False,closed
6510,2016-09-05,2016-09-06,2016-10-07,20,1006.150825,945.69541,-0.06451083752838448,0.011689304044556925,-0.0762001415729414,0.01643686431894964,-0.08094770184733412,0.012428338982080955,-0.07693917651046543,1614,0,0.562258,2016,False,closed
5243,2016-09-06,2016-09-07,2016-10-11,20,30.100182,30.100182,-0.004425,-0.011575891832154572,0.007150891832154572,-0.007507054404532698,0.003082054404532698,-0.010139078672002477,0.005714078672002477,1625,0,0.262386,2016,False,closed
6269,2016-09-07,2016-09-08,2016-10-12,20,55.893059,59.606003,0.06200442909959526,-0.01723926328875902,0.07924369238835428,-0.012552427678749867,0.07455685677834513,-0.016252512366162764,0.07825694146575803,1633,2,0.523129,2016,False,closed
5522,2016-09-08,2016-09-09,2016-10-13,20,18.000594,17.063063,-0.05650833680544097,-0.020629151574300675,-0.035879185231140295,-0.02072918651159561,-0.03577915029384536,-0.0195743736798889,-0.03693396312555207,1625,2,1.447009,2016,False,closed
2548,2016-10-05,2016-10-06,2016-11-04,20,22.762781,22.721841,-0.006223550010211786,-0.05210166875432076,0.04587811874410898,-0.049851992888012675,0.04362844287780089,-0.05147210096294941,0.04524855095273762,1615,2,0.578382,2016,False,closed
9911,2016-10-07,2016-10-11,2016-11-08,20,25.317706,21.01185,-0.1744979126090651,-0.02772094471632991,-0.1467769678927352,-0.0461695110727709,-0.1283284015362942,-0.028563928646581083,-0.14593398396248403,1621,0,0.150182,2016,False,closed
8114,2016-10-11,2016-10-12,2016-11-09,20,124.275725,116.074788,-0.07041485441444816,-0.05662510924737485,-0.013789745167073306,-0.05755713770558968,-0.012857716708858477,-0.05653074368338862,-0.013884110731059537,1626,2,0.519155,2016,False,closed
9939,2016-10-12,2016-10-13,2016-11-10,20,31.919043,31.981629,-0.0024642269279501073,-0.026956415431287684,0.024492188503337578,-0.030411831664115763,0.027947604736165657,-0.027827180925033668,0.025362953997083562,1619,2,0.196302,2016,False,closed
5398,2016-10-18,2016-10-19,2016-11-16,20,46.465237,40.981762,-0.12243741861738487,-0.027606385308705295,-0.09483103330867958,-0.02324605813761571,-0.09919136047976916,-0.028738543470978928,-0.09369887514640594,1616,2,0.573676,2016,False,closed
2002,2016-12-08,2016-12-09,2017-01-09,20,18.584991,17.787974,-0.047309981757591366,0.016089807989446925,-0.06339978974703829,0.017382958405024018,-0.06469294016261538,0.01484507722258388,-0.062155058980175246,1633,0,0.232229,2016,False,closed
2882,2016-12-12,2016-12-13,2017-01-11,20,31.328259,31.106073,-0.011517191110907309,0.015447503520074068,-0.026964694630981376,0.01768508166383609,-0.029202272774743396,0.01408476177472684,-0.025601952885634147,1633,2,1.870915,2016,False,closed
1301,2016-12-12,2016-12-13,2017-01-11,20,61.755628,60.07383,-0.03165811306946796,0.015447503520074068,-0.04710561658954203,0.01768508166383609,-0.04934319473330405,0.01408476177472684,-0.0457428748441948,1633,2,0.209448,2016,False,closed
1304,2016-12-12,2016-12-13,2017-01-11,20,11.838162,11.004978,-0.07480619599985204,0.015447503520074068,-0.09025369951992611,0.01768508166383609,-0.09249127766368813,0.01408476177472684,-0.08889095777457888,1633,2,0.190668,2016,False,closed
