date,day_trade_volume,day_trade_ratio
2016-02-01,0,0.0
2016-02-02,1000,0.0294
2016-02-03,3000,0.1536
2016-02-15,0,0.0
2016-02-16,16000,0.0748
2016-02-17,0,0.0
2016-02-18,0,0.0
2016-02-19,0,0.0
2016-02-22,5000,0.1167
2016-02-23,7000,0.0237
2016-02-24,167000,0.1521
2016-02-25,5000,0.0141
2016-02-26,1000,0.0065
2016-03-01,1000,0.0087
2016-03-02,3000,0.0449
2016-03-03,10000,0.0697
2016-03-04,0,0.0
2016-03-07,3000,0.0195
2016-03-08,0,0.0
2016-03-09,1000,0.0101
2016-03-10,2000,0.0213
2016-03-11,0,0.0
2016-03-14,0,0.0
2016-03-15,1000,0.0082
2016-03-16,2000,0.0349
2016-03-17,0,0.0
2016-03-18,0,0.0
2016-03-21,0,0.0
2016-03-22,0,0.0
2016-03-23,0,0.0
2016-03-24,1000,0.0197
2016-03-25,3000,0.0499
2016-03-28,0,0.0
2016-03-29,0,0.0
2016-03-30,0,0.0
2016-03-31,0,0.0
2016-04-01,0,0.0
2016-04-06,5000,0.0178
2016-04-07,145000,0.1447
2016-04-08,0,0.0
2016-04-11,8000,0.0577
2016-04-12,2000,0.0096
2016-04-13,308000,0.2426
2016-04-14,25000,0.0711
2016-04-15,3000,0.0229
2016-04-18,6000,0.0751
2016-04-19,3000,0.0322
2016-04-20,7000,0.0541
2016-04-21,0,0.0
2016-04-22,0,0.0
2016-04-25,0,0.0
2016-04-26,0,0.0
2016-04-27,0,0.0
2016-04-28,0,0.0
2016-04-29,2000,0.0249
2016-05-03,20000,0.0716
2016-05-04,12000,0.0324
2016-05-05,0,0.0
2016-05-06,3000,0.0203
2016-05-09,0,0.0
2016-05-10,20000,0.0389
2016-05-11,20000,0.0357
2016-05-12,9000,0.0504
2016-05-13,0,0.0
2016-05-16,1000,0.0031
2016-05-17,8000,0.017
2016-05-18,0,0.0
2016-05-19,0,0.0
2016-05-20,2000,0.0026
2016-05-23,3000,0.0071
2016-05-24,0,0.0
2016-05-25,0,0.0
2016-05-26,0,0.0
2016-05-27,0,0.0
2016-05-30,3000,0.0282
2016-05-31,0,0.0
2016-06-01,0,0.0
2016-06-02,17000,0.0179
2016-06-03,7000,0.0323
2016-06-06,0,0.0
2016-06-07,2000,0.0148
2016-06-08,0,0.0
2016-06-13,1000,0.0096
