date,day_trade_volume,day_trade_ratio
2026-01-05,364000,0.3038
2026-01-06,239000,0.2781
2026-01-07,137000,0.2028
2026-01-08,302000,0.38
2026-01-09,623000,0.4254
2026-01-12,298000,0.3881
2026-01-13,529000,0.3634
2026-01-14,1013000,0.4904
2026-01-15,152000,0.3003
2026-01-16,133000,0.2603
2026-01-19,86000,0.2116
2026-01-20,54000,0.2286
2026-01-21,57000,0.2025
2026-01-22,92000,0.3328
2026-01-23,66000,0.3023
2026-01-26,57000,0.2267
2026-01-27,225000,0.4633
2026-01-28,39000,0.1846
2026-01-29,37000,0.2182
2026-01-30,34000,0.2079
2026-02-02,21000,0.1507
2026-02-03,69000,0.3429
2026-02-04,74000,0.3718
2026-02-05,30000,0.22
2026-02-06,38000,0.2896
2026-02-09,10000,0.1161
2026-02-10,16000,0.1892
2026-02-11,65000,0.2611
2026-02-23,56000,0.3112
2026-02-24,57000,0.2815
2026-02-25,109000,0.3573
2026-02-26,139000,0.3933
2026-03-02,57000,0.1879
2026-03-03,43000,0.1584
2026-03-04,178000,0.3606
2026-03-05,70000,0.3758
2026-03-06,29000,0.2228
2026-03-09,76000,0.3819
2026-03-10,83000,0.3518
2026-03-11,53000,0.2697
2026-03-12,84000,0.2557
2026-03-13,138000,0.4508
2026-03-16,32000,0.2682
2026-03-17,73000,0.2658
2026-03-18,137000,0.3934
2026-03-19,32000,0.1893
2026-03-20,36000,0.3029
2026-03-23,44000,0.1042
2026-03-24,979000,0.4158
2026-03-25,1484000,0.4473
2026-03-26,1041000,0.4414
2026-03-27,411000,0.4852
2026-03-30,153000,0.3213
2026-03-31,631000,0.6322
2026-04-01,234000,0.4223
2026-04-02,304000,0.4418
2026-04-07,205000,0.3586
2026-04-08,417000,0.3992
2026-04-09,1133000,0.4037
2026-04-10,850000,0.2903
2026-04-13,1290000,0.3991
2026-04-14,685000,0.3811
2026-04-15,1217000,0.4212
2026-04-16,2066000,0.5152
2026-04-17,1113000,0.4768
2026-04-20,668000,0.4029
2026-04-21,479000,0.2142
2026-04-22,390000,0.2912
2026-04-23,411000,0.2353
2026-04-24,251000,0.2599
2026-04-27,380000,0.4072
2026-04-28,227000,0.4772
2026-04-29,97000,0.2723
2026-04-30,283000,0.3576
2026-05-04,192000,0.3173
2026-05-05,99000,0.1811
2026-05-06,164000,0.3258
2026-05-07,104000,0.2873
2026-05-08,195000,0.3782
2026-05-11,68000,0.2027
2026-05-12,199000,0.3836
2026-05-13,105000,0.3283
2026-05-14,116000,0.2842
2026-05-15,92000,0.2086
2026-05-18,144000,0.3741
2026-05-19,83000,0.3278
2026-05-20,78000,0.3212
2026-05-21,55000,0.2703
2026-05-22,92000,0.1981
2026-05-25,195000,0.2856
2026-05-26,318000,0.3753
2026-05-27,477000,0.46
2026-05-28,174000,0.3548
2026-05-29,61000,0.2841
2026-06-01,56000,0.2572
2026-06-02,106000,0.3602
2026-06-03,20000,0.1232
2026-06-04,42000,0.1671
2026-06-05,85000,0.2668
2026-06-08,96000,0.3399
2026-06-09,45000,0.2682
2026-06-10,67000,0.321
2026-06-11,59000,0.3224
2026-06-12,59000,0.3757
2026-06-15,65000,0.3064
2026-06-16,185000,0.3459
2026-06-17,281000,0.3235
2026-06-18,332000,0.21
2026-06-22,453000,0.3639
2026-06-23,137000,0.3476
2026-06-24,101000,0.4323
2026-06-25,131000,0.3662
2026-06-26,75000,0.2949
2026-06-29,57000,0.2977
2026-06-30,128000,0.2974
2026-07-01,297000,0.4376
2026-07-02,59000,0.4223
2026-07-03,25000,0.2299
2026-07-06,34000,0.2724
2026-07-07,29000,0.2082
2026-07-08,15000,0.2459
2026-07-09,21000,0.2673
2026-07-13,70000,0.2909
2026-07-14,68000,0.2584
2026-07-15,22000,0.2111
2026-07-16,65000,0.4273
2026-07-17,80000,0.263
2026-07-20,58000,0.3717
