date,day_trade_volume,day_trade_ratio
2015-01-05,418000,0.0523
2015-01-06,256000,0.0211
2015-01-07,179000,0.0209
2015-01-08,269000,0.0254
2015-01-09,230000,0.0139
2015-01-12,167000,0.0378
2015-01-13,125000,0.0125
2015-01-14,133000,0.0165
2015-01-15,99000,0.0131
2015-01-16,530000,0.0598
2015-01-19,96000,0.029
2015-01-20,44000,0.0169
2015-01-21,120000,0.0113
2015-01-22,137000,0.0182
2015-01-23,257000,0.0149
2015-01-26,126000,0.0141
2015-01-27,162000,0.0212
2015-01-28,279000,0.0631
2015-01-29,108000,0.0157
2015-01-30,290000,0.0241
2015-02-02,212000,0.0389
2015-02-03,94000,0.0211
2015-02-04,87000,0.0074
2015-02-05,79000,0.0071
2015-02-06,75000,0.007
2015-02-09,110000,0.015
2015-02-10,166000,0.0268
2015-02-11,46000,0.0047
2015-02-12,54000,0.0089
2015-02-13,81000,0.0097
2015-02-24,244000,0.0131
2015-02-25,171000,0.0231
2015-02-26,86000,0.0076
2015-03-02,326000,0.0354
2015-03-03,27000,0.0036
2015-03-04,36000,0.003
2015-03-05,98000,0.0133
2015-03-06,164000,0.0213
2015-03-09,41000,0.0089
2015-03-10,84000,0.0146
2015-03-11,79000,0.0142
2015-03-12,75000,0.0122
2015-03-13,31000,0.0083
2015-03-16,119000,0.0207
2015-03-17,256000,0.0341
2015-03-18,178000,0.0245
2015-03-19,263000,0.0279
2015-03-20,103000,0.0096
2015-03-23,119000,0.0197
2015-03-24,138000,0.0219
2015-03-25,42000,0.0113
2015-03-26,179000,0.0182
2015-03-27,172000,0.0227
2015-03-30,127000,0.0241
2015-03-31,49000,0.0045
2015-04-01,132000,0.0142
2015-04-02,358000,0.0411
2015-04-07,29000,0.0075
2015-04-08,76000,0.0127
2015-04-09,149000,0.0197
2015-04-10,130000,0.0128
2015-04-13,56000,0.0035
2015-04-14,182000,0.0092
2015-04-15,288000,0.0222
2015-04-16,66000,0.0102
2015-04-17,47000,0.006
2015-04-20,124000,0.0159
2015-04-21,26000,0.0073
2015-04-22,105000,0.0147
2015-04-23,81000,0.0086
2015-04-24,93000,0.0099
2015-04-27,4000,0.0004
2015-04-28,13000,0.0019
2015-04-29,7000,0.0009
2015-04-30,47000,0.0037
2015-05-04,65000,0.0119
2015-05-05,55000,0.0058
2015-05-06,43000,0.0067
2015-05-07,27000,0.0051
2015-05-08,14000,0.0029
2015-05-11,60000,0.0122
2015-05-12,1211000,0.0569
2015-05-13,392000,0.0187
2015-05-14,1541000,0.0415
2015-05-15,636000,0.0437
2015-05-18,223000,0.0168
2015-05-19,673000,0.0539
2015-05-20,214000,0.0308
2015-05-21,675000,0.0566
2015-05-22,141000,0.0225
2015-05-25,99000,0.0257
2015-05-26,107000,0.0371
2015-05-27,594000,0.0534
2015-05-28,121000,0.0095
2015-05-29,86000,0.0067
2015-06-01,202000,0.0226
2015-06-02,106000,0.0095
2015-06-03,141000,0.0276
2015-06-04,167000,0.0223
2015-06-05,176000,0.0208
2015-06-08,181000,0.0295
2015-06-09,74000,0.0124
2015-06-10,446000,0.0435
2015-06-11,257000,0.0361
2015-06-12,166000,0.0296
2015-06-15,243000,0.0658
2015-06-16,79000,0.0107
2015-06-17,69000,0.007
2015-06-18,77000,0.0108
2015-06-22,102000,0.0123
2015-06-23,22000,0.0039
2015-06-24,33000,0.0072
2015-06-25,348000,0.0235
2015-06-26,191000,0.0247
2015-06-29,105000,0.0168
2015-06-30,78000,0.0072
2015-07-01,132000,0.0193
2015-07-02,44000,0.0086
2015-07-03,219000,0.0326
2015-07-06,121000,0.0151
2015-07-07,148000,0.0131
2015-07-08,230000,0.0178
2015-07-09,315000,0.0309
2015-07-13,84000,0.009
2015-07-14,47000,0.0091
2015-07-15,41000,0.0053
2015-07-16,77000,0.0148
2015-07-17,44000,0.0056
2015-07-20,279000,0.0315
2015-07-21,1187000,0.042
2015-07-22,1439000,0.0578
2015-07-23,889000,0.054
2015-07-24,482000,0.0306
2015-07-27,357000,0.028
2015-07-28,523000,0.0393
2015-07-29,339000,0.0306
2015-07-30,310000,0.0265
2015-07-31,490000,0.0304
