date,day_trade_volume,day_trade_ratio
2015-01-05,236000,0.1275
2015-01-06,160000,0.0642
2015-01-07,313000,0.086
2015-01-08,330000,0.0864
2015-01-09,139000,0.0973
2015-01-12,181000,0.1096
2015-01-13,130000,0.1143
2015-01-14,88000,0.0768
2015-01-15,698000,0.1165
2015-01-16,599000,0.0621
2015-01-19,1860000,0.1519
2015-01-20,2216000,0.2426
2015-01-21,859000,0.1428
2015-01-22,1825000,0.1418
2015-01-23,614000,0.0753
2015-01-26,395000,0.124
2015-01-27,272000,0.0921
2015-01-28,153000,0.0673
2015-01-29,282000,0.0947
2015-01-30,520000,0.1083
2015-02-02,273000,0.1079
2015-02-03,179000,0.1114
2015-02-04,872000,0.2339
2015-02-05,133000,0.0884
2015-02-06,637000,0.1285
2015-02-09,260000,0.1158
2015-02-10,199000,0.1103
2015-02-11,675000,0.2229
2015-02-12,75000,0.0504
2015-02-13,71000,0.0441
2015-02-24,94000,0.0651
2015-02-25,37000,0.0356
2015-02-26,425000,0.0826
2015-03-02,197000,0.0687
2015-03-03,111000,0.0477
2015-03-04,163000,0.0568
2015-03-05,144000,0.0642
2015-03-06,125000,0.0467
2015-03-09,119000,0.0362
2015-03-10,217000,0.0773
2015-03-11,169000,0.0773
2015-03-12,126000,0.0604
2015-03-13,242000,0.0834
2015-03-16,77000,0.0573
2015-03-17,97000,0.0481
2015-03-18,479000,0.0974
2015-03-19,99000,0.0472
2015-03-20,258000,0.0737
2015-03-23,510000,0.0869
2015-03-24,73000,0.0452
2015-03-25,151000,0.1118
2015-03-26,63000,0.0507
2015-03-27,61000,0.0358
2015-03-30,282000,0.0926
2015-03-31,133000,0.0831
2015-04-01,60000,0.0604
2015-04-02,324000,0.1541
2015-04-07,79000,0.0814
2015-04-08,126000,0.0658
2015-04-09,292000,0.1486
2015-04-10,104000,0.0848
2015-04-13,234000,0.1051
2015-04-14,425000,0.0756
2015-04-15,219000,0.089
2015-04-16,831000,0.1041
2015-04-17,824000,0.0772
2015-04-20,1472000,0.1439
2015-04-21,502000,0.0979
2015-04-22,1101000,0.1603
2015-04-23,645000,0.1188
2015-04-24,847000,0.1617
2015-04-27,256000,0.0989
2015-04-28,342000,0.107
2015-04-29,826000,0.095
2015-04-30,851000,0.0777
2015-05-04,462000,0.0943
2015-05-05,890000,0.0983
2015-05-06,1089000,0.182
2015-05-07,360000,0.1205
2015-05-08,538000,0.1328
2015-05-11,1055000,0.1256
2015-05-12,1161000,0.1602
2015-05-13,786000,0.1732
2015-05-14,535000,0.1365
2015-05-15,1409000,0.147
2015-05-18,885000,0.1813
2015-05-19,414000,0.1231
2015-05-20,890000,0.1355
2015-05-21,1282000,0.1932
2015-05-22,510000,0.17
2015-05-25,445000,0.1136
2015-05-26,1219000,0.1133
2015-05-27,1411000,0.132
2015-05-28,579000,0.0927
2015-05-29,370000,0.1148
2015-06-01,659000,0.1435
2015-06-02,347000,0.156
2015-06-03,210000,0.0973
2015-06-04,310000,0.117
2015-06-05,390000,0.1324
2015-06-08,844000,0.1706
2015-06-09,1401000,0.1449
2015-06-10,776000,0.1881
2015-06-11,701000,0.231
2015-06-12,606000,0.2557
2015-06-15,535000,0.1348
2015-06-16,1901000,0.2058
2015-06-17,380000,0.1246
2015-06-18,544000,0.109
2015-06-22,345000,0.0884
2015-06-23,1110000,0.1196
2015-06-24,1083000,0.18
2015-06-25,346000,0.1098
2015-06-26,232000,0.0904
2015-06-29,304000,0.127
2015-06-30,228000,0.1198
2015-07-01,525000,0.1128
2015-07-02,370000,0.1017
2015-07-03,228000,0.1062
2015-07-06,176000,0.0874
2015-07-07,267000,0.0883
2015-07-08,291000,0.0969
2015-07-09,598000,0.1675
2015-07-13,137000,0.0522
2015-07-14,66000,0.0461
2015-07-15,246000,0.1445
2015-07-16,83000,0.0856
2015-07-17,132000,0.103
2015-07-20,147000,0.11
2015-07-21,662000,0.1589
2015-07-22,524000,0.1971
2015-07-23,354000,0.1381
2015-07-24,216000,0.1506
2015-07-27,422000,0.1125
2015-07-28,417000,0.1348
2015-07-29,305000,0.1294
2015-07-30,380000,0.1309
2015-07-31,817000,0.1089
2015-08-03,901000,0.2032
2015-08-04,1319000,0.1617
2015-08-05,949000,0.1981
2015-08-06,1527000,0.241
2015-08-07,713000,0.195
2015-08-10,1117000,0.1597
2015-08-11,1168000,0.1783
2015-08-12,988000,0.2186
2015-08-13,794000,0.2042
2015-08-14,290000,0.1452
2015-08-17,484000,0.1806
2015-08-18,316000,0.1468
2015-08-19,779000,0.1623
2015-08-20,646000,0.1885
2015-08-21,382000,0.0962
2015-08-24,552000,0.152
2015-08-25,809000,0.2004
2015-08-26,523000,0.2624
2015-08-27,472000,0.193
2015-08-28,399000,0.1712
2015-08-31,379000,0.1893
2015-09-01,218000,0.126
2015-09-02,479000,0.2505
2015-09-03,835000,0.1732
2015-09-04,3475000,0.2857
2015-09-07,879000,0.2729
2015-09-08,2315000,0.2797
2015-09-09,1102000,0.1684
2015-09-10,2093000,0.2531
2015-09-11,458000,0.1741
2015-09-14,647000,0.1786
2015-09-15,651000,0.2167
2015-09-16,570000,0.1514
2015-09-17,420000,0.1407
2015-09-18,281000,0.1141
2015-09-21,206000,0.0786
2015-09-22,502000,0.1881
2015-09-23,254000,0.1032
2015-09-24,433000,0.1159
2015-09-25,318000,0.1316
2015-09-30,267000,0.1165
2015-10-01,485000,0.1179
2016-01-05,127000,0.0805
2016-01-06,208000,0.0804
2016-01-07,496000,0.0732
2016-01-08,642000,0.1078
2016-01-11,718000,0.1537
2016-01-12,961000,0.1854
2016-01-13,224000,0.1204
2016-01-14,450000,0.1377
2016-01-15,328000,0.1817
2016-01-18,484000,0.157
2016-01-19,301000,0.1489
2016-01-20,184000,0.1016
2016-01-21,559000,0.2002
2016-01-22,290000,0.1516
2016-01-25,576000,0.1075
2016-01-26,797000,0.161
2016-01-27,621000,0.1931
2016-01-28,428000,0.1533
2016-01-29,1196000,0.2027
2016-02-01,510000,0.1657
2016-02-02,230000,0.2064
2016-02-03,127000,0.0945
2016-02-15,97000,0.0782
2016-02-16,226000,0.1276
2016-02-17,316000,0.1945
2016-02-18,211000,0.1036
2016-02-19,258000,0.115
2016-02-22,268000,0.1165
2016-02-23,89000,0.0853
2016-02-24,126000,0.1114
2016-02-25,1446000,0.1669
2016-02-26,903000,0.1639
2016-03-01,365000,0.1191
2016-03-02,520000,0.117
2016-03-03,407000,0.0853
2016-03-04,544000,0.1405
2016-03-07,320000,0.1021
2016-03-08,389000,0.0878
2016-03-09,272000,0.0821
2016-03-10,429000,0.135
2016-03-11,171000,0.0988
2016-03-14,1266000,0.1224
2016-03-15,467000,0.0898
2016-03-16,259000,0.0804
2016-03-17,476000,0.1134
2016-03-18,526000,0.0987
2016-03-21,384000,0.1254
2016-03-22,320000,0.123
2016-03-23,232000,0.1182
2016-03-24,261000,0.1115
2016-03-25,90000,0.0964
2016-03-28,149000,0.1156
2016-03-29,257000,0.122
2016-03-30,221000,0.1367
2016-03-31,264000,0.1778
2016-04-01,124000,0.1034
2016-04-06,152000,0.0792
2016-04-07,231000,0.144
2016-04-08,219000,0.0685
2016-04-11,95000,0.0719
2016-04-12,223000,0.1207
2016-04-13,248000,0.1023
2016-04-14,3648000,0.16
2016-04-15,1634000,0.1687
2016-04-18,2136000,0.2355
2016-04-19,941000,0.2012
2016-04-20,2127000,0.2673
2016-04-21,630000,0.1752
2016-04-22,467000,0.1334
2016-04-25,497000,0.1806
2016-04-26,202000,0.1087
2016-04-27,505000,0.1518
2016-04-28,269000,0.0892
2016-04-29,367000,0.1015
2016-05-03,2315000,0.185
2016-05-04,2229000,0.1809
2016-05-05,2165000,0.2512
2016-05-06,896000,0.1972
2016-05-09,1113000,0.2336
2016-05-10,3520000,0.2403
2016-05-11,2529000,0.2477
2016-05-12,1500000,0.1986
2016-05-13,1080000,0.2056
2016-05-16,1078000,0.2145
2016-05-17,863000,0.2126
2016-05-18,2099000,0.2675
2016-05-19,1079000,0.222
2016-05-20,555000,0.1951
2016-05-23,1021000,0.1877
2016-05-24,643000,0.1592
2016-05-25,2273000,0.2024
2016-05-26,2756000,0.2241
2016-05-27,1059000,0.1564
2016-05-30,302000,0.0989
2016-05-31,1519000,0.1986
2016-06-01,647000,0.1338
2016-06-02,552000,0.0859
2016-06-03,519000,0.1427
2016-06-06,568000,0.1503
2016-06-07,285000,0.161
2016-06-08,247000,0.1349
2016-06-13,219000,0.0703
2016-06-14,290000,0.1347
2016-06-15,322000,0.1213
2016-06-16,341000,0.1347
2016-06-17,117000,0.059
2016-06-20,135000,0.075
2016-06-21,285000,0.1398
2016-06-22,188000,0.1009
2016-06-23,1426000,0.2147
2016-06-24,611000,0.1231
2016-06-27,172000,0.0872
2016-06-28,149000,0.0843
2016-06-29,239000,0.1367
2016-06-30,248000,0.1473
2016-07-01,2038000,0.2075
2016-07-04,278000,0.0879
2016-07-05,670000,0.1179
2016-07-06,1389000,0.1868
2016-07-07,846000,0.1829
2016-07-11,513000,0.175
2016-07-12,458000,0.1842
2016-07-13,229000,0.1136
2016-07-14,857000,0.1483
2016-07-15,333000,0.1104
2016-07-18,164000,0.0747
2016-07-19,2977000,0.2287
2016-07-20,1279000,0.2087
2016-07-21,2335000,0.2128
2016-07-22,4353000,0.28
2016-07-25,3430000,0.2997
2016-07-26,4330000,0.3442
2016-07-27,1309000,0.2313
2016-07-28,3407000,0.2969
2016-07-29,1574000,0.2868
2016-08-01,4751000,0.3824
2016-08-02,2349000,0.2626
2016-08-03,1321000,0.2721
2016-08-04,2218000,0.2682
2016-08-05,1501000,0.1494
2016-08-08,2547000,0.1602
2016-08-09,4000000,0.3417
2016-08-10,5199000,0.3148
2016-08-11,4256000,0.3625
2016-08-12,4967000,0.3839
2016-08-15,5966000,0.4242
2016-08-16,3855000,0.3513
2016-08-17,1741000,0.2878
2016-08-18,3772000,0.4159
2016-08-19,5698000,0.4705
2016-08-22,3622000,0.2678
2016-08-23,2400000,0.3529
2016-08-24,1064000,0.3271
2016-08-25,1043000,0.3062
2016-08-26,1709000,0.3536
2016-08-29,1301000,0.27
2016-08-30,862000,0.2448
2016-08-31,2600000,0.2993
2016-09-01,1569000,0.2871
2016-09-02,2009000,0.2407
2016-09-05,1048000,0.2875
2016-09-06,1342000,0.2562
2016-09-07,1156000,0.275
2016-09-08,1156000,0.2554
2016-09-09,888000,0.2888
2016-09-12,721000,0.1855
2016-09-13,821000,0.3141
2016-09-14,2236000,0.3158
2016-09-19,662000,0.2058
2016-09-20,436000,0.1916
2016-09-21,367000,0.1929
2016-09-22,345000,0.2054
2016-09-23,3282000,0.2519
