date,day_trade_volume,day_trade_ratio
2025-09-19,79000,0.3359
2025-09-22,6000,0.0667
2025-09-23,28000,0.2804
2025-09-24,6000,0.1294
2025-09-25,4000,0.0807
2025-09-26,31000,0.2237
2025-09-30,9000,0.1468
2025-10-01,5000,0.0809
2025-10-02,18000,0.1515
2025-10-03,19000,0.1854
2025-10-07,6000,0.1955
2025-10-08,28000,0.1799
2025-10-09,45000,0.2451
2025-10-13,26000,0.1554
2025-10-14,83000,0.2908
2025-10-15,16000,0.1847
2025-10-16,14000,0.2859
2025-10-17,18000,0.1624
2025-10-20,11000,0.1019
2025-10-21,10000,0.1541
2025-10-22,14000,0.1989
2025-10-23,11000,0.1167
2025-10-27,13000,0.0686
2025-10-28,12000,0.1211
2025-10-29,10000,0.1348
2025-10-30,15000,0.1072
2025-10-31,11000,0.1249
2025-11-03,9000,0.1252
2025-11-04,9000,0.1687
2025-11-05,6000,0.1168
2025-11-06,6000,0.1137
2025-11-07,6000,0.171
2025-11-10,17000,0.0992
2025-11-11,10000,0.0731
2025-11-12,21000,0.1962
2025-11-13,85000,0.3059
2025-11-14,21000,0.2377
2025-11-17,33000,0.1428
2025-11-18,10000,0.066
2025-11-19,47000,0.2815
2025-11-20,8000,0.222
2025-11-21,12000,0.2062
2025-11-24,26000,0.3564
2025-11-25,3000,0.0667
2025-11-26,20000,0.2382
2025-11-27,7000,0.1577
2025-11-28,14000,0.1706
2025-12-01,24000,0.267
2025-12-02,14000,0.3254
2025-12-03,13000,0.1715
2025-12-04,32000,0.2299
2025-12-05,25000,0.1082
2025-12-08,11000,0.1695
2025-12-09,35000,0.1485
2025-12-10,7000,0.0809
2025-12-11,5000,0.0711
2025-12-12,15000,0.1697
2025-12-15,8000,0.1659
2025-12-16,7000,0.1141
2025-12-17,14000,0.284
2025-12-18,9000,0.2387
2025-12-19,8000,0.2284
2025-12-22,5000,0.1998
2025-12-23,5000,0.0954
2025-12-24,11000,0.2053
2025-12-26,14000,0.1741
2025-12-29,1000,0.1038
2025-12-30,62000,0.1324
2025-12-31,192000,0.3508
2026-01-02,25000,0.3088
2026-01-05,47000,0.174
2026-01-06,77000,0.2668
2026-01-07,6000,0.0998
2026-01-08,3000,0.0711
2026-01-09,2000,0.1164
2026-01-12,13000,0.1336
2026-01-13,36000,0.2234
2026-01-14,11000,0.1115
2026-01-15,10000,0.094
2026-01-16,7000,0.0687
2026-01-19,5000,0.0746
2026-01-20,13000,0.0437
2026-01-21,19000,0.1414
2026-01-22,7000,0.1614
2026-01-23,7000,0.1259
2026-01-26,8000,0.2238
2026-01-27,33000,0.286
2026-01-28,22000,0.2408
2026-01-29,21000,0.1002
2026-01-30,19000,0.1205
2026-02-02,16000,0.1654
2026-02-03,17000,0.1856
2026-02-04,6000,0.1713
2026-02-05,8000,0.181
2026-02-06,4000,0.1738
2026-02-09,9000,0.1219
2026-02-10,9000,0.1786
2026-02-11,23000,0.2551
2026-02-23,21000,0.244
2026-02-24,12000,0.1902
2026-02-25,28000,0.2008
2026-02-26,5000,0.1025
2026-03-02,13000,0.2329
2026-03-03,25000,0.2534
2026-03-04,15000,0.1479
2026-03-05,22000,0.2585
2026-03-06,31000,0.387
2026-03-09,39000,0.3204
2026-03-10,55000,0.262
2026-03-11,16000,0.2743
2026-03-12,16000,0.1552
2026-03-13,13000,0.2021
2026-03-16,15000,0.2121
2026-03-17,14000,0.2837
2026-03-18,4000,0.0926
2026-03-19,11000,0.2233
2026-03-20,1000,0.0274
2026-03-23,5000,0.1322
2026-03-24,3000,0.1367
2026-03-25,9000,0.1669
2026-03-26,11000,0.1811
2026-03-27,13000,0.35
2026-03-30,6000,0.1526
2026-03-31,15000,0.2149
2026-04-01,13000,0.2432
2026-04-02,11000,0.1652
2026-04-07,5000,0.1649
2026-04-08,4000,0.0659
2026-04-09,4000,0.2134
2026-04-10,2000,0.063
2026-04-13,12000,0.1557
2026-04-14,14000,0.2121
2026-04-15,7000,0.0793
2026-04-16,5000,0.1199
2026-04-17,9000,0.2982
2026-04-20,17000,0.2407
2026-04-21,20000,0.2785
2026-04-22,6000,0.2023
2026-04-23,16000,0.2368
2026-04-24,8000,0.3728
2026-04-27,12000,0.2662
2026-04-28,4000,0.1989
2026-04-29,8000,0.3028
2026-04-30,12000,0.2474
2026-05-04,4000,0.0613
2026-05-05,3000,0.1631
2026-05-06,13000,0.1217
2026-05-07,17000,0.3521
2026-05-08,11000,0.2322
2026-05-11,4000,0.0911
2026-05-12,3000,0.0704
2026-05-13,37000,0.2495
2026-05-14,8000,0.0731
2026-05-15,22000,0.153
2026-05-18,4000,0.1133
2026-05-19,6000,0.1644
2026-05-20,15000,0.1995
2026-05-21,23000,0.28
2026-05-22,11000,0.2489
2026-05-25,11000,0.1691
2026-05-26,4000,0.1577
2026-05-27,4000,0.1208
2026-05-28,15000,0.1239
2026-05-29,27000,0.3429
2026-06-01,36000,0.2426
2026-06-02,39000,0.2608
2026-06-03,35000,0.2528
2026-06-04,9000,0.2808
2026-06-05,14000,0.2241
2026-06-08,18000,0.2875
2026-06-09,28000,0.3493
2026-06-10,17000,0.3456
2026-06-11,10000,0.2147
2026-06-12,4000,0.1383
2026-06-15,10000,0.1857
2026-06-16,13000,0.2875
2026-06-17,6000,0.1806
2026-06-18,6000,0.1336
2026-06-22,28000,0.263
2026-06-23,6000,0.0598
2026-06-24,20000,0.2973
2026-06-25,8000,0.3465
2026-06-26,16000,0.2035
2026-06-29,2000,0.1968
2026-06-30,4000,0.1652
2026-07-01,11000,0.2666
2026-07-02,10000,0.3395
2026-07-03,8000,0.2252
2026-07-06,0,0.0
2026-07-07,10000,0.354
2026-07-08,1000,0.088
2026-07-09,1000,0.0408
2026-07-13,3000,0.206
2026-07-14,56000,0.455
2026-07-15,14000,0.3942
2026-07-16,5000,0.2676
2026-07-17,5000,0.1648
2026-07-20,16000,0.1811
2026-07-21,3000,0.165718
2026-07-22,17000,0.339281
