date,day_trade_volume,day_trade_ratio
2016-02-01,0,0.0
2016-02-02,6000,0.1434
2016-02-03,2000,0.0438
2016-02-15,2000,0.0133
2016-02-16,5000,0.0489
2016-02-17,1000,0.05
2016-02-18,0,0.0
2016-02-19,8000,0.1429
2016-02-22,13000,0.1688
2016-02-23,1000,0.0526
2016-02-24,8000,0.1803
2016-02-25,4000,0.0646
2016-02-26,14000,0.192
2016-03-01,3000,0.0667
2016-03-02,6000,0.122
2016-03-03,4000,0.0832
2016-03-04,3000,0.0844
2016-03-07,1000,0.0279
2016-03-08,8000,0.2424
2016-03-09,6000,0.1128
2016-03-10,5000,0.098
2016-03-11,0,0.0
2016-03-14,5000,0.1316
2016-03-15,11000,0.2861
2016-03-16,1000,0.0478
2016-03-17,19000,0.1664
2016-03-18,15000,0.1359
2016-03-21,6000,0.0852
2016-03-22,2000,0.1111
2016-03-23,0,0.0
2016-03-24,9000,0.2288
2016-03-25,1000,0.021
2016-03-28,5000,0.1321
2016-03-29,7000,0.1561
2016-03-30,5000,0.2116
2016-03-31,24000,0.247
2016-04-01,0,0.0
2016-04-06,5000,0.1151
2016-04-07,5000,0.0667
2016-04-08,5000,0.1087
2016-04-11,13000,0.1342
2016-04-12,20000,0.2014
2016-04-13,8000,0.1003
2016-04-14,11000,0.1187
2016-04-15,5000,0.0847
2016-04-18,0,0.0
2016-04-19,10000,0.0794
2016-04-20,7000,0.0986
2016-04-21,7000,0.1489
2016-04-22,13000,0.25
2016-04-25,0,0.0
2016-04-26,11000,0.1338
2016-04-27,0,0.0
2016-04-28,10000,0.1595
2016-04-29,14000,0.2448
2016-05-03,5000,0.0868
2016-05-04,9000,0.1688
2016-05-05,0,0.0
2016-05-06,6000,0.2069
2016-05-09,11000,0.1078
2016-05-10,10000,0.1519
2016-05-11,0,0.0
2016-05-12,1000,0.0345
2016-05-13,7000,0.2229
2016-05-16,0,0.0
2016-05-17,12000,0.0828
2016-05-18,1000,0.015
2016-05-19,1000,0.0141
2016-05-20,0,0.0
2016-05-23,0,0.0
2016-05-24,0,0.0
2016-05-25,5000,0.0704
2016-05-26,0,0.0
2016-05-27,10000,0.1232
2016-05-30,3000,0.0697
2016-05-31,10000,0.1772
2016-06-01,21000,0.107
2016-06-02,1000,0.0182
2016-06-03,3000,0.0809
2016-06-06,0,0.0
2016-06-07,0,0.0
2016-06-08,0,0.0
2016-06-13,0,0.0
2016-06-14,0,0.0
2016-06-15,2000,0.0706
2016-06-16,3000,0.0858
2016-06-17,2000,0.0419
2016-06-20,3000,0.0975
2016-06-21,0,0.0
2016-06-22,0,0.0
2016-06-23,0,0.0
2016-06-24,3000,0.0341
2016-06-27,1000,0.0192
