date,day_trade_volume,day_trade_ratio
2015-06-01,15000,0.0171
2015-06-02,30000,0.0268
2015-06-03,39000,0.0216
2015-06-04,171000,0.0529
2015-06-05,85000,0.0425
2015-06-08,12000,0.0153
2015-06-09,95000,0.0395
2015-06-10,166000,0.0438
2015-06-11,169000,0.0706
2015-06-12,186000,0.0785
2015-06-15,45000,0.0266
2015-06-16,69000,0.036
2015-06-17,78000,0.0469
2015-06-18,100000,0.0837
2015-06-22,286000,0.078
2015-06-23,96000,0.0545
2015-06-24,48000,0.0341
2015-06-25,151000,0.0509
2015-06-26,18000,0.0106
2015-06-29,68000,0.0225
2015-06-30,30000,0.0201
2015-07-01,83000,0.0465
2015-07-02,20000,0.0144
2015-07-03,15000,0.0123
2015-07-06,20000,0.0158
2015-07-07,69000,0.06
2015-07-08,26000,0.0105
2015-07-09,117000,0.0696
2015-07-13,40000,0.0215
2015-07-14,20000,0.0077
2015-07-15,18000,0.0096
2015-07-16,39000,0.0148
2015-07-17,358000,0.0739
2015-07-20,59000,0.0303
2015-07-21,13000,0.0147
2015-07-22,10000,0.0112
2015-07-23,37000,0.0311
2015-07-24,56000,0.0281
2015-07-27,47000,0.0151
2015-07-28,44000,0.0313
2015-07-29,58000,0.0318
2015-07-30,29000,0.0349
2015-07-31,111000,0.0534
2015-08-03,8000,0.0083
2015-08-04,43000,0.0298
2015-08-05,59000,0.036
2015-08-06,25000,0.0244
2015-08-07,21000,0.0289
2015-08-10,37000,0.0412
2015-08-11,221000,0.0578
2015-08-12,98000,0.0502
2015-08-13,31000,0.0305
2015-08-14,15000,0.016
2015-08-17,21000,0.0162
2015-08-18,105000,0.0772
2015-08-19,119000,0.0524
2015-08-20,11000,0.012
2015-08-21,54000,0.0183
2015-08-24,91000,0.0308
2015-08-25,61000,0.0344
2015-08-26,190000,0.0626
2015-08-27,53000,0.0266
2015-08-28,54000,0.0367
2015-08-31,14000,0.0152
2015-09-01,35000,0.0307
2015-09-02,62000,0.0637
2015-09-03,254000,0.0839
2015-09-04,94000,0.0402
2015-09-07,67000,0.0676
2015-09-08,42000,0.0417
2015-09-09,30000,0.0186
2015-09-10,374000,0.077
2015-09-11,232000,0.0524
2015-09-14,3928000,0.3557
2015-09-15,762000,0.1035
2015-09-16,343000,0.0906
2015-09-17,186000,0.0604
2016-02-01,5000,0.0053
2016-02-02,656000,0.1796
2016-02-03,390000,0.1183
2016-02-15,38000,0.0334
2016-02-16,61000,0.0627
2016-02-17,301000,0.0738
2016-02-18,39000,0.0249
2016-02-19,54000,0.0414
2016-02-22,27000,0.0277
2016-02-23,25000,0.0219
2016-02-24,29000,0.0348
2016-02-25,10000,0.0084
2016-02-26,21000,0.0229
2016-03-01,18000,0.0136
2016-03-02,139000,0.0378
2016-03-03,489000,0.0866
2016-03-04,69000,0.0379
2016-03-07,22000,0.0185
2016-03-08,260000,0.1348
2016-03-09,843000,0.1458
2016-03-10,71000,0.0399
2016-03-11,24000,0.0156
2016-03-14,39000,0.029
2016-03-15,50000,0.029
