date,day_trade_volume,day_trade_ratio
2025-10-02,31000,0.1261
2025-10-03,108000,0.1844
2025-10-07,264000,0.3247
2025-10-08,588000,0.4282
2025-10-09,240000,0.3662
2025-10-13,54000,0.2177
2025-10-14,79000,0.2193
2025-10-15,51000,0.2334
2025-10-16,26000,0.2105
2025-10-17,20000,0.1308
2025-10-20,74000,0.3579
2025-10-21,59000,0.2041
2025-10-22,72000,0.3737
2025-10-23,14000,0.0944
2025-10-27,25000,0.1741
2025-10-28,53000,0.1264
2025-10-29,40000,0.2582
2025-10-30,38000,0.2064
2025-10-31,28000,0.2039
2025-11-03,85000,0.3049
2025-11-04,65000,0.3236
2025-11-05,82000,0.3133
2025-11-06,183000,0.3706
2025-11-07,98000,0.4115
2025-11-10,84000,0.2904
2025-11-11,89000,0.2542
2025-11-12,25000,0.167
2025-11-13,40000,0.308
2025-11-14,48000,0.3189
2025-11-17,70000,0.4009
2025-11-18,76000,0.3067
2025-11-19,65000,0.2787
2025-11-20,110000,0.3934
2025-11-21,95000,0.2685
2025-11-24,213000,0.2776
2025-11-25,90000,0.3472
2025-11-26,192000,0.3606
2025-11-27,118000,0.3139
2025-11-28,108000,0.427
2025-12-01,28000,0.2415
2025-12-02,123000,0.3528
2025-12-03,61000,0.3401
2025-12-04,44000,0.2634
2025-12-05,17000,0.2414
2025-12-08,59000,0.267
2025-12-09,45000,0.2452
2025-12-10,61000,0.3426
2025-12-11,63000,0.2852
2025-12-12,32000,0.2723
2025-12-15,44000,0.3451
2025-12-16,70000,0.3
2025-12-17,22000,0.2266
2025-12-18,26000,0.2674
2025-12-19,157000,0.1503
2025-12-22,137000,0.3463
2025-12-23,43000,0.1879
2025-12-24,39000,0.1985
2025-12-26,30000,0.1364
2025-12-29,39000,0.2179
2025-12-30,11000,0.1426
2025-12-31,15000,0.1348
2026-01-02,96000,0.3823
2026-01-05,177000,0.2777
2026-01-06,107000,0.3079
2026-01-07,211000,0.3915
2026-01-08,86000,0.2589
2026-01-09,41000,0.3166
2026-01-12,46000,0.1831
2026-01-13,33000,0.1719
2026-01-14,26000,0.2589
2026-01-15,26000,0.2528
2026-01-16,15000,0.1711
2026-01-19,38000,0.2479
2026-01-20,25000,0.2423
2026-01-21,28000,0.1531
2026-01-22,13000,0.146
2026-01-23,102000,0.2862
2026-01-26,189000,0.2974
2026-01-27,76000,0.3343
2026-01-28,27000,0.1967
2026-01-29,42000,0.2526
2026-01-30,38000,0.1266
2026-02-02,38000,0.291
2026-02-03,77000,0.3263
2026-02-04,40000,0.2186
2026-02-05,34000,0.2766
2026-02-06,57000,0.3371
2026-02-09,124000,0.3265
2026-02-10,112000,0.3251
2026-02-11,39000,0.2463
2026-02-23,75000,0.3437
2026-02-24,49000,0.2894
2026-02-25,55000,0.3651
2026-02-26,149000,0.2382
2026-03-02,120000,0.3639
2026-03-03,91000,0.3376
2026-03-04,71000,0.2157
2026-03-05,36000,0.3087
2026-03-06,23000,0.2044
2026-03-09,106000,0.3079
2026-03-10,38000,0.2644
2026-03-11,43000,0.2646
2026-03-12,31000,0.2816
2026-03-13,30000,0.2151
2026-03-16,51000,0.2977
2026-03-17,75000,0.3955
2026-03-18,41000,0.1299
2026-03-19,560000,0.4996
2026-03-20,87000,0.3748
2026-03-23,40000,0.1772
2026-03-24,68000,0.2993
2026-03-25,28000,0.3128
2026-03-26,21000,0.1826
2026-03-27,22000,0.2495
2026-03-30,29000,0.1401
2026-03-31,90000,0.2293
2026-04-01,14000,0.1132
2026-04-02,27000,0.1823
2026-04-07,14000,0.0922
2026-04-08,37000,0.154
2026-04-09,44000,0.1659
2026-04-10,41000,0.2108
2026-04-13,60000,0.3063
2026-04-14,104000,0.2592
2026-04-15,65000,0.2278
2026-04-16,66000,0.2444
2026-04-17,59000,0.322
2026-04-20,65000,0.2713
2026-04-21,140000,0.35
2026-04-22,121000,0.2859
2026-04-23,173000,0.3464
2026-04-24,225000,0.4564
2026-04-27,130000,0.3702
2026-04-28,66000,0.3351
2026-04-29,60000,0.3164
2026-04-30,73000,0.2808
2026-05-04,0,0.0
2026-05-05,97000,0.0892
2026-05-06,1258000,0.365
2026-05-07,310000,0.3122
2026-05-08,1360000,0.506
2026-05-11,1157000,0.4887
2026-05-12,311000,0.2195
2026-05-13,337000,0.3555
2026-05-14,220000,0.3186
2026-05-15,383000,0.4106
2026-05-18,323000,0.4783
2026-05-19,208000,0.3079
2026-05-20,97000,0.2651
2026-05-21,179000,0.2377
2026-05-22,508000,0.3294
2026-05-25,528000,0.3702
2026-05-26,180000,0.2484
2026-05-27,222000,0.2391
2026-05-28,239000,0.3478
2026-05-29,90000,0.2265
2026-06-01,435000,0.5017
2026-06-02,133000,0.2879
2026-06-03,88000,0.1757
2026-06-04,229000,0.4078
2026-06-05,120000,0.2553
2026-06-08,147000,0.372
2026-06-09,87000,0.1918
2026-06-10,757000,0.2615
2026-06-11,701000,0.4297
2026-06-12,129000,0.3245
2026-06-15,194000,0.3767
2026-06-16,151000,0.3472
2026-06-17,76000,0.3357
2026-06-18,135000,0.3356
2026-06-22,117000,0.2452
2026-06-23,79000,0.3286
2026-06-24,76000,0.2866
2026-06-25,66000,0.2975
2026-06-26,104000,0.1304
2026-06-29,65000,0.2551
2026-06-30,61000,0.256
2026-07-01,39000,0.2424
2026-07-02,70000,0.3381
2026-07-03,29000,0.2073
2026-07-06,0,0.0
2026-07-07,65000,0.2736
2026-07-08,58000,0.3403
2026-07-09,37000,0.3565
2026-07-13,21000,0.0997
2026-07-14,79000,0.2362
2026-07-15,13000,0.1009
2026-07-16,13000,0.174
2026-07-17,30000,0.1175
2026-07-20,60000,0.3228
2026-07-21,17000,0.152298
2026-07-22,48000,0.364847
2026-07-23,23000,0.232885
