date,source,market,stock_id,available_volume,susp_margin_short,susp_sbl_short,no_below_flat
2026-09-16,TWT96U,twse,00400A,11231301,,,
2026-09-16,TWT96U,tpex,00411A,6793302,,,
2026-09-16,TWT96U,twse,00401A,2143528,,,
2026-09-16,TWT96U,tpex,006201,78472,,,
2026-09-16,TWT96U,twse,00402A,1447066,,,
2026-09-16,TWT96U,tpex,00679B,5328800,,,
2026-09-16,TWT96U,twse,00403A,63695508,,,
2026-09-16,TWT96U,tpex,00687B,3996436,,,
2026-09-16,TWT96U,twse,00404A,3251083,,,
2026-09-16,TWT96U,tpex,00694B,75867,,,
2026-09-16,TWT96U,twse,00405A,21152674,,,
2026-09-16,TWT96U,tpex,00695B,117063,,,
2026-09-16,TWT96U,twse,00406A,45119488,,,
2026-09-16,TWT96U,tpex,00696B,637499,,,
2026-09-16,TWT96U,twse,00407A,15562596,,,
2026-09-16,TWT96U,tpex,00697B,118158,,,
2026-09-16,TWT96U,twse,00408A,684704,,,
2026-09-16,TWT96U,tpex,00719B,651789,,,
2026-09-16,TWT96U,twse,00409A,11401635,,,
2026-09-16,TWT96U,tpex,00720B,1329391,,,
2026-09-16,TWT96U,twse,00410A,2957094,,,
2026-09-16,TWT96U,tpex,00722B,1020250,,,
2026-09-16,TWT96U,twse,0050,22989009,,,
2026-09-16,TWT96U,tpex,00723B,51573,,,
2026-09-16,TWT96U,twse,0051,15377,,,
2026-09-16,TWT96U,tpex,00724B,1155020,,,
2026-09-16,TWT96U,twse,0052,4927698,,,
2026-09-16,TWT96U,tpex,00725B,782397,,,
2026-09-16,TWT96U,twse,0053,22405,,,
2026-09-16,TWT96U,tpex,00726B,57362,,,
2026-09-16,TWT96U,twse,0055,143353,,,
2026-09-16,TWT96U,tpex,00727B,50784,,,
2026-09-16,TWT96U,twse,0056,8839341,,,
2026-09-16,TWT96U,tpex,00734B,33140,,,
2026-09-16,TWT96U,twse,0057,6558,,,
2026-09-16,TWT96U,tpex,00740B,451524,,,
2026-09-16,TWT96U,twse,0061,39217,,,
2026-09-16,TWT96U,tpex,00741B,35762,,,
2026-09-16,TWT96U,twse,006203,4634,,,
2026-09-16,TWT96U,tpex,00746B,115215,,,
2026-09-16,TWT96U,twse,006204,6900,,,
2026-09-16,TWT96U,tpex,00749B,35371,,,
2026-09-16,TWT96U,twse,006205,80301,,,
2026-09-16,TWT96U,tpex,00750B,35253,,,
2026-09-16,TWT96U,twse,006206,12246,,,
2026-09-16,TWT96U,tpex,00751B,1396388,,,
2026-09-16,TWT96U,twse,006207,47519,,,
2026-09-16,TWT96U,tpex,00754B,39293,,,
2026-09-16,TWT96U,twse,006208,708516,,,
2026-09-16,TWT96U,tpex,00755B,36152,,,
2026-09-16,TWT96U,twse,00631L,54134891,,,
2026-09-16,TWT96U,tpex,00756B,61592,,,
2026-09-16,TWT96U,twse,00632R,47037166,,,
2026-09-16,TWT96U,tpex,00758B,30305,,,
2026-09-16,TWT96U,twse,00633L,585062,,,
2026-09-16,TWT96U,tpex,00759B,30324,,,
2026-09-16,TWT96U,twse,00634R,198763,,,
2026-09-16,TWT96U,tpex,00760B,32227,,,
2026-09-16,TWT96U,twse,00635U,1359175,,,
2026-09-16,TWT96U,tpex,00761B,86439,,,
