date,source,market,stock_id,available_volume,susp_margin_short,susp_sbl_short,no_below_flat
2026-08-14,TWT96U,twse,00400A,16171796,,,
2026-08-14,TWT96U,tpex,006201,119195,,,
2026-08-14,TWT96U,twse,00401A,2384366,,,
2026-08-14,TWT96U,tpex,00679B,6905068,,,
2026-08-14,TWT96U,twse,00402A,2373104,,,
2026-08-14,TWT96U,tpex,00687B,6120101,,,
2026-08-14,TWT96U,twse,00403A,104787419,,,
2026-08-14,TWT96U,tpex,00694B,63421,,,
2026-08-14,TWT96U,twse,00404A,3074411,,,
2026-08-14,TWT96U,tpex,00695B,97769,,,
2026-08-14,TWT96U,twse,00405A,33839594,,,
2026-08-14,TWT96U,tpex,00696B,985271,,,
2026-08-14,TWT96U,twse,00406A,20657823,,,
2026-08-14,TWT96U,tpex,00697B,124062,,,
2026-08-14,TWT96U,twse,00407A,25448244,,,
2026-08-14,TWT96U,tpex,00719B,937727,,,
2026-08-14,TWT96U,twse,00408A,2601493,,,
2026-08-14,TWT96U,tpex,00720B,2058198,,,
2026-08-14,TWT96U,twse,00410A,9564684,,,
2026-08-14,TWT96U,tpex,00722B,981180,,,
2026-08-14,TWT96U,twse,0050,49524588,,,
2026-08-14,TWT96U,tpex,00723B,66377,,,
2026-08-14,TWT96U,twse,0051,27034,,,
2026-08-14,TWT96U,tpex,00724B,1156958,,,
2026-08-14,TWT96U,twse,0052,8748263,,,
2026-08-14,TWT96U,tpex,00725B,1767093,,,
2026-08-14,TWT96U,twse,0053,16406,,,
2026-08-14,TWT96U,tpex,00726B,85373,,,
2026-08-14,TWT96U,twse,0055,127420,,,
2026-08-14,TWT96U,tpex,00727B,37205,,,
2026-08-14,TWT96U,twse,0056,19330202,,,
2026-08-14,TWT96U,tpex,00734B,43276,,,
2026-08-14,TWT96U,twse,0057,8067,,,
2026-08-14,TWT96U,tpex,00740B,573523,,,
2026-08-14,TWT96U,twse,0061,80201,,,
2026-08-14,TWT96U,tpex,00741B,47910,,,
2026-08-14,TWT96U,twse,006203,9031,,,
2026-08-14,TWT96U,tpex,00746B,206438,,,
2026-08-14,TWT96U,twse,006204,7354,,,
2026-08-14,TWT96U,tpex,00749B,31147,,,
2026-08-14,TWT96U,twse,006205,182900,,,
2026-08-14,TWT96U,tpex,00750B,34355,,,
2026-08-14,TWT96U,twse,006206,21672,,,
2026-08-14,TWT96U,tpex,00751B,1596023,,,
2026-08-14,TWT96U,twse,006207,106584,,,
2026-08-14,TWT96U,tpex,00754B,41507,,,
2026-08-14,TWT96U,twse,006208,1344000,,,
2026-08-14,TWT96U,tpex,00755B,37665,,,
2026-08-14,TWT96U,twse,00631L,92063764,,,
2026-08-14,TWT96U,tpex,00756B,561486,,,
2026-08-14,TWT96U,twse,00632R,59582837,,,
2026-08-14,TWT96U,tpex,00758B,30891,,,
2026-08-14,TWT96U,twse,00633L,1090793,,,
2026-08-14,TWT96U,tpex,00759B,30553,,,
2026-08-14,TWT96U,twse,00634R,254150,,,
2026-08-14,TWT96U,tpex,00760B,33260,,,
2026-08-14,TWT96U,twse,00635U,963200,,,
2026-08-14,TWT96U,tpex,00761B,142890,,,
2026-08-14,TWT96U,twse,00636,197842,,,
2026-08-14,TWT96U,tpex,00764B,1909576,,,
2026-08-14,TWT96U,twse,00637L,8181520,,,
2026-08-14,TWT96U,tpex,00768B,224355,,,
2026-08-14,TWT96U,twse,00638R,93093,,,
2026-08-14,TWT96U,tpex,00772B,703090,,,
2026-08-14,TWT96U,twse,00639,292223,,,
2026-08-14,TWT96U,tpex,00773B,259044,,,
2026-08-14,TWT96U,twse,00640L,48636,,,
2026-08-14,TWT96U,tpex,00777B,33948,,,
2026-08-14,TWT96U,twse,00641R,481638,,,
2026-08-14,TWT96U,tpex,00778B,33147,,,
2026-08-14,TWT96U,twse,00642U,1359432,,,
2026-08-14,TWT96U,tpex,00779B,123903,,,
2026-08-14,TWT96U,twse,00643,867925,,,
2026-08-14,TWT96U,tpex,00780B,432447,,,
2026-08-14,TWT96U,twse,00645,52520,,,
2026-08-14,TWT96U,tpex,00781B,56037,,,
2026-08-14,TWT96U,twse,00646,912486,,,
2026-08-14,TWT96U,tpex,00782B,63207,,,
2026-08-14,TWT96U,twse,00647L,13189,,,
2026-08-14,TWT96U,tpex,00785B,1491114,,,
2026-08-14,TWT96U,twse,00648R,482791,,,
2026-08-14,TWT96U,tpex,00786B,23810,,,
2026-08-14,TWT96U,twse,00650L,1487121,,,
2026-08-14,TWT96U,tpex,00787B,9928,,,
2026-08-14,TWT96U,twse,00651R,118450,,,
2026-08-14,TWT96U,tpex,00788B,14254,,,
2026-08-14,TWT96U,twse,00652,105261,,,
2026-08-14,TWT96U,tpex,00789B,38356,,,
2026-08-14,TWT96U,twse,00653L,0,,,
2026-08-14,TWT96U,tpex,00791B,34887,,,
2026-08-14,TWT96U,twse,00654R,24255,,,
2026-08-14,TWT96U,tpex,00792B,55624,,,
2026-08-14,TWT96U,twse,00655L,542457,,,
2026-08-14,TWT96U,tpex,00793B,10725,,,
2026-08-14,TWT96U,twse,00656R,186034,,,
2026-08-14,TWT96U,tpex,00795B,1744000,,,
2026-08-14,TWT96U,twse,00657,52264,,,
2026-08-14,TWT96U,tpex,00799B,75583,,,
2026-08-14,TWT96U,twse,00660,3753,,,
2026-08-14,TWT96U,tpex,00834B,32852,,,
2026-08-14,TWT96U,twse,00661,42444,,,
2026-08-14,TWT96U,tpex,00836B,12478,,,
2026-08-14,TWT96U,twse,00662,1156068,,,
2026-08-14,TWT96U,tpex,00840B,30660,,,
2026-08-14,TWT96U,twse,00663L,3752087,,,
2026-08-14,TWT96U,tpex,00841B,33605,,,
2026-08-14,TWT96U,twse,00664R,10344361,,,
2026-08-14,TWT96U,tpex,00842B,89912,,,
2026-08-14,TWT96U,twse,00665L,6882895,,,
2026-08-14,TWT96U,tpex,00844B,32448,,,
2026-08-14,TWT96U,twse,00666R,64679,,,
2026-08-14,TWT96U,tpex,00845B,35743,,,
2026-08-14,TWT96U,twse,00668,31466,,,
2026-08-14,TWT96U,tpex,00846B,34207,,,
2026-08-14,TWT96U,twse,00669R,311434,,,
2026-08-14,TWT96U,tpex,00847B,90798,,,
2026-08-14,TWT96U,twse,00670L,230863,,,
2026-08-14,TWT96U,tpex,00848B,86907,,,
2026-08-14,TWT96U,twse,00671R,1788132,,,
2026-08-14,TWT96U,tpex,00849B,90120,,,
2026-08-14,TWT96U,twse,00673R,5923542,,,
2026-08-14,TWT96U,tpex,00853B,309387,,,
2026-08-14,TWT96U,twse,00674R,67822,,,
2026-08-14,TWT96U,tpex,00856B,6414,,,
2026-08-14,TWT96U,twse,00675L,787298,,,
2026-08-14,TWT96U,tpex,00857B,443078,,,
2026-08-14,TWT96U,twse,00676R,3262797,,,
2026-08-14,TWT96U,tpex,00858,138515,,,
2026-08-14,TWT96U,twse,00678,135350,,,
2026-08-14,TWT96U,tpex,00859B,776239,,,
2026-08-14,TWT96U,twse,00680L,3744501,,,
2026-08-14,TWT96U,tpex,00860B,33666,,,
2026-08-14,TWT96U,twse,00681R,54098,,,
2026-08-14,TWT96U,tpex,00862B,109505,,,
2026-08-14,TWT96U,twse,00682U,1356,,,
2026-08-14,TWT96U,tpex,00863B,103449,,,
2026-08-14,TWT96U,twse,00683L,21882,,,
2026-08-14,TWT96U,tpex,00864B,393669,,,
2026-08-14,TWT96U,twse,00684R,5088,,,
2026-08-14,TWT96U,tpex,00867B,30309,,,
2026-08-14,TWT96U,twse,00685L,110958009,,,
2026-08-14,TWT96U,tpex,00870B,2735,,,
2026-08-14,TWT96U,twse,00686R,4232647,,,
2026-08-14,TWT96U,tpex,00877,1581605,,,
2026-08-14,TWT96U,twse,00688L,1260390,,,
2026-08-14,TWT96U,tpex,00884B,82862,,,
2026-08-14,TWT96U,twse,00689R,68278,,,
2026-08-14,TWT96U,tpex,00886,9547,,,
2026-08-14,TWT96U,twse,00690,172749,,,
2026-08-14,TWT96U,tpex,00887,3059219,,,
2026-08-14,TWT96U,twse,00692,452434,,,
2026-08-14,TWT96U,tpex,00888,6102241,,,
2026-08-14,TWT96U,twse,00693U,245135,,,
2026-08-14,TWT96U,tpex,00890B,33693,,,
2026-08-14,TWT96U,twse,00700,151091,,,
2026-08-14,TWT96U,tpex,00928,649105,,,
2026-08-14,TWT96U,twse,00701,218534,,,
2026-08-14,TWT96U,tpex,00931B,677467,,,
2026-08-14,TWT96U,twse,00702,29352,,,
2026-08-14,TWT96U,tpex,00933B,2962171,,,
2026-08-14,TWT96U,twse,00703,12891,,,
2026-08-14,TWT96U,tpex,00937B,16167106,,,
2026-08-14,TWT96U,twse,00706L,555395,,,
2026-08-14,TWT96U,tpex,00942B,463716,,,
2026-08-14,TWT96U,twse,00707R,711,,,
2026-08-14,TWT96U,tpex,00948B,1982350,,,
2026-08-14,TWT96U,twse,00708L,1124618,,,
2026-08-14,TWT96U,tpex,00950B,1491452,,,
2026-08-14,TWT96U,twse,00709,26787,,,
2026-08-14,TWT96U,tpex,00955,1921161,,,
2026-08-14,TWT96U,twse,00710B,82198,,,
2026-08-14,TWT96U,tpex,00957B,180061,,,
2026-08-14,TWT96U,twse,00711B,36345,,,
2026-08-14,TWT96U,tpex,00958B,141477,,,
2026-08-14,TWT96U,twse,00712,8069283,,,
2026-08-14,TWT96U,tpex,00959B,395253,,,
2026-08-14,TWT96U,twse,00713,1679905,,,
2026-08-14,TWT96U,tpex,00966B,226618,,,
2026-08-14,TWT96U,twse,00714,79879,,,
2026-08-14,TWT96U,tpex,00967B,170702,,,
2026-08-14,TWT96U,twse,00715L,3237702,,,
2026-08-14,TWT96U,tpex,00968B,1068951,,,
2026-08-14,TWT96U,twse,00717,52813,,,
2026-08-14,TWT96U,tpex,00969B,261165,,,
2026-08-14,TWT96U,twse,00728,84510,,,
2026-08-14,TWT96U,tpex,00970B,374853,,,
2026-08-14,TWT96U,twse,00730,52061,,,
2026-08-14,TWT96U,tpex,009806,17907,,,
2026-08-14,TWT96U,twse,00731,201319,,,
2026-08-14,TWT96U,tpex,009807,26079,,,
2026-08-14,TWT96U,twse,00733,399460,,,
2026-08-14,TWT96U,tpex,00980B,112549,,,
2026-08-14,TWT96U,twse,00735,1211992,,,
2026-08-14,TWT96U,tpex,00980D,268112,,,
2026-08-14,TWT96U,twse,00736,37228,,,
2026-08-14,TWT96U,tpex,00980T,288394,,,
2026-08-14,TWT96U,twse,00737,56763,,,
2026-08-14,TWT96U,tpex,009814,315009,,,
2026-08-14,TWT96U,twse,00738U,979837,,,
2026-08-14,TWT96U,tpex,009815,1220757,,,
2026-08-14,TWT96U,twse,00739,30737,,,
2026-08-14,TWT96U,tpex,00981B,3948063,,,
2026-08-14,TWT96U,twse,00752,842686,,,
2026-08-14,TWT96U,tpex,00981D,1355457,,,
2026-08-14,TWT96U,twse,00753L,4464314,,,
2026-08-14,TWT96U,tpex,009822,228393,,,
2026-08-14,TWT96U,twse,00757,635176,,,
2026-08-14,TWT96U,tpex,009823,1740549,,,
2026-08-14,TWT96U,twse,00762,81240,,,
2026-08-14,TWT96U,tpex,009825,923079,,,
2026-08-14,TWT96U,twse,00763U,207466,,,
2026-08-14,TWT96U,tpex,00982B,25322,,,
2026-08-14,TWT96U,twse,00770,67596,,,
2026-08-14,TWT96U,tpex,00983B,70098,,,
2026-08-14,TWT96U,twse,00771,6099,,,
2026-08-14,TWT96U,tpex,00984B,347739,,,
2026-08-14,TWT96U,twse,00775B,26309,,,
2026-08-14,TWT96U,tpex,00985D,307838,,,
2026-08-14,TWT96U,twse,00783,49346,,,
2026-08-14,TWT96U,tpex,00986B,34435,,,
2026-08-14,TWT96U,twse,00830,3222130,,,
2026-08-14,TWT96U,tpex,00986D,353673,,,
2026-08-14,TWT96U,twse,00850,251739,,,
2026-08-14,TWT96U,tpex,00987B,242627,,,
2026-08-14,TWT96U,twse,00851,2588,,,
2026-08-14,TWT96U,tpex,00988B,1150182,,,
2026-08-14,TWT96U,twse,00852L,22356,,,
2026-08-14,TWT96U,tpex,00989B,1165763,,,
2026-08-14,TWT96U,twse,00861,68008,,,
2026-08-14,TWT96U,tpex,00990B,1200148,,,
2026-08-14,TWT96U,twse,00865B,1139598,,,
2026-08-14,TWT96U,tpex,00998A,845173,,,
2026-08-14,TWT96U,twse,00875,46954,,,
2026-08-14,TWT96U,tpex,1240,4931,,,
2026-08-14,TWT96U,twse,00876,139455,,,
2026-08-14,TWT96U,tpex,1259,5540,,,
2026-08-14,TWT96U,twse,00878,12681160,,,
2026-08-14,TWT96U,tpex,1264,9768,,,
2026-08-14,TWT96U,twse,00881,5759539,,,
