date,source,market,stock_id,available_volume,susp_margin_short,susp_sbl_short,no_below_flat
2026-09-03,TWT96U,tpex,00848B,95093,,,
2026-09-03,TWT96U,twse,00671R,1510242,,,
2026-09-03,TWT96U,tpex,00849B,98669,,,
2026-09-03,TWT96U,twse,00673R,6429378,,,
2026-09-03,TWT96U,tpex,00853B,319720,,,
2026-09-03,TWT96U,twse,00674R,67872,,,
2026-09-03,TWT96U,tpex,00856B,8273,,,
2026-09-03,TWT96U,twse,00675L,560123,,,
2026-09-03,TWT96U,tpex,00857B,348765,,,
2026-09-03,TWT96U,twse,00676R,2862944,,,
2026-09-03,TWT96U,tpex,00858,119367,,,
2026-09-03,TWT96U,twse,00678,129250,,,
2026-09-03,TWT96U,tpex,00859B,808509,,,
2026-09-03,TWT96U,twse,00680L,3411871,,,
2026-09-03,TWT96U,tpex,00860B,33777,,,
2026-09-03,TWT96U,twse,00681R,47345,,,
2026-09-03,TWT96U,tpex,00862B,104648,,,
2026-09-03,TWT96U,twse,00682U,1201,,,
2026-09-03,TWT96U,tpex,00863B,119694,,,
2026-09-03,TWT96U,twse,00683L,24306,,,
2026-09-03,TWT96U,tpex,00864B,400004,,,
2026-09-03,TWT96U,twse,00684R,7311,,,
2026-09-03,TWT96U,tpex,00867B,24024,,,
2026-09-03,TWT96U,twse,00685L,89700520,,,
2026-09-03,TWT96U,tpex,00870B,5760,,,
2026-09-03,TWT96U,twse,00686R,3942485,,,
2026-09-03,TWT96U,tpex,00877,1177516,,,
2026-09-03,TWT96U,twse,00688L,1384973,,,
2026-09-03,TWT96U,tpex,00884B,92251,,,
2026-09-03,TWT96U,twse,00689R,59272,,,
2026-09-03,TWT96U,tpex,00886,7315,,,
2026-09-03,TWT96U,twse,00690,132610,,,
2026-09-03,TWT96U,tpex,00887,2171832,,,
2026-09-03,TWT96U,twse,00692,324102,,,
2026-09-03,TWT96U,tpex,00888,4273504,,,
2026-09-03,TWT96U,twse,00693U,294392,,,
2026-09-03,TWT96U,tpex,00890B,33660,,,
2026-09-03,TWT96U,twse,00700,101717,,,
2026-09-03,TWT96U,tpex,00928,330378,,,
2026-09-03,TWT96U,twse,00701,217035,,,
2026-09-03,TWT96U,tpex,00931B,682084,,,
2026-09-03,TWT96U,twse,00702,28389,,,
2026-09-03,TWT96U,tpex,00933B,2835402,,,
2026-09-03,TWT96U,twse,00703,9381,,,
2026-09-03,TWT96U,tpex,00937B,14450329,,,
2026-09-03,TWT96U,twse,00706L,432059,,,
2026-09-03,TWT96U,tpex,00942B,316165,,,
2026-09-03,TWT96U,twse,00707R,520,,,
2026-09-03,TWT96U,tpex,00948B,1398928,,,
2026-09-03,TWT96U,twse,00708L,1556988,,,
2026-09-03,TWT96U,tpex,00950B,1087656,,,
2026-09-03,TWT96U,twse,00709,29949,,,
2026-09-03,TWT96U,tpex,00955,1550830,,,
2026-09-03,TWT96U,twse,00710B,76264,,,
2026-09-03,TWT96U,tpex,00957B,113796,,,
2026-09-03,TWT96U,twse,00711B,35325,,,
2026-09-03,TWT96U,tpex,00958B,168808,,,
2026-09-03,TWT96U,twse,00712,6177841,,,
2026-09-03,TWT96U,tpex,00959B,413090,,,
2026-09-03,TWT96U,twse,00713,1497355,,,
2026-09-03,TWT96U,tpex,00966B,285794,,,
2026-09-03,TWT96U,twse,00714,62437,,,
2026-09-03,TWT96U,tpex,00967B,186664,,,
2026-09-03,TWT96U,twse,00715L,2594332,,,
2026-09-03,TWT96U,tpex,00968B,819473,,,
2026-09-03,TWT96U,twse,00717,52951,,,
2026-09-03,TWT96U,tpex,00969B,243815,,,
2026-09-03,TWT96U,twse,00728,112867,,,
2026-09-03,TWT96U,tpex,00970B,455809,,,
2026-09-03,TWT96U,twse,00730,39276,,,
2026-09-03,TWT96U,tpex,009806,23208,,,
2026-09-03,TWT96U,twse,00731,199955,,,
2026-09-03,TWT96U,tpex,009807,30609,,,
2026-09-03,TWT96U,twse,00733,241090,,,
2026-09-03,TWT96U,tpex,00980B,109148,,,
2026-09-03,TWT96U,twse,00735,968368,,,
2026-09-03,TWT96U,tpex,00980D,197055,,,
2026-09-03,TWT96U,twse,00736,33678,,,
2026-09-03,TWT96U,tpex,00980T,223656,,,
2026-09-03,TWT96U,twse,00737,45481,,,
2026-09-03,TWT96U,tpex,009814,306074,,,
2026-09-03,TWT96U,twse,00738U,1123270,,,
2026-09-03,TWT96U,tpex,009815,757742,,,
2026-09-03,TWT96U,twse,00739,16116,,,
2026-09-03,TWT96U,tpex,00981B,4208491,,,
2026-09-03,TWT96U,twse,00752,591530,,,
2026-09-03,TWT96U,tpex,00981D,1209477,,,
2026-09-03,TWT96U,twse,00753L,3183087,,,
2026-09-03,TWT96U,tpex,009822,258626,,,
2026-09-03,TWT96U,twse,00757,466756,,,
2026-09-03,TWT96U,tpex,009823,945455,,,
2026-09-03,TWT96U,twse,00762,61321,,,
2026-09-03,TWT96U,tpex,009825,795214,,,
2026-09-03,TWT96U,twse,00763U,153298,,,
2026-09-03,TWT96U,tpex,00982B,33803,,,
2026-09-03,TWT96U,twse,00770,58594,,,
2026-09-03,TWT96U,tpex,00983B,99430,,,
2026-09-03,TWT96U,twse,00771,8314,,,
2026-09-03,TWT96U,tpex,00984B,283067,,,
2026-09-03,TWT96U,twse,00775B,30989,,,
2026-09-03,TWT96U,tpex,00985D,360888,,,
2026-09-03,TWT96U,twse,00783,31182,,,
2026-09-03,TWT96U,tpex,00986B,46005,,,
2026-09-03,TWT96U,twse,00830,2314794,,,
2026-09-03,TWT96U,tpex,00986D,301523,,,
2026-09-03,TWT96U,twse,00850,243909,,,
2026-09-03,TWT96U,tpex,00987B,200815,,,
2026-09-03,TWT96U,twse,00851,5263,,,
2026-09-03,TWT96U,tpex,00987D,3669043,,,
2026-09-03,TWT96U,twse,00852L,17544,,,
2026-09-03,TWT96U,tpex,00988B,966686,,,
2026-09-03,TWT96U,twse,00861,44335,,,
2026-09-03,TWT96U,tpex,00989B,1210316,,,
2026-09-03,TWT96U,twse,00865B,861452,,,
2026-09-03,TWT96U,tpex,00990B,497382,,,
2026-09-03,TWT96U,twse,00875,64918,,,
2026-09-03,TWT96U,tpex,00998A,821620,,,
2026-09-03,TWT96U,twse,00876,83299,,,
2026-09-03,TWT96U,tpex,1240,3780,,,
2026-09-03,TWT96U,twse,00878,14880142,,,
2026-09-03,TWT96U,tpex,1259,7857,,,
2026-09-03,TWT96U,twse,00881,10549914,,,
2026-09-03,TWT96U,tpex,1264,7794,,,
2026-09-03,TWT96U,twse,00882,1768288,,,
2026-09-03,TWT96U,tpex,1268,11054,,,
2026-09-03,TWT96U,twse,00885,858083,,,
2026-09-03,TWT96U,tpex,1294,6573,,,
2026-09-03,TWT96U,twse,00891,5961757,,,
2026-09-03,TWT96U,tpex,1295,12027,,,
2026-09-03,TWT96U,twse,00892,1353784,,,
2026-09-03,TWT96U,tpex,1336,173125,,,
2026-09-03,TWT96U,twse,00893,228901,,,
2026-09-03,TWT96U,tpex,1565,34631,,,
2026-09-03,TWT96U,twse,00894,459260,,,
2026-09-03,TWT96U,tpex,1569,127782,,,
2026-09-03,TWT96U,twse,00895,140170,,,
2026-09-03,TWT96U,tpex,1570,16360,,,
2026-09-03,TWT96U,twse,00896,780398,,,
2026-09-03,TWT96U,tpex,1580,26991,,,
2026-09-03,TWT96U,twse,00897,299381,,,
2026-09-03,TWT96U,tpex,1584,156320,,,
2026-09-03,TWT96U,twse,00898,419227,,,
2026-09-03,TWT96U,tpex,1586,164136,,,
2026-09-03,TWT96U,twse,00899,17102,,,
2026-09-03,TWT96U,tpex,1591,76250,,,
2026-09-03,TWT96U,twse,00900,1524685,,,
2026-09-03,TWT96U,tpex,1593,8644,,,
2026-09-03,TWT96U,twse,00901,136373,,,
2026-09-03,TWT96U,tpex,1595,99252,,,
2026-09-03,TWT96U,twse,00902,214284,,,
2026-09-03,TWT96U,tpex,1599,10470,,,
