date,total_buy,top10_net_buy,top10_conc,next_day_reversal,foreign_net_share
2023-12-04,83470,37000,0.443273,0.135135,0.013086
2023-12-05,41546,24000,0.577673,0.833333,0.038915
2023-12-06,770745,152450,0.197796,0.249741,0.012409
2023-12-07,302190,116100,0.384195,0.05168,0.031662
2023-12-08,170674,96000,0.562476,0.34349,0.040931
2023-12-11,664186,276868,0.416853,1.087522,0.011815
2023-12-12,1090462,555900,0.509784,0.509084,0.032118
2023-12-13,637516,178210,0.279538,0.173952,0.055343
2023-12-14,138101,45000,0.325848,0.111111,0.035901
2023-12-15,465092,104100,0.223827,0.201729,0.005764
2023-12-18,96049,40341,0.420004,0.249126,0.00659
2023-12-19,129764,88000,0.678154,0.0,0.013079
2023-12-20,66699,38000,0.569724,0.239474,0.018354
2023-12-21,295473,58511,0.198025,0.153817,0.024764
2023-12-22,212456,66130,0.311264,0.060487,0.006654
2023-12-25,79200,40000,0.505051,0.15,0.007305
2023-12-26,57090,37000,0.648099,0.243243,0.0
2023-12-27,112189,67961,0.605772,0.353144,0.011517
2023-12-28,90610,30050,0.331641,0.033278,0.007757
2023-12-29,38761,24000,0.619179,0.0,0.0
2024-01-02,44473,26054,0.585839,0.080602,0.0
2024-01-03,33300,23000,0.690691,0.043478,0.0
2024-01-04,216319,68932,0.318659,0.0,0.0
2024-01-05,75319,41000,0.544351,0.146341,0.008303
2024-01-08,62688,32040,0.511103,0.218477,0.0
2024-01-09,41581,35000,0.841731,0.057143,0.012321
2024-01-10,20017,14000,0.699406,0.357143,0.027752
2024-01-11,76152,73142,0.960474,0.00041,0.020505
2024-01-12,137667,129002,0.937058,0.155036,0.003862
2024-01-15,119452,96000,0.80367,0.041667,0.018467
2024-01-16,127378,92062,0.722746,0.010862,0.010286
2024-01-17,32212,23600,0.732646,0.29661,0.0
2024-01-18,51164,36063,0.704851,0.221834,0.0
2024-01-19,64263,54150,0.842631,0.036934,0.046072
2024-01-22,81149,65906,0.81216,0.015173,0.015117
2024-01-23,45688,39100,0.855805,0.025575,0.0
2024-01-24,52200,47000,0.900383,0.106383,0.0
2024-01-25,33984,29984,0.882298,0.033351,0.0
2024-01-26,71737,49000,0.683051,0.959184,0.0
2024-01-29,964797,641068,0.664459,0.228993,0.000655
2024-01-30,1522012,333100,0.218855,0.006004,0.051768
2024-01-31,243289,145000,0.595999,0.027931,0.00779
2024-02-01,466417,270000,0.578881,0.066667,0.058796
2024-02-02,252664,122980,0.486733,0.219548,0.032805
2024-02-05,334506,249083,0.744629,0.209167,0.011529
2024-02-15,575250,254553,0.442508,0.027499,0.056895
2024-02-16,308797,118000,0.382128,0.085169,0.002702
2024-02-19,547874,357020,0.651646,0.060081,0.003473
2024-02-20,442684,225000,0.508263,0.013333,0.00999
2024-02-21,217305,131000,0.602839,0.06374,0.021159
2024-02-22,161692,112446,0.695433,0.080038,0.010918
2024-02-23,209817,86851,0.413937,0.034542,0.033841
2024-02-26,220110,120000,0.545182,0.0,0.041671
2024-02-27,203818,106879,0.524384,0.056176,0.033727
2024-02-29,147494,94000,0.637314,0.048298,0.017501
2024-03-01,393055,140602,0.357716,0.170695,0.103669
2024-03-04,192564,84000,0.436219,0.0,0.126929
2024-03-05,508295,276000,0.542992,0.039855,0.094809
2024-03-06,238024,117000,0.491547,0.0,0.092195
2024-03-07,196027,112094,0.571829,0.035684,0.061688
2024-03-08,339999,165001,0.485298,0.21212,0.046104
2024-03-11,185256,60000,0.323876,0.016667,0.078743
2024-03-12,113160,90000,0.795334,0.0,0.064405
2024-03-13,156230,87000,0.556871,0.057471,0.095073
2024-03-14,86129,52100,0.604907,0.0,0.12856
2024-03-15,92928,54100,0.582171,1.03512,0.1857
2024-03-18,195304,122000,0.624667,0.147541,0.110577
2024-03-19,78610,48000,0.610609,0.125,0.1339
2024-03-20,132366,76000,0.574166,0.302632,0.228738
2024-03-21,113157,47000,0.415352,0.170213,0.167214
2024-03-22,112431,49005,0.435867,,0.094864
