date,total_buy,top10_net_buy,top10_conc,next_day_reversal,foreign_net_share
2022-05-25,11009,11000,0.999182,0.0,0.0
2022-05-26,2008,1000,0.498008,15.007,0.0
2022-05-27,15011,15003,0.999467,0.0002,0.0
2022-05-30,6008,6006,0.999667,0.166667,0.0
2022-05-31,1022,1015,0.993151,0.000985,0.0
2022-06-01,12007,12007,1.0,0.0,0.041642
2022-06-02,4,0,0.0,,0.0
2022-06-06,1012,0,0.0,,0.0
2022-06-07,11,0,0.0,,0.0
2022-06-08,4530,4528,0.999558,0.0,0.0
2022-06-09,4005,4000,0.998752,0.004,0.0
2022-06-10,5041,5022,0.996231,0.0,0.0
2022-06-13,12006,12004,0.999833,0.000833,0.0
2022-06-14,1014,0,0.0,,0.0
2022-06-15,3000,0,0.0,,0.0
2022-06-16,27005,25004,0.925903,0.00012,0.039994
2022-06-17,5003,0,0.0,,0.0
2022-06-20,16033,15000,0.93557,6.7e-05,0.0
2022-06-21,3,0,0.0,,0.0
2022-06-22,65448,33000,0.504217,0.0,0.0
2022-06-23,2000,0,0.0,,0.0
2022-06-24,10004,10003,0.9999,0.0,0.0
2022-06-27,35044,31044,0.885858,0.0,0.0
2022-06-28,2,0,0.0,,0.0
2022-06-29,15007,12003,0.799827,0.0,0.0
2022-06-30,14157,12156,0.858656,0.0,0.0
2022-07-01,3008,3005,0.999003,0.0,0.0
2022-07-04,2,0,0.0,,0.0
2022-07-05,16003,15002,0.937449,0.0,0.033327
2022-07-06,13,0,0.0,,0.0
2022-07-07,12005,12002,0.99975,0.000167,0.0
2022-07-08,12004,12003,0.999917,0.0,0.0
2022-07-11,94016,68000,0.723281,0.044118,0.0
2022-07-12,50002,50002,1.0,0.039998,0.0
2022-07-13,78268,73000,0.932693,0.041096,0.013157
2022-07-14,23006,22005,0.95649,9.1e-05,0.0
2022-07-15,7005,6005,0.857245,0.003164,0.0
2022-07-18,11022,11021,0.999909,0.272117,0.0
2022-07-19,20021,18017,0.899905,0.166509,0.027747
2022-07-20,9497,9496,0.999895,1.053075,0.0
2022-07-21,84031,82000,0.97583,0.0,0.006095
2022-07-22,29007,29000,0.999759,0.103448,0.0
2022-07-25,7015,7014,0.999857,0.000143,0.0
2022-07-26,54006,46000,0.851757,0.021739,0.0
