date,total_buy,top10_net_buy,top10_conc,next_day_reversal,foreign_net_share
2022-09-19,101718,74486,0.732279,0.005491,0.024939
2022-09-20,55479,51000,0.919267,0.333333,0.058276
2022-09-21,48012,44002,0.916479,0.0,0.124977
2022-09-22,57493,45000,0.782704,0.0,0.020631
2022-09-23,30952,26000,0.84001,0.109808,0.018972
2022-09-26,145049,118000,0.813518,0.008475,0.007755
2022-09-27,218700,168999,0.772743,0.508879,0.0
2022-09-28,114756,77000,0.670989,0.0,0.028539
2022-09-29,47257,37847,0.800876,0.008904,0.103082
2022-09-30,24337,20151,0.827999,0.0,0.098391
2022-10-03,47760,25688,0.537856,0.07669,0.15528
2022-10-04,48402,40200,0.830544,0.124378,0.012385
2022-10-05,34473,27373,0.794042,0.0,0.036399
2022-10-06,14263,14163,0.992989,0.282426,0.0
2022-10-07,48304,35107,0.726793,0.011906,0.0
2022-10-11,95589,77000,0.805532,0.038961,0.00595
2022-10-12,45557,45448,0.997607,0.0,0.087802
2022-10-13,97981,77354,0.78948,0.025855,0.063727
2022-10-14,118523,88216,0.744294,0.011336,0.055902
2022-10-17,104254,79835,0.765774,0.0,0.006166
2022-10-18,40062,35982,0.898158,0.333583,0.055534
2022-10-19,192353,21186,0.110141,0.0,0.023416
2022-10-20,36352,1349,0.037109,17.790956,0.0
2022-10-21,57248,43146,0.753668,0.046354,0.080929
2022-10-24,49662,47655,0.959587,0.041968,0.115398
2022-10-25,68677,40100,0.583893,0.099751,0.033574
2022-10-26,87755,51000,0.581163,0.0,0.018621
2022-10-27,40128,25000,0.623006,0.0,0.184311
2022-10-28,10694,6639,0.620815,0.0,0.451807
2022-10-31,4080,2876,0.704902,0.347705,0.0
2022-11-01,108212,104000,0.961076,0.019231,0.0
2022-11-02,38866,32000,0.823342,0.0,0.0
2022-11-03,28140,22101,0.785394,0.316728,0.0
2022-11-04,143835,107293,0.745945,0.205046,0.039429
2022-11-07,55283,43000,0.777816,0.097674,0.0
2022-11-08,93013,44005,0.473106,0.0,0.008458
2022-11-09,74590,45000,0.603298,0.044444,0.0
2022-11-10,97738,79853,0.817011,0.19174,0.00685
2022-11-11,114350,94100,0.822912,0.021254,0.020976
2022-11-14,78354,69000,0.880619,0.0,0.007007
2022-11-15,40745,18143,0.445282,0.0,0.063342
2022-11-16,106119,94010,0.885892,0.014849,0.074911
2022-11-17,21864,21199,0.969585,0.104345,0.045737
2022-11-18,115772,114000,0.984694,0.008772,0.0
2022-11-21,32804,24801,0.756036,2.721664,0.0
2022-11-22,768204,499657,0.650422,0.946649,0.002263
2022-11-23,5831368,884311,0.151647,0.641454,0.004941
2022-11-24,4702011,1179256,0.250798,0.07208,0.006567
2022-11-25,2148934,731002,0.34017,0.153214,0.00816
2022-11-28,3448555,651000,0.188775,0.213518,0.040511
2022-11-29,1617561,565000,0.349291,0.035398,0.042527
2022-11-30,993842,470000,0.472912,0.021277,0.034278
2022-12-01,1767626,273002,0.154446,0.311353,0.01215
2022-12-02,571266,253110,0.443069,0.4161,0.042469
2022-12-05,473716,237205,0.500733,0.016863,0.038472
2022-12-06,450320,195996,0.435237,0.188779,0.071151
2022-12-07,299038,158000,0.528361,0.063291,0.024303
2022-12-08,272320,105209,0.386343,0.998013,0.05266
2022-12-09,2243874,334000,0.14885,0.179641,0.053055
2022-12-12,280692,175000,0.623459,0.011429,0.020518
2022-12-13,419498,184000,0.438619,0.043478,0.034652
2022-12-14,169540,104000,0.613425,0.096154,0.01875
2022-12-15,139505,85020,0.609441,0.399906,0.067883
2022-12-16,197234,100031,0.507169,0.249923,0.041208
2022-12-19,318139,205000,0.644372,0.219512,0.021654
2022-12-20,266175,200150,0.751949,0.024981,0.011102
2022-12-21,216190,159000,0.735464,0.044025,0.006128
2022-12-22,77579,60993,0.786205,0.098356,0.038717
2022-12-23,72234,52000,0.719883,0.480769,0.084534
2022-12-26,69044,57000,0.825561,0.122807,0.032806
2022-12-27,160327,127000,0.792131,,0.065728
2023-08-30,40713,38000,0.933363,0.0,0.0
2023-08-31,94923,81902,0.862826,0.024419,0.0
2023-09-01,59225,44000,0.74293,0.068182,0.056366
2023-09-04,36056,29000,0.804304,0.0,0.086826
2023-09-05,24893,16511,0.663279,0.007207,0.119097
2023-09-06,99245,62000,0.624717,0.048387,0.031611
2023-09-07,53224,41000,0.770329,0.02439,0.076027
2023-09-08,48079,37000,0.769567,0.135135,0.0
2023-09-11,39181,26992,0.688905,0.129668,0.0
2023-09-12,69729,55042,0.78937,0.127176,0.025346
2023-09-13,50744,49260,0.970755,0.0,0.020103
2023-09-14,55662,55000,0.988107,0.016527,0.044994
2023-09-15,38012,36418,0.958066,0.0,0.013542
2023-09-18,25576,22200,0.868001,0.09009,0.02229
2023-09-19,69375,62290,0.897874,0.012024,0.038853
2023-09-20,58245,54390,0.933814,0.316786,0.027385
2023-09-21,123772,109122,0.881637,0.064148,0.05221
2023-09-22,129976,119000,0.915554,0.0,0.012129
2023-09-25,57770,56151,0.971975,0.030204,0.017615
2023-09-26,213799,182000,0.851267,0.082418,0.011948
2023-09-27,159235,147000,0.923164,0.001347,0.051937
2023-09-28,51635,38123,0.738317,0.393201,0.077967
2023-10-02,128951,94001,0.728967,0.042553,0.025616
2023-10-03,51207,41000,0.800672,0.268293,0.0
2023-10-04,100579,88096,0.875889,0.056768,0.010686
2023-10-05,85697,62001,0.723491,0.322559,0.0
