date,total_buy,top10_net_buy,top10_conc,next_day_reversal,foreign_net_share
2022-06-09,1431785,503874,0.35192,0.186555,0.181016
2022-06-10,2942979,516952,0.175656,0.578526,0.041838
2022-06-13,13633451,994660,0.072957,0.548926,0.032342
2022-06-14,5296253,506888,0.095707,0.264338,0.165613
2022-06-15,1757876,499000,0.283865,0.024048,0.216021
2022-06-16,7229198,1283750,0.177578,0.245375,0.139241
2022-06-17,4028416,704600,0.174907,0.906898,0.121295
2022-06-20,4126430,511090,0.123858,0.392598,0.270368
2022-06-21,7237244,2550997,0.352482,0.119953,0.221777
2022-06-22,3807550,437010,0.114775,0.556051,0.129337
2022-06-23,3462625,490496,0.141654,0.205914,0.194348
2022-06-24,2683503,637278,0.23748,0.338706,0.223829
2022-06-27,3642924,535808,0.147082,0.061815,0.174964
2022-06-28,2070016,849000,0.410142,0.124853,0.269943
2022-06-29,3457681,1035000,0.299334,0.801868,0.18322
2022-06-30,3570210,481739,0.134933,0.296592,0.201724
2022-07-01,2628289,991000,0.377051,0.053481,0.258043
2022-07-04,1448213,359554,0.248274,0.059104,0.113737
2022-07-05,1241293,465000,0.374609,0.572043,0.238885
2022-07-06,1978329,310615,0.157009,0.643208,0.082756
2022-07-07,1844801,907312,0.491821,0.0,0.277672
2022-07-08,4359664,1829100,0.419551,0.095107,0.255297
2022-07-11,2075324,369900,0.178237,0.467694,0.163507
2022-07-12,1125162,313135,0.278302,0.169895,0.239139
2022-07-13,1349358,303900,0.225218,0.032906,0.255938
2022-07-14,1620487,404000,0.249308,0.279762,0.245161
2022-07-15,3879069,402776,0.103833,0.607573,0.147162
2022-07-18,2368103,1588000,0.670579,0.024559,0.39002
2022-07-19,1134282,421000,0.37116,0.442043,0.18543
2022-07-20,1755468,329092,0.187467,0.188397,0.206972
2022-07-21,1312085,333342,0.254055,0.043493,0.145876
2022-07-22,1084982,448000,0.41291,0.227679,0.229753
2022-07-25,474960,202000,0.425299,0.148515,0.277815
2022-07-26,643598,180224,0.280026,0.309781,0.16482
2022-07-27,499856,209900,0.419921,1.310148,0.260332
2022-07-28,773696,288000,0.372239,0.326458,0.330428
2022-07-29,2093636,861017,0.411254,0.153309,0.231908
2022-08-01,2934767,695378,0.236945,0.011505,0.158606
2022-08-02,2056264,675000,0.328265,0.220741,0.249114
2022-08-03,1246700,277855,0.222872,0.082629,0.206767
2022-08-04,1029885,234164,0.227369,0.406309,0.154354
2022-08-05,2665773,1308094,0.4907,0.077976,0.257196
2022-08-08,741765,164000,0.221094,0.116159,0.183858
2022-08-09,1055329,303549,0.287634,0.589691,0.15239
2022-08-10,3425184,375900,0.109746,0.436105,0.208608
2022-08-11,4311557,1194005,0.276931,0.490366,0.270708
2022-08-12,1782147,439000,0.246332,0.205148,0.254674
2022-08-15,1401083,290989,0.207689,0.257742,0.107636
2022-08-16,719330,211007,0.293338,0.066349,0.190375
2022-08-17,1399005,349600,0.249892,0.051201,0.185256
2022-08-18,685436,285000,0.415794,0.259649,0.262924
2022-08-19,606991,225000,0.370681,0.288787,0.165241
2022-08-22,674093,169000,0.250707,0.224852,0.071146
2022-08-23,377392,75990,0.201356,0.289512,0.137725
2022-08-24,410439,164782,0.401477,0.395638,0.047966
2022-08-25,1655579,431002,0.260333,0.283987,0.089692
2022-08-26,2781194,830784,0.298715,0.099799,0.15106
2022-08-29,1333738,369060,0.276711,0.425665,0.077057
2022-08-30,1015330,299000,0.294486,0.16388,0.135943
2022-08-31,600000,147000,0.245,0.108844,0.123325
2022-09-01,784064,348000,0.443841,0.112069,0.273089
2022-09-02,616907,240000,0.389038,0.05,0.236842
2022-09-05,589955,266000,0.450882,0.755639,0.287272
2022-09-06,803269,501000,0.623701,0.071856,0.271969
2022-09-07,502873,221050,0.439574,0.248812,0.399795
2022-09-08,824614,362000,0.438993,0.909669,0.345302
2022-09-12,1253885,285052,0.227335,0.323046,0.293673
2022-09-13,1556011,854589,0.549218,0.100633,0.28362
