id,event_date,yoy,year,is_2022
4303,2025-03-18,9.462556,2025,False
4402,2022-04-01,0.650546,2022,True
4406,2022-08-01,0.309494,2022,True
4413,2022-07-18,2.062619,2022,True
4414,2024-12-11,0.51039,2024,False
4417,2022-12-14,1.116206,2022,True
4419,2023-06-08,2.093658,2023,False
4420,2021-12-10,0.565983,2021,False
4426,2022-07-25,1.147683,2022,True
4432,2022-07-11,1.765931,2022,True
4439,2022-04-08,0.223301,2022,True
4439,2025-09-23,0.53882,2025,False
4440,2024-06-19,0.325394,2024,False
4442,2025-03-11,0.827758,2025,False
4503,2022-06-24,0.292046,2022,True
4506,2022-09-15,0.39091,2022,True
4513,2025-09-18,0.702757,2025,False
4527,2022-11-24,0.789702,2022,True
4529,2026-04-21,0.324211,2026,False
4530,2025-07-22,1.359273,2025,False
4532,2023-12-04,0.345524,2023,False
4532,2024-04-15,0.353357,2024,False
4534,2026-02-24,0.186442,2026,False
4535,2022-05-12,0.153478,2022,True
4536,2022-06-24,0.366977,2022,True
4538,2024-09-11,0.150598,2024,False
4541,2021-11-09,0.530322,2021,False
4541,2025-05-15,0.185364,2025,False
4542,2026-06-15,0.575511,2026,False
4545,2022-03-11,0.526666,2022,True
4545,2024-10-09,0.751442,2024,False
4549,2023-05-12,0.574369,2023,False
4550,2022-11-11,0.615898,2022,True
4554,2022-05-09,0.312766,2022,True
4554,2025-05-12,0.403185,2025,False
4556,2022-09-08,0.366812,2022,True
4556,2022-10-14,0.370185,2022,True
4558,2022-02-10,0.159995,2022,True
4560,2022-04-07,0.535277,2022,True
4563,2022-05-09,0.721986,2022,True
4572,2022-04-14,0.59597,2022,True
4572,2023-01-06,0.567042,2023,False
4572,2023-02-17,0.695952,2023,False
4581,2023-03-13,0.432275,2023,False
4582,2022-03-22,0.351936,2022,True
4609,2022-02-07,0.279937,2022,True
4702,2022-03-11,0.435679,2022,True
4706,2024-07-03,0.259547,2024,False
4707,2022-02-17,0.516257,2022,True
4707,2023-01-09,1.004739,2023,False
4707,2026-07-13,0.308109,2026,False
4721,2021-07-05,0.276233,2021,False
4721,2025-07-16,0.873451,2025,False
4728,2022-03-11,0.472428,2022,True
4728,2022-07-18,0.412199,2022,True
4729,2022-11-07,0.351519,2022,True
4744,2021-12-13,1.069046,2021,False
4745,2022-02-15,0.312816,2022,True
4746,2022-11-30,0.374866,2022,True
4754,2026-06-09,0.226682,2026,False
4763,2022-09-14,0.983155,2022,True
4763,2022-12-21,0.557777,2022,True
4763,2024-02-26,1.968068,2024,False
4770,2022-08-22,0.589947,2022,True
4807,2024-07-11,0.568406,2024,False
4807,2026-05-29,0.472823,2026,False
4903,2022-07-12,0.655275,2022,True
4905,2024-11-08,1.43611,2024,False
4906,2022-08-23,0.312238,2022,True
4909,2024-07-17,5.485729,2024,False
4915,2022-04-20,0.206223,2022,True
4916,2023-05-04,0.282119,2023,False
4923,2026-03-18,0.39628,2026,False
4931,2022-10-17,3.012808,2022,True
4933,2026-03-06,0.212713,2026,False
4942,2022-01-13,0.191306,2022,True
4945,2022-02-16,0.74877,2022,True
4951,2021-07-20,0.561181,2021,False
4953,2022-02-10,0.325124,2022,True
4953,2022-03-18,0.343781,2022,True
4953,2022-08-30,0.27888,2022,True
4956,2024-06-18,0.248656,2024,False
4958,2026-06-12,0.373993,2026,False
4971,2022-03-17,0.765611,2022,True
4971,2026-01-28,0.259089,2026,False
4973,2022-11-07,0.272844,2022,True
4974,2022-11-17,0.463262,2022,True
4974,2024-02-19,0.403009,2024,False
4979,2022-04-19,0.545984,2022,True
4987,2022-03-24,0.408027,2022,True
5009,2022-12-14,0.253744,2022,True
5011,2022-02-18,0.308934,2022,True
5013,2022-03-14,0.446151,2022,True
5015,2022-02-11,0.352375,2022,True
5015,2022-03-14,0.390217,2022,True
5201,2023-06-12,0.39683,2023,False
5210,2022-03-28,0.763426,2022,True
5211,2022-08-08,0.23047,2022,True
5212,2025-08-28,0.767371,2025,False
5213,2022-11-22,0.477441,2022,True
5227,2021-12-13,2.300239,2021,False
5227,2022-11-04,1.19408,2022,True
5230,2024-05-21,0.361528,2024,False
5236,2025-07-02,0.288733,2025,False
5243,2022-06-28,0.313231,2022,True
5251,2022-08-23,0.592619,2022,True
5276,2022-09-01,0.500558,2022,True
5278,2021-09-06,0.741828,2021,False
5278,2022-01-17,0.356977,2022,True
5278,2022-12-26,0.223348,2022,True
5283,2022-01-05,0.159062,2022,True
5284,2024-12-06,0.324209,2024,False
5284,2026-05-12,0.546543,2026,False
5289,2022-03-30,0.438771,2022,True
5289,2025-11-07,0.922636,2025,False
5291,2024-05-28,0.215627,2024,False
5301,2025-10-23,0.367721,2025,False
5306,2026-07-13,0.31674,2026,False
5309,2022-03-31,0.784397,2022,True
5321,2022-02-15,0.176375,2022,True
5344,2023-12-14,1.124737,2023,False
5345,2022-06-07,0.300248,2022,True
5348,2023-02-22,0.252629,2023,False
5353,2023-03-21,0.233242,2023,False
5364,2022-09-30,1.221359,2022,True
5364,2023-11-13,0.535367,2023,False
5381,2023-08-31,3.424442,2023,False
5388,2022-02-07,0.525229,2022,True
5403,2022-04-11,0.195107,2022,True
5403,2023-03-13,0.66873,2023,False
5403,2024-12-11,0.226762,2024,False
5425,2022-03-24,0.312173,2022,True
5426,2022-06-15,0.309606,2022,True
5434,2021-12-24,0.301491,2021,False
5434,2022-09-13,0.268711,2022,True
5439,2023-01-11,0.430005,2023,False
5455,2022-02-09,129.802326,2022,True
5455,2022-07-18,120.640187,2022,True
5457,2022-06-08,0.333719,2022,True
5460,2022-08-09,0.21532,2022,True
5460,2023-05-15,0.221075,2023,False
5469,2025-08-18,0.338495,2025,False
5474,2024-12-23,0.240543,2024,False
5475,2026-02-25,1.017299,2026,False
5478,2022-12-16,0.235019,2022,True
5484,2024-06-03,0.599518,2024,False
5487,2024-09-12,0.306576,2024,False
5489,2026-01-23,0.223088,2026,False
5493,2022-09-12,0.214942,2022,True
5508,2023-07-03,2.616699,2023,False
5511,2022-02-21,0.492245,2022,True
5512,2021-11-18,0.408036,2021,False
5516,2022-02-07,1.005093,2022,True
5516,2022-03-28,1.132034,2022,True
5516,2022-04-29,0.231185,2022,True
5516,2023-02-15,1.532357,2023,False
5520,2022-04-13,0.337425,2022,True
5522,2022-03-30,0.937033,2022,True
5531,2023-11-23,0.758429,2023,False
5533,2022-06-01,3.590601,2022,True
5534,2022-08-10,40.339896,2022,True
5536,2023-01-31,0.297186,2023,False
5538,2022-01-17,0.362149,2022,True
5601,2022-01-26,0.189448,2022,True
5601,2022-03-10,0.154551,2022,True
5608,2021-07-01,1.237073,2021,False
5609,2022-05-11,0.530491,2022,True
5609,2025-06-03,0.307949,2025,False
5701,2023-02-13,0.642819,2023,False
5880,2026-06-12,0.174854,2026,False
5902,2022-04-18,0.474702,2022,True
5903,2022-08-24,0.201586,2022,True
5904,2022-11-02,0.150078,2022,True
6015,2023-05-29,0.274314,2023,False
6015,2026-01-07,4.128849,2026,False
6023,2022-12-16,0.199714,2022,True
6024,2022-11-24,0.481479,2022,True
6024,2026-03-11,1.528937,2026,False
6113,2022-05-11,0.761042,2022,True
6115,2024-05-28,0.367122,2024,False
6117,2024-05-22,0.79409,2024,False
6118,2022-08-10,0.168079,2022,True
6120,2021-12-08,0.280168,2021,False
6120,2023-06-15,0.542829,2023,False
6130,2025-03-18,3.244123,2025,False
6133,2022-05-25,0.383048,2022,True
6134,2022-12-07,0.206276,2022,True
6139,2023-06-09,0.260246,2023,False
6140,2022-09-14,1.622122,2022,True
6141,2024-02-19,1.078837,2024,False
6142,2022-08-11,0.434882,2022,True
6142,2022-12-22,0.655157,2022,True
6143,2022-09-02,0.275344,2022,True
6153,2022-08-11,0.205966,2022,True
6154,2021-07-09,0.709976,2021,False
6155,2022-01-04,0.171073,2022,True
