date,total_buy,top10_net_buy,top10_conc,next_day_reversal,foreign_net_share
2022-01-19,898378,273365,0.304287,0.139045,0.089274
2022-01-20,831403,365125,0.439167,0.0,0.130178
2022-01-21,1647456,348556,0.211572,0.157937,0.098025
2022-01-24,932006,267900,0.287445,0.0,0.06777
2022-01-25,1139970,369691,0.324299,0.0,0.099834
2022-01-26,828027,180896,0.218466,0.433044,0.044394
2022-02-07,2508416,1080894,0.430907,0.033297,0.258668
2022-02-08,1656272,287527,0.173599,0.100488,0.255463
2022-02-09,817091,235406,0.288103,0.007888,0.085446
2022-02-10,1065028,374442,0.351579,0.038228,0.139033
2022-02-11,1660335,924205,0.556638,0.003278,0.325439
2022-02-14,1803914,976283,0.541203,0.021254,0.077586
2022-02-15,2182574,716874,0.328453,0.071135,0.140403
2022-02-16,1832393,1031034,0.562671,0.105783,0.02626
2022-02-17,1086542,457530,0.421088,0.26718,0.114136
2022-02-18,7890376,4307474,0.545915,0.056865,0.038114
2022-02-21,2032409,764230,0.376022,0.016265,0.163868
2022-02-22,2377137,1338982,0.563275,5.9e-05,0.047485
2022-02-23,1056509,604236,0.571918,0.056375,0.14317
2022-02-24,2927176,1906878,0.651439,0.000249,0.100217
2022-02-25,1523176,514970,0.33809,0.002274,0.149208
2022-03-01,1317276,493067,0.374308,0.066928,0.163979
2022-03-02,1043224,377072,0.361449,0.111385,0.105627
2022-03-03,1198973,335056,0.279452,0.146244,0.04495
2022-03-04,1585881,314390,0.198243,0.419399,0.092124
2022-03-07,2673773,904057,0.33812,0.097339,0.149537
2022-03-08,2829635,859023,0.303581,0.0418,0.049074
2022-03-09,1413733,486925,0.344425,0.250552,0.17254
2022-03-10,1356727,483116,0.356089,0.223673,0.108495
2022-03-11,1520405,443115,0.291445,0.004581,0.096532
2022-03-14,3781576,1066950,0.282144,0.296074,0.128752
2022-03-15,1489867,268458,0.180189,0.084881,0.066384
2022-03-16,1321282,497714,0.37669,0.257176,0.095061
2022-03-17,1350416,624305,0.462306,0.058465,0.142383
2022-03-18,2329574,864495,0.371096,0.0,0.412894
2022-03-21,1218044,471117,0.386782,0.390561,0.159819
2022-03-22,972850,412584,0.424098,0.063017,0.074755
2022-03-23,937683,428671,0.45716,0.170385,0.163371
2022-03-24,904630,256224,0.283236,0.140502,0.291891
2022-03-25,904927,436115,0.481934,0.50904,0.220608
2022-03-28,3931908,1428812,0.363389,0.081186,0.106999
2022-03-29,2372105,534280,0.225235,0.18334,0.046837
2022-03-30,1492403,541688,0.362964,0.00012,0.109884
2022-03-31,1051901,271128,0.25775,0.047749,0.079517
2022-04-01,979151,416100,0.42496,0.199856,0.083017
2022-04-06,2536011,1063092,0.419198,0.012111,0.059971
2022-04-07,1431163,557025,0.389211,0.020143,0.094928
2022-04-08,1307751,636150,0.486446,0.032274,0.046488
2022-04-11,1709471,806327,0.471682,0.0,0.050203
2022-04-12,1490252,572921,0.384446,0.021163,0.140056
2022-04-13,1456725,557997,0.383049,0.068036,0.106269
2022-04-14,2995657,1317101,0.43967,0.132108,0.183641
2022-04-15,8553221,1661831,0.194293,0.374015,0.100143
2022-04-18,7294876,948342,0.130001,0.283768,0.112747
2022-04-19,3141783,612361,0.194909,0.355382,0.202041
2022-04-20,3702631,566624,0.153033,0.0,0.10021
2022-04-21,3702631,566624,0.153033,0.034587,0.10021
2022-04-22,1209622,526001,0.434847,0.072623,0.208649
2022-04-25,1466922,349406,0.23819,0.207953,0.072694
2022-04-26,1493271,687975,0.460717,0.079945,0.215093
2022-04-27,2274173,541350,0.238043,0.160709,0.116715
2022-04-28,1578820,337365,0.213682,0.326237,0.142185
2022-04-29,1176164,224697,0.191042,0.089009,0.17822
2022-05-03,1890602,322576,0.170621,0.142602,0.099664
2022-05-04,1884330,584713,0.310303,0.176386,0.199121
2022-05-05,1538928,1041800,0.676965,0.001612,0.109474
2022-05-06,1336110,377912,0.282845,0.25086,0.343381
2022-05-09,2548536,562774,0.220822,0.013762,0.107917
2022-05-10,1694343,423224,0.249786,0.372682,0.193357
2022-05-11,3112180,772096,0.248088,0.613033,0.075614
2022-05-12,3003868,753403,0.250811,,0.101832
