date,total_buy,top10_net_buy,top10_conc,next_day_reversal,foreign_net_share
2022-07-07,33374,19000,0.569305,0.0,0.0
2022-07-08,67194,51020,0.759294,0.117581,0.0
2022-07-11,45337,29000,0.639654,0.0,0.0
2022-07-12,32349,24021,0.742558,0.08326,0.0
2022-07-13,18348,16000,0.87203,0.125,0.0
2022-07-14,13112,7111,0.542328,0.140346,0.0
2022-07-15,16392,14001,0.854136,0.0,0.0
2022-07-18,31234,26120,0.836268,0.307044,0.0
2022-07-19,32028,27000,0.843012,0.0,0.0
2022-07-20,71340,51000,0.714886,0.060784,0.016303
2022-07-21,109497,60000,0.54796,0.033333,0.010382
2022-07-22,47247,29000,0.613796,0.0,0.0
2022-07-25,26905,23000,0.85486,0.0,0.0
2022-07-26,31307,28900,0.923116,0.000104,0.01658
2022-07-27,7611,7553,0.992379,0.0,0.0
2022-07-28,17710,16596,0.937098,0.065678,0.0
2022-07-29,41247,34000,0.824302,0.029412,0.0
2022-08-01,6447,5435,0.843028,0.003864,0.0
2022-08-02,31362,23005,0.733531,0.043469,0.0
2022-08-03,21290,19000,0.892438,0.052632,0.0
2022-08-04,41313,35048,0.848353,0.028532,0.0
2022-08-05,24561,20328,0.827654,0.196773,0.0
2022-08-08,244108,111015,0.454778,0.072242,0.002445
2022-08-09,106643,52882,0.495879,0.07564,0.005411
2022-08-10,334853,164000,0.489767,0.060976,0.00765
2022-08-11,214276,95953,0.447801,0.437714,0.005488
2022-08-12,92578,39999,0.432057,0.20003,0.02422
2022-08-15,82865,57797,0.697484,0.0,0.019866
2022-08-16,191532,106000,0.553432,0.009528,0.022637
2022-08-17,79868,47000,0.588471,0.191489,0.007031
2022-08-18,151491,71018,0.468794,0.14478,0.059914
2022-08-19,273033,115000,0.421195,0.13913,0.02973
2022-08-22,98588,59002,0.59847,0.016949,0.03996
2022-08-23,106322,64000,0.601945,0.09375,0.032328
2022-08-24,62737,44270,0.705644,0.0,0.0
2022-08-25,91623,51000,0.556629,0.117647,0.030629
2022-08-26,312701,150000,0.479691,0.0,0.06024
2022-08-29,200406,125212,0.624792,0.223621,0.020661
2022-08-30,501982,310000,0.617552,0.077419,0.024889
2022-08-31,303299,135001,0.445109,0.051851,0.034256
2022-09-01,153584,50355,0.327866,0.25916,0.050475
2022-09-02,142374,94445,0.663358,0.042353,0.06543
2022-09-05,179783,87022,0.484039,0.42518,0.047422
2022-09-06,746370,207993,0.278673,0.144139,0.015388
2022-09-07,154919,71000,0.458304,0.267606,0.043278
2022-09-08,168433,89400,0.530775,0.100671,0.027434
2022-09-12,132987,57000,0.428613,0.070175,0.014626
2022-09-13,198710,108000,0.543506,0.0,0.006889
2022-09-14,93682,53900,0.575351,0.169759,0.052701
2022-09-15,175022,94000,0.537075,0.0,0.041213
2022-09-16,107650,55000,0.510915,0.0,0.052876
2022-09-19,186099,102012,0.54816,0.010009,0.069389
2022-09-20,88724,62958,0.709594,0.015884,0.193771
2022-09-21,85033,56983,0.670128,0.350982,0.045034
2022-09-22,127996,94003,0.734421,0.117007,0.2333
2022-09-23,303212,130000,0.428743,0.261538,0.132013
2022-09-26,281424,114000,0.405083,0.008772,0.077116
2022-09-27,73459,40000,0.544521,0.25,0.078864
2022-09-28,184059,75000,0.407478,0.106667,0.096913
2022-09-29,84770,42800,0.504896,0.070093,0.178151
2022-09-30,32918,20000,0.60757,0.15,0.224773
2022-10-03,30391,20025,0.658912,0.149813,0.20656
2022-10-04,35859,22000,0.613514,4.5e-05,0.129622
2022-10-05,69564,42001,0.603775,0.260708,0.119744
2022-10-06,278866,86000,0.308392,0.05814,0.058792
2022-10-07,105088,57000,0.542403,0.577982,0.1892
2022-10-11,93938,44000,0.468394,0.045455,0.18144
2022-10-12,52484,27000,0.514442,1.62963,0.105708
2022-10-13,334765,136032,0.406351,0.0,0.088741
