date,total_buy,top10_net_buy,top10_conc,next_day_reversal,foreign_net_share
2025-06-27,4499690,705249,0.156733,0.02992,0.263694
2025-06-30,4662222,1405435,0.301452,0.005729,0.440154
2025-07-01,6219677,3626085,0.583002,0.189203,0.409201
2025-07-02,12258434,6352826,0.518241,0.07435,0.404084
2025-07-03,11990925,6745970,0.56259,0.019693,0.216791
2025-07-04,8025101,3294402,0.410512,0.043975,0.343892
2025-07-07,7365911,4586825,0.62271,0.005886,0.307093
2025-07-08,2836718,740114,0.260905,0.244373,0.398689
2025-07-09,3241315,2032528,0.627069,0.02868,0.232694
2025-07-10,1518315,190185,0.125261,0.320477,0.124443
2025-07-11,2298050,464131,0.201967,0.086129,0.082884
2025-07-14,1524187,738054,0.484228,0.00433,0.242755
2025-07-15,1279539,595100,0.465089,0.200474,0.127192
2025-07-16,2198393,1232995,0.560862,0.031614,0.311478
2025-07-17,2717658,1561139,0.574443,0.004887,0.311926
2025-07-18,2594638,898600,0.34633,0.064545,0.156749
2025-07-21,1532222,780903,0.509654,0.183121,0.341691
2025-07-22,2224497,700478,0.314893,0.079804,0.152678
2025-07-23,1836705,1205000,0.656066,0.301245,0.305416
2025-07-24,1577253,522499,0.331272,0.049761,0.26777
2025-07-25,1363164,751000,0.550924,0.020266,0.482652
2025-07-28,1387767,758073,0.546254,0.208423,0.315191
2025-07-29,1648752,684100,0.41492,0.029089,0.3483
2025-07-30,1055939,377010,0.357038,5.285825,0.303018
2025-07-31,5487115,674905,0.122998,0.025189,0.203392
2025-08-01,1342087,287117,0.213933,0.0,0.183286
2025-08-04,1588148,781929,0.492353,0.02302,0.265853
2025-08-05,1626454,763018,0.46913,0.246534,0.19204
2025-08-06,3012347,1898312,0.630177,0.087753,0.095652
2025-08-07,3749098,724090,0.193137,0.370106,0.096924
2025-08-08,1699602,343804,0.202285,0.118803,0.145953
2025-08-11,2660028,1501133,0.56433,0.020305,0.105312
2025-08-12,2645344,1492075,0.564038,0.0,0.171248
2025-08-13,3895748,736550,0.189065,0.012219,0.33036
2025-08-14,1371096,204169,0.148909,0.0,0.148199
2025-08-15,2335445,382029,0.163579,0.013088,0.167409
2025-08-18,1680881,552879,0.328922,0.434605,0.187755
2025-08-19,2179943,723030,0.331674,1.143798,0.266933
2025-08-20,2047569,286399,0.139873,0.46402,0.234191
2025-08-21,1283809,784496,0.611069,0.390059,0.282654
2025-08-22,1400895,506000,0.361198,0.061265,0.333217
2025-08-25,1184050,668000,0.564165,0.140765,0.262292
2025-08-26,2870373,1260306,0.439074,0.025391,0.298539
2025-08-27,1339300,580000,0.433062,0.12931,0.187075
2025-08-28,1477870,683000,0.462152,1.74383,0.238832
2025-08-29,15570889,2479055,0.159211,0.737051,0.083048
2025-09-01,12055076,1436773,0.119184,0.547251,0.145741
2025-09-02,7109590,504539,0.070966,0.049532,0.23792
2025-09-03,2174817,357000,0.164152,0.10084,0.253064
2025-09-04,1698863,358479,0.211011,0.105724,0.195189
2025-09-05,4081956,959000,0.234936,0.182482,0.151403
2025-09-08,1837650,465181,0.253139,0.002365,0.144049
2025-09-09,2310256,781900,0.338447,0.067784,0.20357
2025-09-10,1887122,509525,0.270001,0.121682,0.152761
2025-09-11,2487382,652485,0.262318,0.004598,0.087661
2025-09-12,1067954,535748,0.501658,0.018665,0.195848
2025-09-15,951187,352312,0.370392,0.059578,0.216023
2025-09-16,1628871,865150,0.531135,0.002115,0.193244
2025-09-17,1855532,450000,0.242518,0.109111,0.185089
2025-09-18,1911175,1020403,0.533914,0.501763,0.267175
2025-09-19,2916363,671111,0.230119,0.015309,0.183187
2025-09-22,1482696,527150,0.355535,0.0,0.249894
2025-09-23,1579280,470005,0.297607,0.157349,0.166792
2025-09-24,1509817,689899,0.456942,0.099976,0.311601
2025-09-25,1131001,266991,0.236066,0.179781,0.160857
2025-09-26,2167503,352200,0.162491,0.454287,0.249493
2025-09-30,1677890,508125,0.302836,5.9e-05,0.186196
2025-10-01,875250,393629,0.449733,0.0,0.209471
2025-10-02,917273,433131,0.472194,0.185147,0.19347
2025-10-03,10256549,3319000,0.323598,0.243917,0.14394
2025-10-07,10943289,2884068,0.263547,,0.180343
