date,total_buy,top10_net_buy,top10_conc,next_day_reversal,foreign_net_share
2022-06-29,10310698,6647629,0.644731,0.129008,0.314565
2022-06-30,11690710,7355720,0.629194,0.052055,0.188318
2022-07-01,8594519,4452963,0.518117,0.000449,0.190525
2022-07-04,9769544,6440037,0.659195,0.173269,0.195327
2022-07-05,7901567,3711580,0.469727,0.249489,0.311148
2022-07-06,8949497,4028931,0.450185,0.128801,0.247308
2022-07-07,6480083,3296996,0.508789,0.467794,0.227039
2022-07-08,4707469,2369533,0.503356,0.124075,0.319119
2022-07-11,3649027,2423784,0.664227,0.880854,0.228307
2022-07-12,9198706,5860830,0.637136,0.280848,0.15967
2022-07-13,11743511,7361015,0.626816,0.145768,0.200332
2022-07-14,12780290,6976981,0.545917,0.129098,0.27715
2022-07-15,5462197,2864030,0.524337,0.486727,0.252458
2022-07-18,9918587,7631948,0.769459,0.146714,0.219614
2022-07-19,16868059,10782167,0.639206,0.25365,0.208668
2022-07-20,13526659,8668790,0.640867,0.040707,0.304718
2022-07-21,13550349,9285050,0.685226,0.151492,0.192915
2022-07-22,11973895,8424100,0.703539,0.021567,0.345783
2022-07-25,9288643,6043419,0.650625,0.013899,0.160697
2022-07-26,6237921,3705373,0.594008,0.209161,0.294676
2022-07-27,11245927,4441368,0.394931,0.478254,0.273966
2022-07-28,8888539,2289712,0.257603,0.003057,0.180941
2022-07-29,10220115,6242626,0.610818,0.487936,0.419943
2022-08-01,9331587,4193000,0.449334,0.24207,0.3276
2022-08-02,14822346,9932240,0.670086,7.7e-05,0.116248
2022-08-03,13133179,5752379,0.438004,0.174415,0.18547
2022-08-04,11822228,6440652,0.544792,0.073906,0.258176
2022-08-05,8454895,3791851,0.44848,0.000527,0.104977
2022-08-08,7169233,4364120,0.608729,0.011915,0.245404
2022-08-09,7403329,3953971,0.53408,0.767077,0.282744
2022-08-10,6639192,3566673,0.537215,0.055794,0.469971
2022-08-11,6505169,4634587,0.712447,0.156648,0.438947
2022-08-12,5942777,3665414,0.616785,0.025099,0.300979
2022-08-15,4765738,2064980,0.433297,0.281359,0.215705
2022-08-16,8497281,5777798,0.679958,0.085088,0.309971
2022-08-17,6886753,3628000,0.526808,0.094289,0.326993
2022-08-18,6209399,4278679,0.689065,0.049788,0.504807
2022-08-19,3809813,2222101,0.583257,0.004503,0.467244
2022-08-22,4209190,2492875,0.592246,0.106303,0.366075
2022-08-23,3515265,1756045,0.499548,0.201824,0.214633
2022-08-24,4386817,2145804,0.489148,0.57359,0.3291
2022-08-25,8389445,6119980,0.729486,0.114606,0.240731
2022-08-26,4798242,2815435,0.586764,0.747929,0.293767
2022-08-29,7956733,3904100,0.490666,0.103491,0.345233
2022-08-30,9687541,4656081,0.480626,0.249822,0.232585
2022-08-31,14873113,7240020,0.486786,0.075519,0.581092
2022-09-01,11307375,4130670,0.365308,0.055684,0.289785
2022-09-02,6833466,3606104,0.527712,0.025238,0.324775
2022-09-05,4322913,2166620,0.501194,0.510934,0.322721
2022-09-06,6459217,3962760,0.613505,0.264462,0.289402
2022-09-07,8022111,4420284,0.551013,0.137321,0.216432
2022-09-08,5549382,2945767,0.530828,0.114062,0.230977
2022-09-12,3996440,2160254,0.540545,0.065014,0.228878
2022-09-13,4510578,3030509,0.671867,0.587483,0.252634
2022-09-14,10333754,6642517,0.642798,0.256723,0.207456
2022-09-15,14998234,10089124,0.672687,0.143818,0.255515
2022-09-16,15418569,6478003,0.420143,0.121951,0.484014
2022-09-19,3361294,1828694,0.544045,0.287879,0.237479
2022-09-20,9117383,5331683,0.584782,0.228164,0.12742
2022-09-21,6267770,3278609,0.52309,0.07665,0.376103
2022-09-22,12638004,6006729,0.475291,0.21579,0.308513
2022-09-23,9578914,5087811,0.531147,0.37194,0.23965
2022-09-26,10683425,5079517,0.475458,0.121855,0.180484
2022-09-27,9363449,5425317,0.579414,0.139386,0.27003
2022-09-28,10210858,5305634,0.519607,0.056557,0.147373
2022-09-29,11478745,6750948,0.588126,0.176827,0.230136
2022-09-30,10113445,4379800,0.433067,0.177823,0.414412
2022-10-03,5902518,3076280,0.521181,0.012678,0.205784
2022-10-04,3049745,1482500,0.486106,0.194205,0.232647
2022-10-05,6863021,3127934,0.455766,0.06327,0.282631
2022-10-06,14531181,10019681,0.68953,,0.372471
