date,cb_id,cb_name,transaction_type,close,change,open,max,min,no_of_transactions,unit,trading_value,avg_price,next_ref_price,next_max_limit,next_min_limit
2024-05-30,27561,聯發國際一,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,101.0,111.1,122.2,100.0
2024-05-31,27561,聯發國際一,等價,117.0,5.9,117.0,118.3,117.0,49,165,19383500,117.47,117.0,128.7,105.3
2024-06-03,27561,聯發國際一,等價,115.5,-1.5,115.05,116.5,114.3,51,166,19057350,114.8,115.5,127.05,103.95
2024-06-04,27561,聯發國際一,等價,115.9,0.4,115.95,116.0,114.3,40,217,24934950,114.9,115.9,127.45,104.35
2024-06-05,27561,聯發國際一,等價,114.5,-1.4,116.9,116.9,114.05,65,273,31257850,114.49,114.5,125.95,103.05
2024-06-06,27561,聯發國際一,等價,117.6,3.1,118.0,118.0,115.5,121,1941,228181450,117.55,117.6,129.35,105.85
2024-06-07,27561,聯發國際一,等價,120.25,2.65,117.5,120.25,117.5,25,47,5583700,118.8,120.25,132.25,108.25
2024-06-11,27561,聯發國際一,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,119.23,120.25,132.25,108.25
2024-06-12,27561,聯發國際一,等價,122.2,1.95,132.25,132.25,122.2,8,41,5056650,123.33,122.2,134.4,110.0
2024-06-13,27561,聯發國際一,等價,119.95,-2.25,119.0,120.0,118.65,18,30,3589900,119.66,119.95,131.9,108.0
2024-06-14,27561,聯發國際一,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,119.66,119.0,130.9,107.1
2024-06-17,27561,聯發國際一,等價,120.0,1.0,119.95,120.0,119.85,7,9,1079550,119.95,120.0,132.0,108.0
2024-06-18,27561,聯發國際一,等價,120.05,0.05,120.0,120.15,120.0,8,42,5041050,120.02,120.05,132.05,108.05
2024-06-19,27561,聯發國際一,等價,120.0,-0.05,120.0,120.0,120.0,7,32,3840000,120.0,120.0,132.0,108.0
2024-06-20,27561,聯發國際一,等價,120.0,0.0,120.0,120.0,120.0,10,42,5040000,120.0,120.0,132.0,108.0
2024-06-21,27561,聯發國際一,等價,120.3,0.3,120.3,120.3,120.3,1,1,120300,120.3,120.3,132.3,108.3
2024-06-24,27561,聯發國際一,等價,120.0,-0.3,120.0,120.0,120.0,7,21,2520000,120.0,120.0,132.0,108.0
2024-06-25,27561,聯發國際一,等價,120.0,0.0,120.0,120.5,120.0,9,33,3965100,120.15,120.0,132.0,108.0
2024-06-26,27561,聯發國際一,等價,120.0,0.0,120.0,120.0,120.0,5,5,600000,120.0,120.0,132.0,108.0
2024-06-27,27561,聯發國際一,等價,119.9,-0.1,119.9,119.9,119.9,1,3,359700,119.9,119.9,131.85,107.95
2024-06-28,27561,聯發國際一,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,119.9,119.9,131.85,107.95
2024-07-01,27561,聯發國際一,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,119.9,119.9,131.85,107.95
2024-07-02,27561,聯發國際一,等價,121.4,1.5,121.4,121.4,121.4,1,1,121400,121.4,121.4,133.5,109.3
2024-07-03,27561,聯發國際一,等價,128.0,6.6,124.0,128.0,123.5,13,38,4740350,124.74,128.0,140.8,115.2
2024-07-04,27561,聯發國際一,等價,128.95,0.95,130.0,130.0,128.95,6,10,1298600,129.86,128.95,141.8,116.1
