date,cb_id,cb_name,transaction_type,close,change,open,max,min,no_of_transactions,unit,trading_value,avg_price,next_ref_price,next_max_limit,next_min_limit
2024-10-30,65842,南俊國際二,等價,110.0,9.5,110.55,110.55,109.0,32,94,10355900,110.16,110.0,121.0,99.0
2024-11-01,65842,南俊國際二,等價,109.25,-0.75,110.0,110.0,109.0,6,79,8634500,109.29,109.25,120.15,98.35
2024-11-04,65842,南俊國際二,等價,109.0,-0.25,109.0,109.0,109.0,1,1,109000,109.0,109.0,119.9,98.1
2024-11-05,65842,南俊國際二,等價,107.8,-1.2,107.8,107.8,107.8,2,2,215600,107.8,107.8,118.55,97.05
2024-11-06,65842,南俊國際二,等價,108.3,0.5,109.0,109.0,108.3,3,5,544150,108.83,108.3,119.1,97.5
2024-11-07,65842,南俊國際二,等價,107.5,-0.8,106.0,108.5,106.0,92,2065,219712050,106.39,107.5,118.25,96.75
2024-11-08,65842,南俊國際二,等價,108.3,0.8,107.6,108.3,107.5,18,272,29280050,107.64,108.3,119.1,97.5
2024-11-11,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,107.64,108.3,119.1,97.5
2024-11-12,65842,南俊國際二,等價,107.65,-0.65,109.5,109.5,107.6,21,190,20706700,108.98,107.65,118.4,96.9
2024-11-13,65842,南俊國際二,等價,107.65,0.0,107.65,107.65,107.65,1,20,2153000,107.65,107.65,118.4,96.9
2024-11-14,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,107.65,107.0,117.7,96.3
2024-11-15,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,107.65,103.0,113.3,92.7
2024-11-18,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,107.65,103.0,113.3,92.7
2024-11-19,65842,南俊國際二,等價,103.0,0.0,103.0,103.0,103.0,2,2,206000,103.0,103.0,113.3,92.7
2024-11-20,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.0,103.0,113.3,92.7
2024-11-21,65842,南俊國際二,等價,105.0,2.0,105.0,105.0,105.0,1,9,945000,105.0,105.0,115.5,94.5
2024-11-22,65842,南俊國際二,等價,106.5,1.5,106.5,106.5,106.5,1,9,958500,106.5,106.5,117.15,95.85
2024-11-25,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.5,106.5,117.15,95.85
2024-11-26,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.5,106.5,117.15,95.85
2024-11-27,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.5,106.5,117.15,95.85
2024-11-28,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.5,106.5,117.15,95.85
2024-11-29,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.5,106.5,117.15,95.85
2024-12-02,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.5,106.0,116.6,95.4
2024-12-03,65842,南俊國際二,等價,103.0,-3.0,103.0,103.0,103.0,1,9,927000,103.0,103.0,113.3,92.7
2024-12-04,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.0,103.0,113.3,92.7
2024-12-05,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.0,103.0,113.3,92.7
2024-12-06,65842,南俊國際二,等價,103.0,0.0,103.0,103.0,103.0,2,3,309000,103.0,103.0,113.3,92.7
2024-12-09,65842,南俊國際二,等價,105.5,2.5,105.0,105.5,105.0,2,2,210500,105.25,105.5,116.05,94.95
2024-12-10,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,105.25,105.5,116.05,94.95
2024-12-11,65842,南俊國際二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,105.25,105.5,116.05,94.95
