date,stock_id,stock_name,disposition_cnt,condition,measure,period_start,period_end
2024-10-09,00887,永豐中國科技50大,1,因連續3個營業日達本中心作業要點第四條第一項第一款,永豐中國科技50大ETF證券投資信託基金(代號：00887)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自113年10月11日起10個營業日(113年10月11日至113年10月24日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。,2024-10-11,2024-10-24
2021-07-06,030001,萬海中信0B購01,1,連續三次,第一次處置,2021-07-07,2021-07-20
2022-12-01,030035,元石油元大25購02,2,連續三次,第一次處置,2022-12-02,2022-12-15
2022-12-06,030035,元石油元大25購02,2,連續三次,第二次處置,2022-12-07,2022-12-20
2021-08-02,030047,長榮元大0A購04,1,連續三次,第一次處置,2021-08-03,2021-08-16
2021-07-30,030049,長榮元大0A購06,1,連續三次,第一次處置,2021-08-02,2021-08-13
2021-07-26,030133,長榮凱基13購01,1,連續三次,第一次處置,2021-07-27,2021-08-09
2021-01-11,03018P,華邦電群益01售03,1,連續三次,第一次處置,2021-01-12,2021-01-25
2021-09-15,030210,台驊控凱基0C購01,1,連續三次,第一次處置,2021-09-16,2021-10-01
2021-07-30,030211,慧洋凱基0A購01,1,連續三次,第一次處置,2021-08-02,2021-08-13
2021-07-30,030412,長榮元大0C購05,1,連續三次,第一次處置,2021-08-02,2021-08-13
2021-08-02,030413,長榮元大0C購06,1,連續三次,第一次處置,2021-08-03,2021-08-16
2021-08-02,030613,長榮元大0A購08,1,連續三次,第一次處置,2021-08-03,2021-08-16
2021-08-02,030614,長榮元大0A購09,1,連續三次,第一次處置,2021-08-03,2021-08-16
2021-08-02,030984,長榮元大0A購13,1,連續三次,第一次處置,2021-08-03,2021-08-16
2021-08-02,030985,長榮元大0A購14,1,連續三次,第一次處置,2021-08-03,2021-08-16
2021-10-29,031109,裕民群益0B購01,1,連續三次,第一次處置,2021-11-01,2021-11-12
2020-03-23,03111P,元油2X富邦97售01,1,連續三次,第一次處置,2020-03-24,2020-04-08
