date,issued_shares,foreign_holding_shares,big_holder_over400_shares,big_holder_over1000_shares,locked_shares,free_float_shares,locked_pct,source,fetched_at
2015-09-25,369250000,34561627,324516937,310963822,310963822,58286178,0.84215,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-02,369250000,34439037,323379805,310129173,310129173,59120827,0.839889,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-08,369250000,35189715,323646869,313267207,313267207,55982793,0.848388,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-16,369250000,36494715,323469013,314150613,314150613,55099387,0.85078,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-23,369250000,36890449,322319518,313001118,313001118,56248882,0.847667,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-30,369250000,37201303,322743884,312982118,312982118,56267882,0.847616,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-06,369250000,37473303,322518892,313161492,313161492,56088508,0.848102,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-13,369250000,39563794,324732597,313272498,313272498,55977502,0.848402,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-20,369250000,39350794,324801070,312971498,312971498,56278502,0.847587,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-27,369250000,39832712,325032070,311975585,311975585,57274415,0.84489,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-04,369250000,39939712,325449443,311757585,311757585,57492415,0.844299,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-11,369250000,39752786,326702443,314155585,314155585,55094415,0.850794,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-18,369250000,39317988,327227846,313591266,313591266,55658734,0.849265,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-25,369250000,39188988,327185480,313417266,313417266,55832734,0.848794,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-31,369250000,39230684,326736480,313410266,313410266,55839734,0.848775,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-08,369250000,39463746,328120956,314593041,314593041,54656959,0.851978,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-15,369250000,39710746,328747956,317052341,317052341,52197659,0.858639,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-22,369250000,40142746,329544635,317197677,317197677,52052323,0.859032,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-30,369250000,40119093,329861982,317395378,317395378,51854622,0.859568,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-03,369250000,39815093,330423982,317402378,317402378,51847622,0.859587,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-19,369250000,39656753,330454982,317309378,317309378,51940622,0.859335,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-26,369250000,39651180,331652311,318065059,318065059,51184941,0.861381,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-04,369250000,41195921,331197311,317051059,317051059,52198941,0.858635,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-11,369250000,41767921,331046645,315504783,315504783,53745217,0.854448,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-18,369250000,41526398,331049649,312535851,312535851,56714149,0.846407,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-25,369250000,41482398,329949094,313926960,313926960,55323040,0.850175,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-01,369250000,40862058,329619126,312730082,312730082,56519918,0.846933,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-08,369250000,40314482,328829676,312682082,312682082,56567918,0.846803,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-15,369250000,39945919,328381360,314025082,314025082,55224918,0.85044,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-22,369250000,39616453,328981883,313855605,313855605,55394395,0.849981,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-29,369250000,39299873,330356961,315052007,315052007,54197993,0.853221,finmind,2026-07-22T04:17:31.412074+08:00
2016-05-06,369250000,39199932,331650747,316115007,316115007,53134993,0.8561,finmind,2026-07-22T04:17:31.412074+08:00
2016-05-13,369250000,39730932,331980747,317258811,317258811,51991189,0.859198,finmind,2026-07-22T04:17:31.412074+08:00
2016-05-20,369250000,40448140,331961750,318463276,318463276,50786724,0.86246,finmind,2026-07-22T04:17:31.412074+08:00
2016-05-27,369250000,40699140,331364258,318478276,318478276,50771724,0.8625,finmind,2026-07-22T04:17:31.412074+08:00
2016-06-04,369250000,40926520,330820750,318166276,318166276,51083724,0.861655,finmind,2026-07-22T04:17:31.412074+08:00
2016-06-08,369250000,41157520,330466795,318860276,318860276,50389724,0.863535,finmind,2026-07-22T04:17:31.412074+08:00
2016-06-17,369250000,41191520,330925795,318820276,318820276,50429724,0.863427,finmind,2026-07-22T04:17:31.412074+08:00
2016-06-24,369250000,41371520,330965795,318725276,318725276,50524724,0.863169,finmind,2026-07-22T04:17:31.412074+08:00
2016-07-01,369250000,41707577,331163795,318726276,318726276,50523724,0.863172,finmind,2026-07-22T04:17:31.412074+08:00
2016-07-07,369250000,41794577,331313490,318674276,318674276,50575724,0.863031,finmind,2026-07-22T04:17:31.412074+08:00
2016-07-15,369250000,42084882,331584795,320575276,320575276,48674724,0.868179,finmind,2026-07-22T04:17:31.412074+08:00
2016-07-22,369250000,42167882,331461795,320420276,320420276,48829724,0.86776,finmind,2026-07-22T04:17:31.412074+08:00
2016-07-29,369250000,42093882,331419795,320333276,320333276,48916724,0.867524,finmind,2026-07-22T04:17:31.412074+08:00
2016-08-05,369250000,42192882,330937509,320351276,320351276,48898724,0.867573,finmind,2026-07-22T04:17:31.412074+08:00
2016-08-12,369250000,42188882,330955536,320350303,320350303,48899697,0.86757,finmind,2026-07-22T04:17:31.412074+08:00
2016-08-19,369250000,42417861,331054536,320449303,320449303,48800697,0.867838,finmind,2026-07-22T04:17:31.412074+08:00
2016-08-26,369250000,47553720,331972788,320292555,320292555,48957445,0.867414,finmind,2026-07-22T04:17:31.412074+08:00
2016-09-02,369250000,50600141,331873074,316471303,316471303,52778697,0.857065,finmind,2026-07-22T04:17:31.412074+08:00
2016-09-10,369250000,55055141,333671898,315431618,315431618,53818382,0.854249,finmind,2026-07-22T04:17:31.412074+08:00
2016-09-14,369250000,56620141,333540898,316036618,316036618,53213382,0.855888,finmind,2026-07-22T04:17:31.412074+08:00
2016-09-23,369250000,58076951,331928762,315145532,315145532,54104468,0.853475,finmind,2026-07-22T04:17:31.412074+08:00
2016-09-30,369250000,57949951,331597762,316143532,316143532,53106468,0.856177,finmind,2026-07-22T04:17:31.412074+08:00
2016-10-07,369250000,58586951,332226476,316257532,316257532,52992468,0.856486,finmind,2026-07-22T04:17:31.412074+08:00
2016-10-14,369250000,58765951,332176476,315615532,315615532,53634468,0.854748,finmind,2026-07-22T04:17:31.412074+08:00
2016-10-21,369250000,82738951,332043242,317652532,317652532,51597468,0.860264,finmind,2026-07-22T04:17:31.412074+08:00
2016-10-28,369250000,82625951,332410242,318590532,318590532,50659468,0.862804,finmind,2026-07-22T04:17:31.412074+08:00
2016-11-04,369250000,86142951,333623154,319532536,319532536,49717464,0.865356,finmind,2026-07-22T04:17:31.412074+08:00
2016-11-11,369250000,87665951,335267151,318334915,318334915,50915085,0.862112,finmind,2026-07-22T04:17:31.412074+08:00
2016-11-18,369250000,91034941,337244400,322140620,322140620,47109380,0.872419,finmind,2026-07-22T04:17:31.412074+08:00
2016-11-25,369250000,94158189,335766925,319240146,319240146,50009854,0.864564,finmind,2026-07-22T04:17:31.412074+08:00
2016-12-02,369250000,94403461,336305217,319802252,319802252,49447748,0.866086,finmind,2026-07-22T04:17:31.412074+08:00
2016-12-09,369250000,94513851,334136474,316127179,316127179,53122821,0.856133,finmind,2026-07-22T04:17:31.412074+08:00
2016-12-16,369250000,94726886,335405848,317148053,317148053,52101947,0.858898,finmind,2026-07-22T04:17:31.412074+08:00
2016-12-30,369250000,93196520,332735431,313784900,313784900,55465100,0.84979,finmind,2026-07-22T04:17:31.412074+08:00
2017-01-06,369250000,92494172,331944414,313345361,313345361,55904639,0.848599,finmind,2026-07-22T04:17:31.412074+08:00
2017-01-13,369250000,92936845,330679945,310204663,310204663,59045337,0.840094,finmind,2026-07-22T04:17:31.412074+08:00
2017-01-20,369250000,94595834,334478622,312815754,312815754,56434246,0.847165,finmind,2026-07-22T04:17:31.412074+08:00
2017-01-26,369250000,93895636,332978544,312914004,312914004,56335996,0.847431,finmind,2026-07-22T04:17:31.412074+08:00
2017-02-03,369250000,93477169,333223206,313222368,313222368,56027632,0.848266,finmind,2026-07-22T04:17:31.412074+08:00
2017-02-10,369250000,93614007,333800889,313443517,313443517,55806483,0.848865,finmind,2026-07-22T04:17:31.412074+08:00
2017-02-18,369250000,91088817,333055755,312632517,312632517,56617483,0.846669,finmind,2026-07-22T04:17:31.412074+08:00
2017-02-24,369250000,88337167,330092582,314525011,314525011,54724989,0.851794,finmind,2026-07-22T04:17:31.412074+08:00
2017-03-03,369250000,87806768,328695582,311588011,311588011,57661989,0.84384,finmind,2026-07-22T04:17:31.412074+08:00
2017-03-10,369250000,84327632,327118853,312579503,312579503,56670497,0.846525,finmind,2026-07-22T04:17:31.412074+08:00
2017-03-17,369250000,84069582,328509777,312986623,312986623,56263377,0.847628,finmind,2026-07-22T04:17:31.412074+08:00
2017-03-24,369250000,82328369,329383656,308151992,308151992,61098008,0.834535,finmind,2026-07-22T04:17:31.412074+08:00
2017-03-31,369250000,79429027,329063439,306937992,306937992,62312008,0.831247,finmind,2026-07-22T04:17:31.412074+08:00
2017-04-07,369250000,78490309,328986046,304184385,304184385,65065615,0.82379,finmind,2026-07-22T04:17:31.412074+08:00
2017-04-14,369250000,77284309,328239825,303870385,303870385,65379615,0.822939,finmind,2026-07-22T04:17:31.412074+08:00
2017-04-21,369250000,80593142,327604317,304365385,304365385,64884615,0.82428,finmind,2026-07-22T04:17:31.412074+08:00
2017-04-28,369250000,80278125,325486686,303414385,303414385,65835615,0.821704,finmind,2026-07-22T04:17:31.412074+08:00
2017-05-05,369250000,145383884,393699751,369838221,369838221,-588221,1.001593,finmind,2026-07-22T04:17:31.412074+08:00
2017-05-12,369250000,146549430,391025116,367708233,367708233,1541767,0.995825,finmind,2026-07-22T04:17:31.412074+08:00
2017-05-19,369250000,144642366,390794658,363919100,363919100,5330900,0.985563,finmind,2026-07-22T04:17:31.412074+08:00
2017-05-26,437250000,145709433,390850832,363853961,363853961,73396039,0.832142,finmind,2026-07-22T04:17:31.412074+08:00
2017-06-03,437250000,148634535,391038697,357510658,357510658,79739342,0.817634,finmind,2026-07-22T04:17:31.412074+08:00
2017-06-09,437250000,146757443,388780895,357559467,357559467,79690533,0.817746,finmind,2026-07-22T04:17:31.412074+08:00
2017-06-16,437250000,145656661,386744069,355571976,355571976,81678024,0.813201,finmind,2026-07-22T04:17:31.412074+08:00
2017-06-23,437250000,144666582,384333245,356766283,356766283,80483717,0.815932,finmind,2026-07-22T04:17:31.412074+08:00
2017-06-30,437250000,142764771,384808441,352533433,352533433,84716567,0.806251,finmind,2026-07-22T04:17:31.412074+08:00
2017-07-07,437250000,140614393,385247975,350876992,350876992,86373008,0.802463,finmind,2026-07-22T04:17:31.412074+08:00
2017-07-14,437250000,141410752,385856146,351226276,351226276,86023724,0.803262,finmind,2026-07-22T04:17:31.412074+08:00
2017-07-21,437250000,143768018,387169590,350699276,350699276,86550724,0.802057,finmind,2026-07-22T04:17:31.412074+08:00
2017-07-28,437250000,141891749,385449348,349560276,349560276,87689724,0.799452,finmind,2026-07-22T04:17:31.412074+08:00
2017-08-04,437250000,142295688,384370013,349646920,349646920,87603080,0.79965,finmind,2026-07-22T04:17:31.412074+08:00
2017-08-11,437250000,138476927,380937549,348148144,348148144,89101856,0.796222,finmind,2026-07-22T04:17:31.412074+08:00
2017-08-18,437250000,139865972,381986216,349007044,349007044,88242956,0.798186,finmind,2026-07-22T04:17:31.412074+08:00
2017-08-25,437250000,138911772,380613876,346739399,346739399,90510601,0.793,finmind,2026-07-22T04:17:31.412074+08:00
2017-09-01,437250000,138038829,378399687,344135642,344135642,93114358,0.787045,finmind,2026-07-22T04:17:31.412074+08:00
2017-09-08,437250000,138855199,380293896,348679388,348679388,88570612,0.797437,finmind,2026-07-22T04:17:31.412074+08:00
2017-09-15,437250000,141408690,381793842,348142126,348142126,89107874,0.796208,finmind,2026-07-22T04:17:31.412074+08:00
2017-09-22,437250000,140905735,379617027,351047278,351047278,86202722,0.802853,finmind,2026-07-22T04:17:31.412074+08:00
2017-09-30,437250000,140543229,377753154,347383638,347383638,89866362,0.794474,finmind,2026-07-22T04:17:31.412074+08:00
2017-10-06,437250000,140917195,377355248,346638805,346638805,90611195,0.79277,finmind,2026-07-22T04:17:31.412074+08:00
2017-10-13,437250000,140311153,375707459,344136416,344136416,93113584,0.787047,finmind,2026-07-22T04:17:31.412074+08:00
