date,issued_shares,foreign_holding_shares,big_holder_over400_shares,big_holder_over1000_shares,locked_shares,free_float_shares,locked_pct,source,fetched_at
2026-03-13,388056131,296815214,303615055,247567050,247567050,140489081,0.637967,finmind,2026-07-16T17:58:47.345529+08:00
2026-03-20,388056131,296846579,302729958,248716123,248716123,139340008,0.640928,finmind,2026-07-16T17:58:47.345529+08:00
2026-03-27,388056131,299150413,303774022,248181315,248181315,139874816,0.63955,finmind,2026-07-16T17:58:47.345529+08:00
2026-04-02,388056131,299908559,302041928,247617028,247617028,140439103,0.638096,finmind,2026-07-16T17:58:47.345529+08:00
2026-04-10,388056131,300161379,302477565,247180630,247180630,140875501,0.636971,finmind,2026-07-16T17:58:47.345529+08:00
2026-04-17,388056131,304317509,305916073,250157281,250157281,137898850,0.644642,finmind,2026-07-16T17:58:47.345529+08:00
2026-04-24,388056131,309357380,308076810,249366748,249366748,138689383,0.642605,finmind,2026-07-16T17:58:47.345529+08:00
2026-04-30,388056131,311712834,307420081,249214923,249214923,138841208,0.642214,finmind,2026-07-16T17:58:47.345529+08:00
2026-05-08,388056131,313869006,308822943,252562561,252562561,135493570,0.65084,finmind,2026-07-16T17:58:47.345529+08:00
2026-05-15,388056131,313477349,308343014,250474985,250474985,137581146,0.645461,finmind,2026-07-16T17:58:47.345529+08:00
2026-05-22,388948107,314677423,310378021,251955247,251955247,136992860,0.647786,finmind,2026-07-16T17:58:47.345529+08:00
2026-05-29,388948107,313153311,309707089,251841075,251841075,137107032,0.647493,finmind,2026-07-16T17:58:47.345529+08:00
2026-06-05,388948107,313532755,308643284,252785140,252785140,136162967,0.64992,finmind,2026-07-16T17:58:47.345529+08:00
2026-06-12,388948107,314348437,310484530,258261057,258261057,130687050,0.663999,finmind,2026-07-16T17:58:47.345529+08:00
2026-06-18,388948107,310327869,307125516,253495326,253495326,135452781,0.651746,finmind,2026-07-16T17:58:47.345529+08:00
2026-06-26,388948107,310098862,309286922,255611462,255611462,133336645,0.657187,finmind,2026-07-16T17:58:47.345529+08:00
2026-07-03,388948107,310272701,308865174,255285856,255285856,133662251,0.656349,finmind,2026-07-16T17:58:47.345529+08:00
2026-07-09,388948107,309642468,307515497,257154827,257154827,131793280,0.661155,finmind,2026-07-16T17:58:47.345529+08:00
2026-07-17,388948107,311740796,307006112,256021090,256021090,132927017,0.65824,finmind,2026-07-18T07:55:11.148346+08:00
