date,issued_shares,foreign_holding_shares,big_holder_over400_shares,big_holder_over1000_shares,locked_shares,free_float_shares,locked_pct,source,fetched_at
2015-01-30,98236950,2528437,66266796,55595466,55595466,42641484,0.565932,finmind,2026-07-22T04:17:31.412074+08:00
2015-02-26,98236950,2315437,66471796,55815466,55815466,42421484,0.568172,finmind,2026-07-22T04:17:31.412074+08:00
2015-03-31,98236950,2202437,66115546,55873466,55873466,42363484,0.568762,finmind,2026-07-22T04:17:31.412074+08:00
2015-04-30,98236950,2180437,66546546,55893466,55893466,42343484,0.568966,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-08,98236950,2251437,67124092,55960466,55960466,42276484,0.569648,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-15,98236950,2288437,67077330,56011466,56011466,42225484,0.570167,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-22,98236950,2265437,67105330,56009466,56009466,42227484,0.570147,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-29,98236950,2197437,66869330,56175466,56175466,42061484,0.571836,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-05,98236950,2044437,68186330,56313466,56313466,41923484,0.573241,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-12,98236950,1959437,67369864,56444466,56444466,41792484,0.574575,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-18,98236950,1854437,66992864,56473466,56473466,41763484,0.57487,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-26,98236950,1769437,69121864,58859566,58859566,39377384,0.599159,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-03,98236950,1745437,71054864,60664566,60664566,37572384,0.617533,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-09,98236950,1759437,71143864,60664566,60664566,37572384,0.617533,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-17,98236950,1754437,71193864,61722105,61722105,36514845,0.628298,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-24,98236950,1750437,70813864,61722105,61722105,36514845,0.628298,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-31,98236950,1740437,71190864,61726105,61726105,36510845,0.628339,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-07,98236950,1755437,70785364,61743105,61743105,36493845,0.628512,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-14,98236950,1755437,70120650,61757105,61757105,36479845,0.628655,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-21,98236950,1775437,70558650,61770105,61770105,36466845,0.628787,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-28,98236950,1720437,69964650,61790105,61790105,36446845,0.62899,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-04,98236950,1723437,69983650,61793105,61793105,36443845,0.629021,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-11,98236950,1717437,70070287,61789105,61789105,36447845,0.62898,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-18,98236950,1733437,70047287,61793105,61793105,36443845,0.629021,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-25,98236950,1733437,70072287,61793105,61793105,36443845,0.629021,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-02,98236950,1733437,70076287,61793105,61793105,36443845,0.629021,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-08,98236950,1726437,70126287,61793105,61793105,36443845,0.629021,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-16,98236950,1727437,70144182,61793105,61793105,36443845,0.629021,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-23,98236950,1723437,70591182,61793105,61793105,36443845,0.629021,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-30,98236950,1716437,70149182,61783105,61783105,36453845,0.628919,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-06,98236950,1721437,70170182,61783105,61783105,36453845,0.628919,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-13,98236950,1713437,69888979,62824038,62824038,35412912,0.639515,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-20,98236950,1716437,69971979,62900038,62900038,35336912,0.640289,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-27,98236950,1711437,70337979,62973038,62973038,35263912,0.641032,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-04,98236950,1721437,70366979,63002038,63002038,35234912,0.641327,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-11,98236950,1720437,70628979,63271038,63271038,34965912,0.644066,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-18,98236950,1715437,70310979,63302038,63302038,34934912,0.644381,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-25,98236950,1712437,70331979,63323038,63323038,34913912,0.644595,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-31,98236950,1712437,70751979,63340038,63340038,34896912,0.644768,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-08,98236950,1712437,70958979,63506038,63506038,34730912,0.646458,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-15,98236950,1702437,71150823,63707882,63707882,34529068,0.648512,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-22,98236950,1701437,71131823,63714882,63714882,34522068,0.648584,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-30,98236950,1759437,70354823,63856882,63856882,34380068,0.650029,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-03,98236950,1919437,70354823,63856882,63856882,34380068,0.650029,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-19,98236950,1922437,70407530,63909589,63909589,34327361,0.650566,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-26,98236950,2092437,70817530,63909589,63909589,34327361,0.650566,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-04,98236950,2092437,70816530,63909589,63909589,34327361,0.650566,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-11,98236950,2089437,70899171,63982230,63982230,34254720,0.651305,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-18,98236950,2091437,70901171,63982230,63982230,34254720,0.651305,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-25,97481950,2089437,70146171,63227230,63227230,34254720,0.648604,finmind,2026-07-22T04:17:31.412074+08:00
