date,issued_shares,foreign_holding_shares,big_holder_over400_shares,big_holder_over1000_shares,locked_shares,free_float_shares,locked_pct,source,fetched_at
2015-01-30,111151935,526697,67140631,50984640,50984640,60167295,0.458693,finmind,2026-07-22T04:17:31.412074+08:00
2015-02-26,111151935,466698,67165569,50847578,50847578,60304357,0.45746,finmind,2026-07-22T04:17:31.412074+08:00
2015-03-31,111151935,458578,66441525,51455534,51455534,59696401,0.46293,finmind,2026-07-22T04:17:31.412074+08:00
2015-04-30,111151935,545578,66167498,51551387,51551387,59600548,0.463792,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-08,111157320,546578,65771498,50381387,50381387,60775933,0.453244,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-15,111157320,511578,65316454,50404343,50404343,60752977,0.453451,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-22,111157320,419578,65381454,50379343,50379343,60777977,0.453226,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-29,111157320,404578,65323372,50399261,50399261,60758059,0.453405,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-05,111157320,346578,65375372,51479261,51479261,59678059,0.463121,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-12,111157320,300578,65413372,51511261,51511261,59646059,0.463409,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-18,111157320,238578,65007372,51549261,51549261,59608059,0.46375,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-26,111157320,233578,65669372,51559261,51559261,59598059,0.46384,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-03,111157320,253578,65101372,51507261,51507261,59650059,0.463373,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-09,111157320,281578,65918372,51527261,51527261,59630059,0.463553,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-17,111157320,247778,65946372,51588261,51588261,59569059,0.464101,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-24,111157320,247778,65440372,51588261,51588261,59569059,0.464101,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-31,111157320,297778,64402372,51623261,51623261,59534059,0.464416,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-07,111157320,400778,64376372,53536423,53536423,57620897,0.481628,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-14,111157320,416778,64606225,53785276,53785276,57372044,0.483866,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-21,111157320,411778,64025172,54012276,54012276,57145044,0.485908,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-28,111157320,364708,64050084,54440188,54440188,56717132,0.489758,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-04,111157320,355708,64684149,54548188,54548188,56609132,0.49073,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-11,111157320,366708,65032149,54914188,54914188,56243132,0.494022,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-18,111157320,370708,65317536,55169575,55169575,55987745,0.49632,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-25,111157320,341708,65451427,55287466,55287466,55869854,0.49738,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-02,111157320,328708,65403427,54298466,54298466,56858854,0.488483,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-08,111157320,246708,65874814,54312853,54312853,56844467,0.488612,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-16,111157320,209708,65977770,54418809,54418809,56738511,0.489566,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-23,111157320,245708,66124770,54563809,54563809,56593511,0.49087,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-30,111157320,242708,65920770,54688809,54688809,56468511,0.491995,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-06,111157320,282708,65910770,54673809,54673809,56483511,0.49186,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-13,111157320,286708,65964680,54673719,54673719,56483601,0.491859,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-20,111157320,307708,66007680,55704719,55704719,55452601,0.501134,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-27,111157320,308708,66019680,55704719,55704719,55452601,0.501134,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-04,111157320,326708,66050680,55719719,55719719,55437601,0.501269,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-11,111157320,408708,66477680,55689719,55689719,55467601,0.500999,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-18,111157320,363708,66501680,55709719,55709719,55447601,0.501179,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-25,111157320,351451,66471680,55724719,55724719,55432601,0.501314,finmind,2026-07-22T04:17:31.412074+08:00
2015-12-31,111157320,347451,66470860,55723899,55723899,55433421,0.501307,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-08,111157320,303451,66689860,55885899,55885899,55271421,0.502764,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-15,111157320,328451,66732860,55925899,55925899,55231421,0.503124,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-22,111157320,324451,66766860,55945899,55945899,55211421,0.503304,finmind,2026-07-22T04:17:31.412074+08:00
2016-01-30,111157320,302451,66922860,55945899,55945899,55211421,0.503304,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-03,111157320,329451,66812713,55845752,55845752,55311568,0.502403,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-19,111157320,313451,66830713,55845752,55845752,55311568,0.502403,finmind,2026-07-22T04:17:31.412074+08:00
2016-02-26,111157320,298451,66923713,55865752,55865752,55291568,0.502583,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-04,111157320,309451,66990617,55905656,55905656,55251664,0.502942,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-11,111157320,308451,66840617,54806656,54806656,56350664,0.493055,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-18,111157320,302451,66789617,54763656,54763656,56393664,0.492668,finmind,2026-07-22T04:17:31.412074+08:00
2016-03-25,111157320,301451,66233617,54692656,54692656,56464664,0.492029,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-01,111157320,291451,66147617,54662656,54662656,56494664,0.491759,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-08,111157320,279451,65733617,54662656,54662656,56494664,0.491759,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-15,111157320,293451,65902617,55841656,55841656,55315664,0.502366,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-22,111157320,286451,65615537,56159656,56159656,54997664,0.505227,finmind,2026-07-22T04:17:31.412074+08:00
2016-04-29,111157320,280411,65723537,56242656,56242656,54914664,0.505973,finmind,2026-07-22T04:17:31.412074+08:00
2016-05-06,111157320,276411,65821537,56332656,56332656,54824664,0.506783,finmind,2026-07-22T04:17:31.412074+08:00
2016-05-13,111157320,276411,65925537,56441656,56441656,54715664,0.507764,finmind,2026-07-22T04:17:31.412074+08:00
2016-05-20,111157320,266411,66192537,56677656,56677656,54479664,0.509887,finmind,2026-07-22T04:17:31.412074+08:00
2016-05-27,111157320,266411,66372504,56864623,56864623,54292697,0.511569,finmind,2026-07-22T04:17:31.412074+08:00
2016-06-04,111157320,266411,66634504,57113623,57113623,54043697,0.513809,finmind,2026-07-22T04:17:31.412074+08:00
2016-06-08,111157320,263411,66688504,57158623,57158623,53998697,0.514214,finmind,2026-07-22T04:17:31.412074+08:00
2016-06-17,111157320,263411,66733460,57211579,57211579,53945741,0.51469,finmind,2026-07-22T04:17:31.412074+08:00
