date,issued_shares,foreign_holding_shares,big_holder_over400_shares,big_holder_over1000_shares,locked_shares,free_float_shares,locked_pct,source,fetched_at
2015-01-30,430761675,120389603,371472451,346010756,346010756,84750919,0.803253,finmind,2026-07-22T04:17:31.412074+08:00
2015-02-26,430761675,121833316,371418929,348388750,348388750,82372925,0.808774,finmind,2026-07-22T04:17:31.412074+08:00
2015-03-31,430761675,123788946,367434219,343421586,343421586,87340089,0.797243,finmind,2026-07-22T04:17:31.412074+08:00
2015-04-30,430761675,128814603,371756507,347474595,347474595,83287080,0.806652,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-08,430761675,129045931,372439324,347188595,347188595,83573080,0.805988,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-15,430761675,129183660,372512304,347177595,347177595,83584080,0.805962,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-22,430761675,128421476,372003744,345527419,345527419,85234256,0.802131,finmind,2026-07-22T04:17:31.412074+08:00
2015-05-29,430761675,127914267,371290921,346126491,346126491,84635184,0.803522,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-05,430761675,127669277,371450548,346515118,346515118,84246557,0.804424,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-12,430761675,127127140,372227471,344791718,344791718,85969957,0.800423,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-18,430761675,126205845,371396138,345748431,345748431,85013244,0.802644,finmind,2026-07-22T04:17:31.412074+08:00
2015-06-26,430761675,125737575,372425378,347508031,347508031,83253644,0.806729,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-03,430761675,125796037,373802174,346182146,346182146,84579529,0.803651,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-09,430761675,125833409,373268289,345906929,345906929,84854746,0.803012,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-17,430761675,125396965,372227621,346278929,346278929,84482746,0.803876,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-24,430761675,124759950,372210621,346964929,346964929,83796746,0.805468,finmind,2026-07-22T04:17:31.412074+08:00
2015-07-31,430761675,124997447,371544961,346432929,346432929,84328746,0.804233,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-07,430761675,125272909,372135853,347139753,347139753,83621922,0.805874,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-14,430761675,125393300,371811361,347018587,347018587,83743088,0.805593,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-21,430761675,124799207,370215628,346480587,346480587,84281088,0.804344,finmind,2026-07-22T04:17:31.412074+08:00
2015-08-28,430761675,125215127,370007660,343979628,343979628,86782047,0.798538,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-04,430761675,125195899,370594206,345682628,345682628,85079047,0.802492,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-11,430761675,125332339,370312512,345853044,345853044,84908631,0.802887,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-18,430761675,124236009,371395278,347099044,347099044,83662631,0.80578,finmind,2026-07-22T04:17:31.412074+08:00
2015-09-25,430761675,121879387,369862200,348071730,348071730,82689945,0.808038,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-02,430761675,121492936,369583689,347777915,347777915,82983760,0.807356,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-08,430761675,121832636,369768379,346793480,346793480,83968195,0.80507,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-16,430761675,122989990,369522219,344885225,344885225,85876450,0.80064,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-23,430761675,123753833,370504968,346023360,346023360,84738315,0.803283,finmind,2026-07-22T04:17:31.412074+08:00
2015-10-30,430761675,124074501,370351619,346713355,346713355,84048320,0.804884,finmind,2026-07-22T04:17:31.412074+08:00
2015-11-06,430761675,124791931,370345355,345891396,345891396,84870279,0.802976,finmind,2026-07-22T04:17:31.412074+08:00
