date,end_date,reason
2015-04-01,2015-04-08,股東常會
2015-07-02,2015-07-07,除息
2016-04-08,2016-04-13,股東常會
2016-06-28,2016-07-01,除息
2017-03-29,2017-04-05,股東常會
2017-06-28,2017-07-03,除息
2018-04-09,2018-04-12,股東常會
2018-07-05,2018-07-10,除息
2019-04-08,2019-04-11,股東常會
2019-07-09,2019-07-12,除息
2020-04-13,2020-04-16,股東常會
2020-07-15,2020-07-20,除息
2021-04-22,2021-04-27,股東常會
2021-08-03,2021-08-06,除息
2022-04-08,2022-04-13,股東常會
2022-07-15,2022-07-20,除息
2023-03-24,2023-03-29,股東常會
2023-06-19,2023-06-26,除息
2023-08-28,2023-08-31,現增除權
2024-03-21,2024-03-26,股東常會
2024-06-21,2024-06-26,除息
2025-01-21,2025-02-04,現增除權
2025-03-21,2025-03-26,股東常會
2025-07-08,2025-07-11,除息
2026-03-16,2026-03-19,除息
