date,end_date,reason
2015-04-17,2015-04-22,股東常會
2015-07-24,2015-07-29,除權、息
2016-04-15,2016-04-20,股東常會
2016-07-25,2016-07-28,除權、息
2017-04-14,2017-04-19,股東常會
2017-07-07,2017-07-12,除息
2018-04-20,2018-04-25,股東常會
2018-07-16,2018-07-19,除息
2019-04-03,2019-04-10,股東常會
2019-07-24,2019-07-29,除權、息
2020-04-09,2020-04-14,股東常會
2020-07-09,2020-07-14,除息
2021-04-22,2021-04-27,股東常會
2021-08-06,2021-08-11,除息
2022-04-08,2022-04-13,股東常會
2022-07-15,2022-07-20,除息
2023-03-24,2023-03-29,股東常會
2023-06-19,2023-06-26,除息
2024-03-22,2024-03-27,股東常會
2024-07-19,2024-07-24,除息
2025-03-21,2025-03-26,股東常會
2025-07-24,2025-07-29,除息
2026-03-20,2026-03-25,股東常會
2026-07-24,2026-07-29,除息
