date,end_date,reason
2017-09-01,2017-09-06,除息
2018-04-20,2018-04-25,股東常會
2018-08-22,2018-08-27,除息
2019-02-20,2019-02-25,現金增資
2019-04-22,2019-04-25,股東常會
2019-08-29,2019-09-03,除息
2020-04-23,2020-04-28,股東常會
2021-01-27,2021-02-01,現金增資
2021-04-22,2021-04-27,股東常會
2021-10-18,2021-10-21,除息
2022-03-08,2022-03-11,現金增資
2022-04-21,2022-04-26,股東常會
2022-09-02,2022-09-07,除息
2023-04-21,2023-04-26,股東常會
2023-08-30,2023-09-04,除息
2024-03-15,2024-03-20,股東常會
2024-08-29,2024-09-03,除息
2024-11-29,2024-12-04,現金增資
2025-03-21,2025-03-26,股東常會
2025-08-28,2025-09-02,除息
2026-04-16,2026-04-21,股東常會
