date,end_date,reason
2015-04-17,2015-04-22,股東常會
2015-07-17,2015-07-22,除權息
2016-03-29,2016-04-01,股東常會
2016-07-06,2016-07-11,除權息
2017-04-07,2017-04-12,股東常會
2017-07-12,2017-07-17,除權息
2018-04-16,2018-04-19,股東常會
2018-07-18,2018-07-23,除權息
2019-03-27,2019-04-01,股東常會
2019-07-10,2019-07-15,除息
2020-04-01,2020-04-08,股東常會
2020-07-08,2020-07-13,除息
2021-04-09,2021-04-14,股東常會
2021-08-11,2021-08-16,除息
2022-04-22,2022-04-27,股東常會
2022-07-12,2022-07-15,除息
2023-03-28,2023-03-31,股東常會
2023-06-16,2023-06-21,除息
2024-03-28,2024-04-02,股東常會
2025-03-21,2025-03-26,股東常會
2025-06-17,2025-06-20,除息
2026-03-23,2026-03-26,股東常會
2026-06-11,2026-06-16,除息
