date,end_date,reason
2015-03-20,2015-03-25,股東常會
2016-03-18,2016-03-23,股東常會
2016-10-12,2016-10-17,除息
2017-03-20,2017-03-23,股東常會
2017-07-06,2017-07-11,除息
2018-03-19,2018-03-22,股東常會
2018-06-11,2018-06-14,除息
2019-03-18,2019-03-21,股東常會
2019-06-12,2019-06-17,除息
2020-03-23,2020-03-26,股東常會
2020-06-17,2020-06-22,除息
2021-03-22,2021-03-25,股東常會
2021-07-27,2021-07-30,除息
2022-03-07,2022-03-10,股東常會
2022-06-15,2022-06-20,現金增資
2023-03-13,2023-03-16,股東常會
2023-05-31,2023-06-05,除息
2024-03-11,2024-03-14,股東常會
2024-06-14,2024-06-19,除息
2025-03-10,2025-03-13,股東常會
2025-05-28,2025-06-03,現金增資
2026-03-16,2026-03-19,股東常會
2026-06-05,2026-06-10,除息
