date,end_date,reason
2015-04-20,2015-04-23,股東常會
2016-04-22,2016-04-27,股東常會
2017-04-20,2017-04-25,股東常會
2017-07-26,2017-07-31,除息
2018-04-20,2018-04-25,股東常會
2018-07-27,2018-08-01,除息
2019-04-19,2019-04-24,股東常會
2019-07-26,2019-07-31,除息
2020-04-16,2020-04-21,股東常會
2020-07-24,2020-07-29,除息
2021-04-19,2021-04-22,股東常會
2021-08-23,2021-08-26,除息
2022-04-21,2022-04-26,股東常會
2022-07-28,2022-08-02,除息
2023-04-13,2023-04-18,股東常會
2023-07-28,2023-08-02,除息
2024-04-18,2024-04-23,股東常會
2024-07-26,2024-07-31,除息
2025-04-18,2025-04-23,股東常會
2025-08-18,2025-08-21,除權、息
2026-04-20,2026-04-23,股東常會
