date,end_date,reason
2015-04-17,2015-04-22,股東常會
2015-08-12,2015-08-17,除息
2016-04-15,2016-04-20,股東常會
2016-08-17,2016-08-22,除息
2017-04-14,2017-04-19,股東常會
2017-08-16,2017-08-21,除息
2018-04-20,2018-04-25,股東常會
2018-08-08,2018-08-13,除權息
2019-04-15,2019-04-18,股東常會
2019-11-29,2019-12-04,減資
2020-04-13,2020-04-16,股東常會
2020-07-22,2020-07-27,除息
2020-11-27,2020-12-02,減資
2021-04-22,2021-04-27,股東常會
2021-08-02,2021-08-05,除息
2022-04-08,2022-04-13,股東常會
2022-08-02,2022-08-05,除息
2023-04-14,2023-04-19,股東常會
2023-07-14,2023-07-19,除息
2024-03-22,2024-03-27,股東常會
2024-07-02,2024-07-05,除息
2025-03-21,2025-03-26,股東常會
2025-06-27,2025-07-02,除息
2026-03-20,2026-03-25,股東常會
2026-06-16,2026-06-22,除息
