date,end_date,reason
2015-04-16,2015-04-21,股東常會
2015-07-14,2015-07-17,除息
2016-04-11,2016-04-14,股東常會
2016-07-19,2016-07-22,除息
2017-03-20,2017-03-23,股東常會
2017-08-22,2017-08-25,除息
2018-03-26,2018-03-29,股東常會
2018-06-22,2018-06-27,除息
2019-03-22,2019-03-27,股東常會
2019-06-26,2019-07-01,除息
2020-03-20,2020-03-25,股東常會
2020-06-24,2020-07-01,除息
2021-03-22,2021-03-25,股東常會
2021-08-27,2021-09-01,除權息
2022-03-21,2022-03-24,股東常會
2022-06-21,2022-06-24,除息
2023-03-24,2023-03-29,股東常會
2023-06-21,2023-06-28,除息
2024-03-22,2024-03-27,股東常會
2024-07-18,2024-07-23,除息
2025-03-21,2025-03-26,股東常會
2025-06-17,2025-06-20,除息
2026-03-20,2026-03-25,股東常會
2026-06-16,2026-06-22,除息
