date,end_date,reason
2015-04-16,2015-04-21,股東常會
2015-08-21,2015-08-26,除息
2016-04-21,2016-04-26,股東常會
2016-07-07,2016-07-12,除息
2017-04-13,2017-04-18,股東常會
2017-07-07,2017-07-12,除息
2018-04-03,2018-04-11,股東常會
2018-06-26,2018-06-29,除息
2019-03-27,2019-04-01,股東常會
2019-06-18,2019-06-21,除息
2020-04-01,2020-04-08,股東常會
2020-06-23,2020-06-30,除息
2021-03-31,2021-04-07,股東常會
2021-08-12,2021-08-17,除息
2022-04-08,2022-04-13,股東常會
2022-06-27,2022-06-30,除息
2023-03-28,2023-03-31,股東常會
2023-06-19,2023-06-26,除息
2024-04-03,2024-04-10,股東常會
2024-06-25,2024-06-28,除息
2025-04-18,2025-04-23,股東常會
2025-08-15,2025-08-20,除權
2026-04-17,2026-04-22,股東常會
