date,end_date,reason
2015-03-20,2015-03-25,股東常會
2015-06-26,2015-07-01,除息
2016-01-25,2016-01-28,現金增資
2016-03-25,2016-03-30,股東常會
2016-06-23,2016-06-28,除息
2017-04-07,2017-04-12,股東常會
2017-07-07,2017-07-12,除息
2018-03-23,2018-03-28,股東常會
2018-07-06,2018-07-11,除權息
2019-03-22,2019-03-27,股東常會
2019-06-18,2019-06-21,除息
2020-04-01,2020-04-08,股東常會
2020-07-01,2020-07-06,除息
2021-03-22,2021-03-25,股東常會
2021-07-23,2021-07-28,除息
2022-03-24,2022-03-29,股東常會
2022-06-22,2022-06-27,除息
2023-03-28,2023-03-31,股東常會
2023-06-06,2023-06-09,除息
2024-03-22,2024-03-27,股東常會
2024-05-31,2024-06-05,除息
2025-03-17,2025-03-20,股東常會
2025-06-04,2025-06-09,除息
2026-03-19,2026-03-24,股東常會
2026-06-24,2026-06-29,除息
