date,end_date,reason
2015-04-16,2015-04-21,股東常會
2015-12-11,,減資
2016-03-18,,股東常會
2017-03-03,2017-03-08,股東常會
2017-06-14,2017-06-19,除息
2018-03-05,2018-03-08,股東常會
2018-06-06,2018-06-11,除權息
2019-03-22,2019-03-27,股東常會
2019-07-02,2019-07-05,除息
2020-03-13,2020-03-18,股東常會
2021-03-22,2021-03-25,股東常會
2021-08-27,2021-09-01,除息
2022-03-18,2022-03-23,股東常會
2022-07-08,2022-07-13,除權息
2023-03-24,2023-03-29,股東常會
2023-08-04,2023-08-09,除權息
2024-03-22,2024-03-27,股東常會
2025-03-21,2025-03-26,股東常會
2026-03-13,2026-03-18,股東常會
