date,end_date,reason
2015-04-01,2015-04-08,股東常會
2015-07-07,2015-07-10,除息
2016-04-15,2016-04-20,股東常會
2016-07-26,2016-07-29,除息
2017-04-14,2017-04-19,股東常會
2017-07-18,2017-07-21,除息
2018-04-13,2018-04-18,股東常會
2018-07-23,2018-07-26,除息
2019-04-12,2019-04-17,股東常會
2019-08-28,2019-09-02,除權、息
2020-04-10,2020-04-15,股東常會
2021-04-16,2021-04-21,股東常會
2022-04-18,2022-04-21,股東常會
2022-08-03,2022-08-08,除權、息
2023-03-28,2023-03-31,股東常會
2023-08-21,2023-08-24,除權、息
2024-04-12,2024-04-17,股東常會
2024-10-17,2024-10-22,現增除權
2025-04-07,2025-04-10,股東常會
2025-11-21,2025-11-26,現增除權
2026-04-17,2026-04-22,股東常會
