date,end_date,reason
2015-04-01,2015-04-08,股東常會
2015-07-15,2015-07-20,除息
2016-03-25,2016-03-30,股東常會
2016-06-24,2016-06-29,除息
2017-03-24,2017-03-29,股東常會
2017-06-23,2017-06-28,除息
2018-03-19,2018-03-22,股東常會
2018-06-28,2018-07-03,除息
2019-03-25,2019-03-28,股東常會
2019-06-25,2019-06-28,除息
2020-03-23,2020-03-26,股東常會
2020-06-23,2020-06-30,除息
2021-03-22,2021-03-25,股東常會
2021-08-11,2021-08-16,除息
2022-03-21,2022-03-24,股東常會
2022-06-10,2022-06-15,除息
2023-03-24,2023-03-29,股東常會
2023-06-09,2023-06-14,除息
2024-02-22,2024-02-27,股東常會
2024-05-13,2024-05-16,除息
2025-03-17,2025-03-20,股東常會
2025-06-05,2025-06-10,除息
2026-03-16,2026-03-19,股東常會
2026-06-03,2026-06-08,除息
