date,end_date,reason
2015-04-16,2015-04-21,股東常會
2015-07-02,2015-07-07,除息
2016-03-11,2016-03-16,股東常會
2016-06-17,2016-06-22,除息
2017-03-10,2017-03-15,股東常會
2017-05-25,2017-06-01,除息
2018-03-27,2018-03-30,股東常會
2018-06-13,2018-06-19,除息
2019-04-08,2019-04-11,股東常會
2019-06-27,2019-07-02,除息
2020-04-06,2020-04-09,股東常會
2020-06-23,2020-06-30,除息
2021-04-22,2021-04-27,股東常會
2021-07-15,2021-07-20,除息
2022-04-11,2022-04-14,股東常會
2022-06-28,2022-07-01,除息
2023-03-24,2023-03-29,股東常會
2024-03-18,2024-03-21,股東常會
2025-03-17,2025-03-20,股東常會
2026-03-19,2026-03-24,股東常會
