date,end_date,reason
2015-04-02,2015-04-09,股東常會
2015-07-22,2015-07-27,除息
2016-04-15,2016-04-20,股東常會
2016-07-25,2016-07-28,除息
2017-04-14,2017-04-19,股東常會
2017-07-25,2017-07-28,除息
2018-04-20,2018-04-25,股東常會
2018-07-25,2018-07-30,除息
2019-04-15,2019-04-18,股東常會
2019-07-17,2019-07-22,除息
2020-04-13,2020-04-16,股東常會
2020-07-07,2020-07-10,除息
2021-04-19,2021-04-22,股東常會
2021-08-17,2021-08-20,除權息
2022-04-15,2022-04-20,股東常會
2023-04-13,2023-04-18,股東常會
2023-07-21,2023-07-26,除權息
2023-10-05,2023-10-12,現金增資
2024-03-22,2024-03-27,股東常會
2024-06-25,2024-06-28,除息
2025-03-20,2025-03-25,股東常會
2025-06-25,2025-06-30,除息
2026-03-16,2026-03-19,股東常會
2026-06-25,2026-06-30,除息
