date,end_date,reason
2015-04-10,2015-04-15,股東常會
2016-04-08,2016-04-13,股東常會
2016-07-11,2016-07-14,除息
2017-03-29,2017-04-05,股東常會
2017-06-30,2017-07-05,除息
2018-04-03,2018-04-11,股東常會
2018-07-03,2018-07-06,除息
2019-04-03,2019-04-10,股東常會
2019-07-03,2019-07-08,除息
2020-04-01,2020-04-08,股東常會
2020-07-03,2020-07-08,除息
2021-03-19,2021-03-24,股東常會
2021-07-15,2021-07-20,除息
2022-03-18,2022-03-23,股東常會
2022-06-09,2022-06-14,除息
2023-04-13,2023-04-18,除息
2023-04-21,2023-04-26,股東常會
2024-04-02,2024-04-09,除息
2024-04-12,2024-04-17,股東常會
2025-04-01,2025-04-08,除息
2025-04-11,2025-04-16,股東常會
2026-03-31,2026-04-07,除息
2026-04-10,2026-04-15,股東常會
