date,end_date,reason
2015-03-23,2015-03-26,股東常會
2015-07-24,2015-07-29,除權、息
2016-03-21,2016-03-24,股東常會
2016-07-06,2016-07-11,除權、息
2017-03-20,2017-03-23,股東常會
2017-07-07,2017-07-12,除息
2018-03-19,2018-03-22,股東常會
2018-06-05,2018-06-08,除息
2019-03-18,2019-03-21,股東常會
2019-06-21,2019-06-26,除權、息
2020-03-20,2020-03-25,股東常會
2020-06-08,2020-06-11,除息
2021-03-19,2021-03-24,股東常會
2021-08-10,2021-08-13,除權、息
2022-03-14,2022-03-17,股東常會
2022-06-14,2022-06-17,除權、息
2022-10-28,2022-11-02,現增除權
2023-03-13,2023-03-16,股東常會
2023-06-14,2023-06-19,除權、息
2024-03-18,2024-03-21,股東常會
2024-06-14,2024-06-19,除權、息
2025-03-17,2025-03-20,股東常會
2025-06-13,2025-06-18,除權、息
2026-03-16,2026-03-19,股東常會
2026-06-05,2026-06-10,除息
