date,Foreign_Investor_Buy,Foreign_Investor_Sell,Foreign_Investor_Overbuy,Investment_Trust_Buy,Investment_Trust_Sell,Investment_Trust_Overbuy,Dealer_self_Buy,Dealer_self_Sell,Dealer_self_Overbuy,Total_Overbuy,cb_id,cb_name
2026-05-11,0,0,0,0,0,0,0,5,-5,-5,52845,jpp五KY         
2026-05-12,0,0,0,0,0,0,111,244,-133,-133,52845,jpp五KY         
2026-05-13,0,0,0,0,0,0,20,110,-90,-90,52845,jpp五KY         
2026-05-14,0,0,0,0,0,0,10,138,-128,-128,52845,jpp五KY         
2026-05-15,0,0,0,0,0,0,4,2,2,2,52845,jpp五KY         
2026-05-18,0,0,0,0,0,0,893,20,873,873,52845,jpp五KY         
2026-05-19,0,0,0,0,0,0,103,11,92,92,52845,jpp五KY         
2026-05-20,0,0,0,0,0,0,128,57,71,71,52845,jpp五KY         
2026-05-21,0,0,0,0,0,0,150,76,74,74,52845,jpp五KY         
2026-05-22,0,0,0,0,0,0,50,59,-9,-9,52845,jpp五KY         
2026-05-25,0,0,0,0,0,0,15,10,5,5,52845,jpp五KY         
2026-05-26,0,0,0,0,0,0,1,0,1,1,52845,jpp五KY         
2026-05-27,0,0,0,0,0,0,204,60,144,144,52845,jpp五KY         
2026-05-28,0,0,0,0,0,0,32,15,17,17,52845,jpp五KY         
2026-05-29,0,0,0,0,0,0,22,18,4,4,52845,jpp五KY         
2026-06-01,0,0,0,0,0,0,0,10,-10,-10,52845,jpp五KY         
2026-06-02,0,0,0,0,0,0,20,0,20,20,52845,jpp五KY         
2026-06-03,0,0,0,0,0,0,0,2,-2,-2,52845,jpp五KY         
2026-06-04,0,0,0,0,0,0,16,15,1,1,52845,jpp五KY         
2026-06-09,0,0,0,0,0,0,48,42,6,6,52845,jpp五KY         
2026-06-10,0,0,0,0,0,0,1,0,1,1,52845,jpp五KY         
2026-06-11,0,0,0,0,0,0,3,2,1,1,52845,jpp五KY         
2026-06-12,0,0,0,0,0,0,15,15,0,0,52845,jpp五KY         
2026-06-15,0,0,0,0,0,0,1,1,0,0,52845,jpp五KY         
2026-06-22,0,0,0,0,0,0,5,15,-10,-10,52845,jpp五KY         
2026-06-23,0,0,0,0,0,0,10,13,-3,-3,52845,jpp五KY         
2026-06-24,0,0,0,0,0,0,167,114,53,53,52845,jpp五KY         
2026-06-25,0,0,0,0,0,0,2,10,-8,-8,52845,jpp五KY         
2026-06-26,0,0,0,0,0,0,13,37,-24,-24,52845,jpp五KY         
2026-06-29,0,0,0,0,0,0,82,100,-18,-18,52845,jpp五KY         
2026-06-30,0,0,0,0,0,0,36,61,-25,-25,52845,jpp五KY         
2026-07-02,0,0,0,0,0,0,0,5,-5,-5,52845,jpp五KY         
2026-07-06,0,0,0,0,0,0,11,18,-7,-7,52845,jpp五KY         
2026-07-07,0,0,0,0,0,0,1,3,-2,-2,52845,jpp五KY         
2026-07-08,0,0,0,0,0,0,17,22,-5,-5,52845,jpp五KY         
2026-07-13,0,0,0,0,0,0,16,12,4,4,52845,jpp五KY         
2026-07-14,0,0,0,0,0,0,51,20,31,31,52845,jpp五KY         
2026-07-16,0,0,0,0,0,0,1,5,-4,-4,52845,jpp五KY         
2026-07-17,0,0,0,0,0,0,13,17,-4,-4,52845,jpp五KY         
