date,Foreign_Investor_Buy,Foreign_Investor_Sell,Foreign_Investor_Overbuy,Investment_Trust_Buy,Investment_Trust_Sell,Investment_Trust_Overbuy,Dealer_self_Buy,Dealer_self_Sell,Dealer_self_Overbuy,Total_Overbuy,cb_id,cb_name
2023-06-02,0,50,-50,0,0,0,140,0,140,90,33233,加百裕三
2023-06-05,0,0,0,0,0,0,153,10,143,143,33233,加百裕三
2023-06-06,0,0,0,0,0,0,84,1,83,83,33233,加百裕三
2023-06-07,0,0,0,0,0,0,12,0,12,12,33233,加百裕三
2023-06-08,0,0,0,0,0,0,16,48,-32,-32,33233,加百裕三
2023-06-09,0,0,0,0,0,0,1704,65,1639,1639,33233,加百裕三
2023-06-12,0,0,0,0,0,0,441,21,420,420,33233,加百裕三
2023-06-13,0,0,0,0,0,0,76,44,32,32,33233,加百裕三
2023-06-14,0,0,0,0,0,0,72,90,-18,-18,33233,加百裕三
2023-06-15,0,0,0,0,0,0,65,17,48,48,33233,加百裕三
2023-06-16,0,0,0,0,0,0,57,81,-24,-24,33233,加百裕三
2023-06-20,0,0,0,0,0,0,221,189,32,32,33233,加百裕三
2023-06-26,0,0,0,0,0,0,33,31,2,2,33233,加百裕三
2023-06-27,0,0,0,0,0,0,107,1,106,106,33233,加百裕三
2023-06-28,0,0,0,0,0,0,16,26,-10,-10,33233,加百裕三
2023-06-30,0,0,0,0,0,0,90,84,6,6,33233,加百裕三
2023-07-03,0,0,0,0,0,0,34,12,22,22,33233,加百裕三
2023-07-04,0,0,0,0,0,0,51,51,0,0,33233,加百裕三
2023-07-05,0,0,0,0,0,0,18,17,1,1,33233,加百裕三
2023-07-06,0,0,0,0,0,0,63,63,0,0,33233,加百裕三
2023-07-07,0,0,0,0,0,0,92,66,26,26,33233,加百裕三
2023-07-10,0,0,0,0,0,0,17,17,0,0,33233,加百裕三
2023-07-11,0,0,0,0,0,0,166,31,135,135,33233,加百裕三
2023-07-12,0,0,0,0,0,0,10,10,0,0,33233,加百裕三
2023-07-13,0,0,0,0,0,0,12,10,2,2,33233,加百裕三
2023-07-14,0,0,0,0,0,0,21,20,1,1,33233,加百裕三
2023-07-17,0,0,0,0,0,0,10,10,0,0,33233,加百裕三
2023-07-18,0,0,0,0,0,0,0,10,-10,-10,33233,加百裕三
2023-07-19,0,0,0,0,0,0,20,20,0,0,33233,加百裕三
2023-07-20,0,0,0,0,0,0,10,10,0,0,33233,加百裕三
2023-07-21,0,0,0,0,0,0,32,30,2,2,33233,加百裕三
2023-07-26,0,0,0,0,0,0,45,45,0,0,33233,加百裕三
2023-07-31,0,0,0,0,0,0,10,2,8,8,33233,加百裕三
2023-08-04,0,0,0,0,0,0,2,0,2,2,33233,加百裕三
2023-08-07,0,0,0,0,0,0,168,60,108,108,33233,加百裕三
2023-08-08,0,0,0,0,0,0,66,66,0,0,33233,加百裕三
2023-08-09,0,0,0,0,0,0,51,52,-1,-1,33233,加百裕三
2023-08-10,0,0,0,0,0,0,10,10,0,0,33233,加百裕三
2023-08-11,0,0,0,0,0,0,10,10,0,0,33233,加百裕三
2023-08-14,0,0,0,0,0,0,12,12,0,0,33233,加百裕三
2023-08-17,0,0,0,0,0,0,2,0,2,2,33233,加百裕三
