date,Foreign_Investor_Buy,Foreign_Investor_Sell,Foreign_Investor_Overbuy,Investment_Trust_Buy,Investment_Trust_Sell,Investment_Trust_Overbuy,Dealer_self_Buy,Dealer_self_Sell,Dealer_self_Overbuy,Total_Overbuy,cb_id,cb_name
2016-08-08,0,40,-40,0,0,0,57,0,57,17,20691,運錩一
2016-08-09,0,0,0,0,0,0,2,0,2,2,20691,運錩一
2016-08-10,0,0,0,0,0,0,54,12,42,42,20691,運錩一
2016-08-12,0,0,0,0,0,0,16,0,16,16,20691,運錩一
2016-08-18,0,0,0,0,0,0,1,15,-14,-14,20691,運錩一
2016-08-25,0,0,0,0,0,0,17,0,17,17,20691,運錩一
2016-08-26,7,0,7,0,0,0,20,16,4,11,20691,運錩一
2016-08-29,0,0,0,0,0,0,0,2,-2,-2,20691,運錩一
2016-08-30,0,0,0,0,0,0,0,1,-1,-1,20691,運錩一
2016-09-02,0,7,-7,0,0,0,20,4,16,9,20691,運錩一
2016-09-21,0,0,0,0,0,0,10,0,10,10,20691,運錩一
2016-09-29,0,0,0,0,0,0,0,5,-5,-5,20691,運錩一
2016-09-30,0,0,0,0,0,0,2,0,2,2,20691,運錩一
2016-10-04,0,0,0,0,0,0,15,15,0,0,20691,運錩一
2016-11-11,0,0,0,0,0,0,15,5,10,10,20691,運錩一
2016-11-14,0,0,0,0,0,0,5,0,5,5,20691,運錩一
2016-11-15,0,0,0,0,0,0,12,34,-22,-22,20691,運錩一
2016-11-16,0,0,0,0,0,0,0,11,-11,-11,20691,運錩一
2016-11-17,0,0,0,0,0,0,1,0,1,1,20691,運錩一
2016-11-18,0,0,0,0,0,0,2,0,2,2,20691,運錩一
2016-11-21,0,0,0,0,0,0,5,14,-9,-9,20691,運錩一
2016-11-22,0,0,0,0,0,0,3,1,2,2,20691,運錩一
2016-11-23,0,0,0,0,0,0,3,5,-2,-2,20691,運錩一
2016-11-24,0,0,0,0,0,0,4,0,4,4,20691,運錩一
2016-12-01,0,0,0,0,0,0,6,0,6,6,20691,運錩一
2016-12-02,0,0,0,0,0,0,6,0,6,6,20691,運錩一
2016-12-05,0,0,0,0,0,0,0,7,-7,-7,20691,運錩一
2016-12-06,0,0,0,0,0,0,0,20,-20,-20,20691,運錩一
2016-12-07,0,0,0,0,0,0,0,4,-4,-4,20691,運錩一
2017-01-11,0,0,0,0,0,0,2,1,1,1,20691,運錩一
2017-01-12,0,0,0,0,0,0,0,24,-24,-24,20691,運錩一
2017-01-13,0,0,0,0,0,0,0,4,-4,-4,20691,運錩一
2017-01-16,0,0,0,0,0,0,0,11,-11,-11,20691,運錩一
2017-01-19,0,0,0,0,0,0,0,5,-5,-5,20691,運錩一
2017-02-06,0,0,0,0,0,0,278,2,276,276,20691,運錩一
2017-02-07,0,0,0,0,0,0,34,0,34,34,20691,運錩一
2017-02-08,0,0,0,0,0,0,20,0,20,20,20691,運錩一
2017-02-09,0,0,0,0,0,0,7,0,7,7,20691,運錩一
2017-02-10,0,0,0,0,0,0,2,2,0,0,20691,運錩一
2017-03-09,0,0,0,0,0,0,0,10,-10,-10,20691,運錩一
