date,Foreign_Investor_Buy,Foreign_Investor_Sell,Foreign_Investor_Overbuy,Investment_Trust_Buy,Investment_Trust_Sell,Investment_Trust_Overbuy,Dealer_self_Buy,Dealer_self_Sell,Dealer_self_Overbuy,Total_Overbuy,cb_id,cb_name
2018-08-16,0,0,0,0,0,0,231,450,-219,-219,47641,雙鍵一
2018-08-17,0,0,0,0,0,0,132,114,18,18,47641,雙鍵一
2018-08-20,0,0,0,0,0,0,51,10,41,41,47641,雙鍵一
2018-08-21,0,0,0,0,0,0,0,26,-26,-26,47641,雙鍵一
2018-08-22,0,5,-5,0,0,0,3434,1,3433,3428,47641,雙鍵一
2018-08-23,0,0,0,0,0,0,890,13,877,877,47641,雙鍵一
2018-08-24,0,0,0,0,0,0,627,42,585,585,47641,雙鍵一
2018-08-27,0,0,0,0,0,0,160,110,50,50,47641,雙鍵一
2018-08-28,0,0,0,0,0,0,5,5,0,0,47641,雙鍵一
2018-08-29,0,0,0,0,0,0,246,42,204,204,47641,雙鍵一
2018-08-30,0,0,0,0,0,0,6,1,5,5,47641,雙鍵一
2018-08-31,0,0,0,0,0,0,72,50,22,22,47641,雙鍵一
2018-09-03,0,0,0,0,0,0,38,35,3,3,47641,雙鍵一
2018-09-04,0,0,0,0,0,0,6,5,1,1,47641,雙鍵一
2018-09-05,0,0,0,0,0,0,3,4,-1,-1,47641,雙鍵一
2018-09-06,0,0,0,0,0,0,10,3,7,7,47641,雙鍵一
2018-09-07,0,0,0,0,0,0,62,35,27,27,47641,雙鍵一
2018-09-10,0,0,0,0,0,0,16,0,16,16,47641,雙鍵一
2018-09-11,0,0,0,0,0,0,1,6,-5,-5,47641,雙鍵一
2018-09-12,0,0,0,0,0,0,3,5,-2,-2,47641,雙鍵一
2018-09-13,0,0,0,0,0,0,7,1,6,6,47641,雙鍵一
2018-09-17,0,0,0,0,0,0,3,3,0,0,47641,雙鍵一
2018-09-18,0,0,0,0,0,0,5,9,-4,-4,47641,雙鍵一
2018-09-19,0,0,0,0,0,0,39,18,21,21,47641,雙鍵一
2018-09-20,0,0,0,0,0,0,24,13,11,11,47641,雙鍵一
2018-09-21,0,0,0,0,0,0,55,61,-6,-6,47641,雙鍵一
