date,level,people,holding_shares,percent
2022-09-30,"1,000-5,000",41,78616,0.48
2022-09-30,1-999,52,5423,0.03
2022-09-30,"10,001-15,000",2,27475,0.16
2022-09-30,"100,001-200,000",0,0,0.0
2022-09-30,"15,001-20,000",1,20000,0.12
2022-09-30,"20,001-30,000",0,0,0.0
2022-09-30,"200,001-400,000",1,294628,1.81
2022-09-30,"30,001-40,000",0,0,0.0
2022-09-30,"40,001-50,000",0,0,0.0
2022-09-30,"400,001-600,000",0,0,0.0
2022-09-30,"5,001-10,000",4,32500,0.2
2022-09-30,"50,001-100,000",2,108640,0.67
2022-09-30,"600,001-800,000",0,0,0.0
2022-09-30,"800,001-1,000,000",0,0,0.0
2022-09-30,"more than 1,000,001",1,15642718,96.5
2022-09-30,total,104,16210000,100.0
2022-09-30,差異數調整（說明4）,0,0,0.0
2022-10-07,"1,000-5,000",42,80616,0.49
2022-10-07,1-999,54,5487,0.03
2022-10-07,"10,001-15,000",2,27475,0.16
2022-10-07,"100,001-200,000",0,0,0.0
2022-10-07,"15,001-20,000",1,20000,0.12
2022-10-07,"20,001-30,000",0,0,0.0
2022-10-07,"200,001-400,000",1,292627,1.8
2022-10-07,"30,001-40,000",0,0,0.0
2022-10-07,"40,001-50,000",0,0,0.0
2022-10-07,"400,001-600,000",0,0,0.0
2022-10-07,"5,001-10,000",4,32500,0.2
2022-10-07,"50,001-100,000",2,108640,0.67
2022-10-07,"600,001-800,000",0,0,0.0
2022-10-07,"800,001-1,000,000",0,0,0.0
2022-10-07,"more than 1,000,001",1,15642655,96.5
2022-10-07,total,107,16210000,100.0
2022-10-07,差異數調整（說明4）,0,0,0.0
2022-10-14,"1,000-5,000",44,82616,0.5
2022-10-14,1-999,54,5438,0.03
2022-10-14,"10,001-15,000",2,27475,0.16
2022-10-14,"100,001-200,000",0,0,0.0
2022-10-14,"15,001-20,000",1,20000,0.12
2022-10-14,"20,001-30,000",0,0,0.0
2022-10-14,"200,001-400,000",1,292626,1.8
2022-10-14,"30,001-40,000",0,0,0.0
2022-10-14,"40,001-50,000",0,0,0.0
2022-10-14,"400,001-600,000",0,0,0.0
2022-10-14,"5,001-10,000",3,26500,0.16
2022-10-14,"50,001-100,000",2,113690,0.7
2022-10-14,"600,001-800,000",0,0,0.0
2022-10-14,"800,001-1,000,000",0,0,0.0
2022-10-14,"more than 1,000,001",1,15641655,96.49
2022-10-14,total,108,16210000,100.0
2022-10-14,差異數調整（說明4）,0,0,0.0
2022-10-21,"1,000-5,000",45,83616,0.51
2022-10-21,1-999,54,5438,0.03
2022-10-21,"10,001-15,000",2,27475,0.16
2022-10-21,"100,001-200,000",0,0,0.0
2022-10-21,"15,001-20,000",1,20000,0.12
2022-10-21,"20,001-30,000",0,0,0.0
2022-10-21,"200,001-400,000",1,291626,1.79
2022-10-21,"30,001-40,000",0,0,0.0
2022-10-21,"40,001-50,000",0,0,0.0
2022-10-21,"400,001-600,000",0,0,0.0
2022-10-21,"5,001-10,000",3,26500,0.16
2022-10-21,"50,001-100,000",2,113690,0.7
2022-10-21,"600,001-800,000",0,0,0.0
2022-10-21,"800,001-1,000,000",0,0,0.0
2022-10-21,"more than 1,000,001",1,15641655,96.49
