date,level,people,holding_shares,percent
2015-01-30,"1,000-5,000",3410,7095766,4.91
2015-01-30,1-999,2587,457653,0.31
2015-01-30,"10,001-15,000",172,2167095,1.49
2015-01-30,"100,001-200,000",20,2919772,2.02
2015-01-30,"15,001-20,000",102,1842536,1.27
2015-01-30,"20,001-30,000",83,2036458,1.4
2015-01-30,"200,001-400,000",9,2412906,1.66
2015-01-30,"30,001-40,000",42,1492428,1.03
2015-01-30,"40,001-50,000",32,1448588,1.0
2015-01-30,"400,001-600,000",2,889281,0.61
2015-01-30,"5,001-10,000",530,4099037,2.83
2015-01-30,"50,001-100,000",23,1634094,1.13
2015-01-30,"600,001-800,000",1,731000,0.5
2015-01-30,"800,001-1,000,000",0,0,0.0
2015-01-30,"more than 1,000,001",12,115269397,79.77
2015-01-30,total,7025,144496011,100.0
2015-02-26,"1,000-5,000",3354,6968717,4.82
2015-02-26,1-999,2586,458701,0.31
2015-02-26,"10,001-15,000",176,2217093,1.53
2015-02-26,"100,001-200,000",20,2920772,2.02
2015-02-26,"15,001-20,000",100,1811536,1.25
2015-02-26,"20,001-30,000",77,1905458,1.31
2015-02-26,"200,001-400,000",9,2473906,1.71
2015-02-26,"30,001-40,000",40,1432431,0.99
2015-02-26,"40,001-50,000",36,1634441,1.13
2015-02-26,"400,001-600,000",2,889281,0.61
2015-02-26,"5,001-10,000",522,4021037,2.78
2015-02-26,"50,001-100,000",23,1578241,1.09
2015-02-26,"600,001-800,000",1,731000,0.5
2015-02-26,"800,001-1,000,000",0,0,0.0
2015-02-26,"more than 1,000,001",12,115453397,79.9
2015-02-26,total,6958,144496011,100.0
2015-03-31,"1,000-5,000",3346,6919245,4.78
2015-03-31,1-999,2582,459672,0.31
2015-03-31,"10,001-15,000",169,2121126,1.46
2015-03-31,"100,001-200,000",21,3104089,2.14
2015-03-31,"15,001-20,000",98,1784489,1.23
2015-03-31,"20,001-30,000",79,1925495,1.33
2015-03-31,"200,001-400,000",8,1994614,1.38
2015-03-31,"30,001-40,000",41,1478218,1.02
2015-03-31,"40,001-50,000",34,1551441,1.07
