date,level,people,holding_shares,percent
2015-01-30,"1,000-5,000",9202,22149146,11.13
2015-01-30,1-999,9090,1430667,0.71
2015-01-30,"10,001-15,000",1037,12698822,6.38
2015-01-30,"100,001-200,000",110,15271657,7.67
2015-01-30,"15,001-20,000",564,10489554,5.27
2015-01-30,"20,001-30,000",505,12750032,6.41
2015-01-30,"200,001-400,000",40,11000530,5.53
2015-01-30,"30,001-40,000",245,8711408,4.38
2015-01-30,"40,001-50,000",151,7047866,3.54
2015-01-30,"400,001-600,000",12,5879027,2.95
2015-01-30,"5,001-10,000",2593,20023765,10.06
2015-01-30,"50,001-100,000",273,19562185,9.83
2015-01-30,"600,001-800,000",8,5434561,2.73
2015-01-30,"800,001-1,000,000",8,7223227,3.63
2015-01-30,"more than 1,000,001",20,39216516,19.71
2015-01-30,total,23858,198888963,100.0
2015-02-26,"1,000-5,000",9098,21943836,11.03
2015-02-26,1-999,9207,1423990,0.71
2015-02-26,"10,001-15,000",1036,12691806,6.38
2015-02-26,"100,001-200,000",112,15673487,7.88
2015-02-26,"15,001-20,000",562,10425341,5.24
2015-02-26,"20,001-30,000",506,12794869,6.43
2015-02-26,"200,001-400,000",40,11015194,5.53
2015-02-26,"30,001-40,000",239,8459401,4.25
2015-02-26,"40,001-50,000",162,7541002,3.79
2015-02-26,"400,001-600,000",15,7303002,3.67
2015-02-26,"5,001-10,000",2605,20116654,10.11
2015-02-26,"50,001-100,000",277,19927077,10.01
2015-02-26,"600,001-800,000",8,5414984,2.72
2015-02-26,"800,001-1,000,000",6,5364804,2.69
2015-02-26,"more than 1,000,001",19,38793516,19.5
2015-02-26,total,23892,198888963,100.0
2015-03-31,"1,000-5,000",8943,21611515,10.86
2015-03-31,1-999,9708,1405765,0.7
2015-03-31,"10,001-15,000",1034,12679572,6.37
2015-03-31,"100,001-200,000",112,15510852,7.79
2015-03-31,"15,001-20,000",550,10183845,5.12
2015-03-31,"20,001-30,000",508,12832616,6.45
2015-03-31,"200,001-400,000",42,11606850,5.83
2015-03-31,"30,001-40,000",238,8421244,4.23
2015-03-31,"40,001-50,000",160,7463411,3.75
2015-03-31,"400,001-600,000",11,5490967,2.76
2015-03-31,"5,001-10,000",2587,20023936,10.06
2015-03-31,"50,001-100,000",274,19403091,9.75
2015-03-31,"600,001-800,000",10,7049781,3.54
2015-03-31,"800,001-1,000,000",4,3470002,1.74
2015-03-31,"more than 1,000,001",21,41735516,20.98
2015-03-31,total,24202,198888963,100.0
2015-04-30,"1,000-5,000",8798,21268295,10.69
2015-04-30,1-999,10833,1390008,0.69
2015-04-30,"10,001-15,000",1029,12625812,6.34
2015-04-30,"100,001-200,000",117,15984955,8.03
2015-04-30,"15,001-20,000",549,10151327,5.1
2015-04-30,"20,001-30,000",510,12824681,6.44
2015-04-30,"200,001-400,000",42,11455578,5.75
2015-04-30,"30,001-40,000",236,8375843,4.21
2015-04-30,"40,001-50,000",152,7111431,3.57
2015-04-30,"400,001-600,000",13,6463849,3.24
2015-04-30,"5,001-10,000",2561,19758370,9.93
2015-04-30,"50,001-100,000",282,20129397,10.12
2015-04-30,"600,001-800,000",9,6632899,3.33
2015-04-30,"800,001-1,000,000",7,6114111,3.07
2015-04-30,"more than 1,000,001",18,38602407,19.4
2015-04-30,total,25156,198888963,100.0
2015-05-08,"1,000-5,000",8788,21243980,10.68
2015-05-08,1-999,10830,1390491,0.69
2015-05-08,"10,001-15,000",1022,12537172,6.3
2015-05-08,"100,001-200,000",120,16310567,8.2
2015-05-08,"15,001-20,000",544,10081462,5.06
2015-05-08,"20,001-30,000",513,12890486,6.48
2015-05-08,"200,001-400,000",40,10689875,5.37
2015-05-08,"30,001-40,000",236,8360499,4.2
2015-05-08,"40,001-50,000",158,7387328,3.71
2015-05-08,"400,001-600,000",14,6573849,3.3
2015-05-08,"5,001-10,000",2555,19724419,9.91
2015-05-08,"50,001-100,000",276,19699692,9.9
2015-05-08,"600,001-800,000",11,7869899,3.95
2015-05-08,"800,001-1,000,000",7,6043111,3.03
2015-05-08,"more than 1,000,001",17,38086133,19.14
2015-05-08,total,25131,198888963,100.0
2015-05-15,"1,000-5,000",8774,21202024,10.66
2015-05-15,1-999,10865,1387235,0.69
2015-05-15,"10,001-15,000",1031,12659655,6.36
2015-05-15,"100,001-200,000",119,16168567,8.12
2015-05-15,"15,001-20,000",537,9957587,5.0
2015-05-15,"20,001-30,000",516,12977944,6.52
2015-05-15,"200,001-400,000",42,11119499,5.59
2015-05-15,"30,001-40,000",233,8282213,4.16
2015-05-15,"40,001-50,000",160,7473026,3.75
2015-05-15,"400,001-600,000",13,6170011,3.1
2015-05-15,"5,001-10,000",2569,19866473,9.98
2015-05-15,"50,001-100,000",276,19744141,9.92
2015-05-15,"600,001-800,000",13,9477737,4.76
2015-05-15,"800,001-1,000,000",5,4366111,2.19
2015-05-15,"more than 1,000,001",18,38036740,19.12
2015-05-15,total,25171,198888963,100.0
2015-05-22,"1,000-5,000",8787,21257817,10.68
2015-05-22,1-999,10933,1386051,0.69
2015-05-22,"10,001-15,000",1033,12680846,6.37
2015-05-22,"100,001-200,000",115,15601567,7.84
2015-05-22,"15,001-20,000",536,9943443,4.99
2015-05-22,"20,001-30,000",524,13150538,6.61
2015-05-22,"200,001-400,000",43,11322464,5.69
2015-05-22,"30,001-40,000",231,8207089,4.12
2015-05-22,"40,001-50,000",163,7590706,3.81
2015-05-22,"400,001-600,000",13,6061011,3.04
2015-05-22,"5,001-10,000",2569,19851973,9.98
2015-05-22,"50,001-100,000",278,19942299,10.02
2015-05-22,"600,001-800,000",15,10872009,5.46
2015-05-22,"800,001-1,000,000",4,3576410,1.79
2015-05-22,"more than 1,000,001",17,37444740,18.82
2015-05-22,total,25261,198888963,100.0
2015-05-29,"1,000-5,000",8769,21190799,10.65
2015-05-29,1-999,10927,1380606,0.69
2015-05-29,"10,001-15,000",1026,12584700,6.32
2015-05-29,"100,001-200,000",115,15431567,7.75
2015-05-29,"15,001-20,000",545,10098211,5.07
2015-05-29,"20,001-30,000",513,12881854,6.47
2015-05-29,"200,001-400,000",47,12540286,6.3
2015-05-29,"30,001-40,000",244,8663694,4.35
2015-05-29,"40,001-50,000",155,7229311,3.63
2015-05-29,"400,001-600,000",11,5295011,2.66
2015-05-29,"5,001-10,000",2588,20012750,10.06
2015-05-29,"50,001-100,000",280,20046015,10.07
2015-05-29,"600,001-800,000",14,10058171,5.05
2015-05-29,"800,001-1,000,000",5,4451248,2.23
2015-05-29,"more than 1,000,001",17,37024740,18.61
2015-05-29,total,25256,198888963,100.0
2015-06-05,"1,000-5,000",8709,21053717,10.58
2015-06-05,1-999,10926,1382767,0.69
2015-06-05,"10,001-15,000",1028,12608957,6.33
2015-06-05,"100,001-200,000",117,15732996,7.91
2015-06-05,"15,001-20,000",550,10195154,5.12
2015-06-05,"20,001-30,000",514,12903838,6.48
2015-06-05,"200,001-400,000",45,12168919,6.11
2015-06-05,"30,001-40,000",240,8536729,4.29
2015-06-05,"40,001-50,000",157,7296542,3.66
2015-06-05,"400,001-600,000",12,5695967,2.86
2015-06-05,"5,001-10,000",2586,19987159,10.04
2015-06-05,"50,001-100,000",279,20019015,10.06
2015-06-05,"600,001-800,000",14,10097215,5.07
2015-06-05,"800,001-1,000,000",5,4497248,2.26
2015-06-05,"more than 1,000,001",17,36712740,18.45
2015-06-05,total,25199,198888963,100.0
2015-06-12,"1,000-5,000",8679,20965069,10.54
2015-06-12,1-999,10919,1379844,0.69
2015-06-12,"10,001-15,000",1035,12693652,6.38
2015-06-12,"100,001-200,000",118,16026125,8.05
2015-06-12,"15,001-20,000",551,10221195,5.13
2015-06-12,"20,001-30,000",513,12898325,6.48
2015-06-12,"200,001-400,000",45,12561918,6.31
2015-06-12,"30,001-40,000",240,8520536,4.28
2015-06-12,"40,001-50,000",168,7800192,3.92
2015-06-12,"400,001-600,000",11,5290011,2.65
2015-06-12,"5,001-10,000",2572,19872893,9.99
2015-06-12,"50,001-100,000",281,20332044,10.22
2015-06-12,"600,001-800,000",14,10156171,5.1
2015-06-12,"800,001-1,000,000",3,2633139,1.32
2015-06-12,"more than 1,000,001",18,37537849,18.87
2015-06-12,total,25167,198888963,100.0
2015-06-18,"1,000-5,000",8674,20971219,10.54
2015-06-18,1-999,10915,1377279,0.69
2015-06-18,"10,001-15,000",1038,12729798,6.4
2015-06-18,"100,001-200,000",117,15889513,7.98
2015-06-18,"15,001-20,000",546,10128157,5.09
2015-06-18,"20,001-30,000",524,13181993,6.62
2015-06-18,"200,001-400,000",44,12118917,6.09
2015-06-18,"30,001-40,000",238,8458177,4.25
2015-06-18,"40,001-50,000",168,7810504,3.92
2015-06-18,"400,001-600,000",11,5407011,2.71
2015-06-18,"5,001-10,000",2574,19865242,9.98
