date,level,people,holding_shares,percent
2017-11-24,"1,000-5,000",1,1000,0.0
2017-11-24,1-999,0,0,0.0
2017-11-24,"10,001-15,000",0,0,0.0
2017-11-24,"100,001-200,000",8,1320000,1.11
2017-11-24,"15,001-20,000",0,0,0.0
2017-11-24,"20,001-30,000",0,0,0.0
2017-11-24,"200,001-400,000",16,4980000,4.2
2017-11-24,"30,001-40,000",0,0,0.0
2017-11-24,"40,001-50,000",12,600000,0.5
2017-11-24,"400,001-600,000",4,1900000,1.6
2017-11-24,"5,001-10,000",0,0,0.0
2017-11-24,"50,001-100,000",3,240000,0.2
2017-11-24,"600,001-800,000",1,750000,0.63
2017-11-24,"800,001-1,000,000",5,4800000,4.05
2017-11-24,"more than 1,000,001",5,103839000,87.67
2017-11-24,total,55,118430000,100.0
2017-12-01,"1,000-5,000",60,92000,0.07
2017-12-01,1-999,6,910,0.0
2017-12-01,"10,001-15,000",5,72000,0.06
2017-12-01,"100,001-200,000",9,1457000,1.23
2017-12-01,"15,001-20,000",1,20000,0.01
2017-12-01,"20,001-30,000",1,30000,0.02
2017-12-01,"200,001-400,000",15,4723000,3.98
2017-12-01,"30,001-40,000",0,0,0.0
2017-12-01,"40,001-50,000",12,600000,0.5
2017-12-01,"400,001-600,000",4,1900000,1.6
2017-12-01,"5,001-10,000",3,30000,0.02
2017-12-01,"50,001-100,000",3,240000,0.2
2017-12-01,"600,001-800,000",2,1450000,1.22
2017-12-01,"800,001-1,000,000",5,4700300,3.96
2017-12-01,"more than 1,000,001",5,103114790,87.06
2017-12-01,total,131,118430000,100.0
2017-12-08,"1,000-5,000",59,96400,0.08
2017-12-08,1-999,7,930,0.0
2017-12-08,"10,001-15,000",4,60000,0.05
2017-12-08,"100,001-200,000",9,1452000,1.22
2017-12-08,"15,001-20,000",1,20000,0.01
2017-12-08,"20,001-30,000",1,30000,0.02
2017-12-08,"200,001-400,000",15,4723000,3.98
2017-12-08,"30,001-40,000",0,0,0.0
2017-12-08,"40,001-50,000",12,600000,0.5
2017-12-08,"400,001-600,000",4,1900000,1.6
