date,level,people,holding_shares,percent
2015-01-30,"1,000-5,000",3519,6778491,2.26
2015-01-30,1-999,7949,1340450,0.44
2015-01-30,"10,001-15,000",180,2201493,0.73
2015-01-30,"100,001-200,000",86,12343657,4.12
2015-01-30,"15,001-20,000",79,1392498,0.46
2015-01-30,"20,001-30,000",96,2369300,0.79
2015-01-30,"200,001-400,000",81,23544074,7.87
2015-01-30,"30,001-40,000",57,1968104,0.65
2015-01-30,"40,001-50,000",51,2298484,0.76
2015-01-30,"400,001-600,000",25,12010076,4.01
2015-01-30,"5,001-10,000",475,3312883,1.1
2015-01-30,"50,001-100,000",103,7467113,2.49
2015-01-30,"600,001-800,000",21,14264822,4.77
2015-01-30,"800,001-1,000,000",20,18020425,6.02
2015-01-30,"more than 1,000,001",55,189671930,63.43
2015-01-30,total,12797,298983800,100.0
2015-02-26,"1,000-5,000",2996,5778759,1.93
2015-02-26,1-999,8211,1363007,0.45
2015-02-26,"10,001-15,000",161,1974367,0.66
2015-02-26,"100,001-200,000",81,11585432,3.87
2015-02-26,"15,001-20,000",62,1077133,0.36
2015-02-26,"20,001-30,000",100,2466683,0.82
2015-02-26,"200,001-400,000",86,24844476,8.3
2015-02-26,"30,001-40,000",58,1989947,0.66
2015-02-26,"40,001-50,000",46,2080227,0.69
2015-02-26,"400,001-600,000",32,15630763,5.22
2015-02-26,"5,001-10,000",424,2946421,0.98
2015-02-26,"50,001-100,000",109,7998945,2.67
2015-02-26,"600,001-800,000",23,15726847,5.26
2015-02-26,"800,001-1,000,000",14,12614484,4.21
2015-02-26,"more than 1,000,001",57,190906309,63.85
2015-02-26,total,12460,298983800,100.0
2015-03-31,"1,000-5,000",3406,6533968,2.18
2015-03-31,1-999,8439,1327312,0.44
2015-03-31,"10,001-15,000",174,2131571,0.71
2015-03-31,"100,001-200,000",89,12609621,4.21
2015-03-31,"15,001-20,000",77,1360123,0.45
2015-03-31,"20,001-30,000",95,2331508,0.77
2015-03-31,"200,001-400,000",78,22779833,7.61
2015-03-31,"30,001-40,000",59,2018897,0.67
2015-03-31,"40,001-50,000",45,2032407,0.67
2015-03-31,"400,001-600,000",30,14508719,4.85
2015-03-31,"5,001-10,000",448,3150858,1.05
2015-03-31,"50,001-100,000",96,6912998,2.31
2015-03-31,"600,001-800,000",24,16681270,5.57
2015-03-31,"800,001-1,000,000",17,15369845,5.14
2015-03-31,"more than 1,000,001",55,189234870,63.29
2015-03-31,total,13132,298983800,100.0
2015-04-30,"1,000-5,000",3330,6440347,2.15
2015-04-30,1-999,9215,1318088,0.44
2015-04-30,"10,001-15,000",173,2131888,0.71
2015-04-30,"100,001-200,000",83,11979198,4.0
2015-04-30,"15,001-20,000",76,1349637,0.45
2015-04-30,"20,001-30,000",97,2389118,0.79
2015-04-30,"200,001-400,000",85,24646396,8.24
2015-04-30,"30,001-40,000",56,1937847,0.64
2015-04-30,"40,001-50,000",43,1940944,0.64
2015-04-30,"400,001-600,000",29,14535589,4.86
2015-04-30,"5,001-10,000",450,3188400,1.06
2015-04-30,"50,001-100,000",116,8336962,2.78
2015-04-30,"600,001-800,000",26,17686601,5.91
2015-04-30,"800,001-1,000,000",17,15442288,5.16
2015-04-30,"more than 1,000,001",53,185660497,62.09
2015-04-30,total,13849,298983800,100.0
2015-05-08,"1,000-5,000",3466,6672065,2.23
2015-05-08,1-999,9146,1313819,0.43
2015-05-08,"10,001-15,000",178,2196388,0.73
2015-05-08,"100,001-200,000",89,12867797,4.3
2015-05-08,"15,001-20,000",81,1444337,0.48
2015-05-08,"20,001-30,000",92,2245468,0.75
2015-05-08,"200,001-400,000",80,23442392,7.84
2015-05-08,"30,001-40,000",55,1896647,0.63
2015-05-08,"40,001-50,000",46,2059158,0.68
2015-05-08,"400,001-600,000",28,14268096,4.77
2015-05-08,"5,001-10,000",470,3336701,1.11
2015-05-08,"50,001-100,000",116,8353155,2.79
2015-05-08,"600,001-800,000",23,15843995,5.29
2015-05-08,"800,001-1,000,000",16,14442288,4.83
2015-05-08,"more than 1,000,001",56,188601494,63.08
2015-05-08,total,13942,298983800,100.0
2015-05-15,"1,000-5,000",3624,7016961,2.34
2015-05-15,1-999,9113,1312741,0.43
2015-05-15,"10,001-15,000",180,2243063,0.75
2015-05-15,"100,001-200,000",84,12077412,4.03
2015-05-15,"15,001-20,000",81,1432242,0.47
2015-05-15,"20,001-30,000",96,2349251,0.78
2015-05-15,"200,001-400,000",76,21740264,7.27
