date,level,people,holding_shares,percent
2017-10-06,"1,000-5,000",258,547558,2.19
2017-10-06,1-999,641,8600,0.03
2017-10-06,"10,001-15,000",46,580876,2.32
2017-10-06,"100,001-200,000",12,1750704,7.01
2017-10-06,"15,001-20,000",24,424271,1.7
2017-10-06,"20,001-30,000",32,805785,3.22
2017-10-06,"200,001-400,000",13,3856822,15.45
2017-10-06,"30,001-40,000",13,456163,1.82
2017-10-06,"40,001-50,000",7,320898,1.28
2017-10-06,"400,001-600,000",5,2360595,9.45
2017-10-06,"5,001-10,000",67,538335,2.15
2017-10-06,"50,001-100,000",32,2299129,9.21
2017-10-06,"600,001-800,000",4,2473800,9.91
2017-10-06,"800,001-1,000,000",4,3614066,14.48
2017-10-06,"more than 1,000,001",3,4918789,19.7
2017-10-06,total,1161,24956391,100.0
2017-10-13,"1,000-5,000",264,549725,2.2
2017-10-13,1-999,658,9525,0.03
2017-10-13,"10,001-15,000",48,609106,2.44
2017-10-13,"100,001-200,000",12,1743704,6.98
2017-10-13,"15,001-20,000",23,410245,1.64
2017-10-13,"20,001-30,000",31,771785,3.09
2017-10-13,"200,001-400,000",13,3856822,15.45
2017-10-13,"30,001-40,000",13,454163,1.81
2017-10-13,"40,001-50,000",8,362898,1.45
2017-10-13,"400,001-600,000",6,2949164,11.81
2017-10-13,"5,001-10,000",68,545835,2.18
2017-10-13,"50,001-100,000",32,2287333,9.16
2017-10-13,"600,001-800,000",3,1873231,7.5
2017-10-13,"800,001-1,000,000",4,3614066,14.48
2017-10-13,"more than 1,000,001",3,4918789,19.7
2017-10-13,total,1186,24956391,100.0
2017-10-27,"1,000-5,000",262,543919,2.17
2017-10-27,1-999,669,8144,0.03
2017-10-27,"10,001-15,000",49,616446,2.47
2017-10-27,"100,001-200,000",12,1739446,6.96
2017-10-27,"15,001-20,000",24,430769,1.72
2017-10-27,"20,001-30,000",32,793785,3.18
2017-10-27,"200,001-400,000",13,3856822,15.45
2017-10-27,"30,001-40,000",14,498163,1.99
2017-10-27,"40,001-50,000",7,322898,1.29
2017-10-27,"400,001-600,000",6,2944164,11.79
2017-10-27,"5,001-10,000",70,554835,2.22
2017-10-27,"50,001-100,000",31,2243449,8.98
2017-10-27,"600,001-800,000",3,1873231,7.5
2017-10-27,"800,001-1,000,000",4,3611531,14.47
2017-10-27,"more than 1,000,001",3,4918789,19.7
2017-10-27,total,1199,24956391,100.0
2017-11-10,"1,000-5,000",270,560219,2.24
2017-11-10,1-999,680,8725,0.03
2017-11-10,"10,001-15,000",47,590579,2.36
2017-11-10,"100,001-200,000",11,1637704,6.56
2017-11-10,"15,001-20,000",25,450245,1.8
2017-11-10,"20,001-30,000",32,793209,3.17
2017-11-10,"200,001-400,000",13,3856822,15.45
2017-11-10,"30,001-40,000",14,498163,1.99
2017-11-10,"40,001-50,000",7,322898,1.29
2017-11-10,"400,001-600,000",6,2944164,11.79
2017-11-10,"5,001-10,000",72,572835,2.29
2017-11-10,"50,001-100,000",32,2308277,9.24
2017-11-10,"600,001-800,000",3,1882231,7.54
2017-11-10,"800,001-1,000,000",4,3611531,14.47
2017-11-10,"more than 1,000,001",3,4918789,19.7
2017-11-10,total,1219,24956391,100.0
2017-11-17,"1,000-5,000",271,568219,2.27
2017-11-17,1-999,683,8737,0.03
2017-11-17,"10,001-15,000",45,566580,2.27
2017-11-17,"100,001-200,000",11,1638704,6.56
2017-11-17,"15,001-20,000",25,450245,1.8
2017-11-17,"20,001-30,000",32,793209,3.17
2017-11-17,"200,001-400,000",13,3853822,15.44
2017-11-17,"30,001-40,000",14,498163,1.99
2017-11-17,"40,001-50,000",8,368900,1.47
2017-11-17,"400,001-600,000",6,2948164,11.81
2017-11-17,"5,001-10,000",74,591035,2.36
2017-11-17,"50,001-100,000",31,2225062,8.91
2017-11-17,"600,001-800,000",3,1915231,7.67
2017-11-17,"800,001-1,000,000",4,3611531,14.47
2017-11-17,"more than 1,000,001",3,4918789,19.7
2017-11-17,total,1223,24956391,100.0
2017-11-24,"1,000-5,000",280,584219,2.34
2017-11-24,1-999,697,8452,0.03
2017-11-24,"10,001-15,000",44,560780,2.24
2017-11-24,"100,001-200,000",11,1645704,6.59
2017-11-24,"15,001-20,000",25,450245,1.8
2017-11-24,"20,001-30,000",32,797208,3.19
2017-11-24,"200,001-400,000",14,4248822,17.02
2017-11-24,"30,001-40,000",16,571163,2.28
2017-11-24,"40,001-50,000",5,228898,0.91
2017-11-24,"400,001-600,000",6,3146164,12.6
2017-11-24,"5,001-10,000",75,596035,2.38
2017-11-24,"50,001-100,000",33,2333150,9.34
2017-11-24,"600,001-800,000",2,1255231,5.02
2017-11-24,"800,001-1,000,000",4,3611531,14.47
2017-11-24,"more than 1,000,001",3,4918789,19.7
2017-11-24,total,1247,24956391,100.0
2017-12-08,"1,000-5,000",282,597420,2.39
2017-12-08,1-999,713,8468,0.03
2017-12-08,"10,001-15,000",44,559980,2.24
2017-12-08,"100,001-200,000",12,1775704,7.11
2017-12-08,"15,001-20,000",26,473245,1.89
2017-12-08,"20,001-30,000",32,799208,3.2
2017-12-08,"200,001-400,000",14,4240822,16.99
2017-12-08,"30,001-40,000",15,535163,2.14
2017-12-08,"40,001-50,000",6,278801,1.11
2017-12-08,"400,001-600,000",6,3078164,12.33
2017-12-08,"5,001-10,000",75,600035,2.4
2017-12-08,"50,001-100,000",31,2223830,8.91
2017-12-08,"600,001-800,000",2,1255231,5.02
2017-12-08,"800,001-1,000,000",4,3611531,14.47
