date,level,people,holding_shares,percent
2017-03-31,"1,000-5,000",1841,3123588,9.73
2017-03-31,1-999,105,22891,0.07
2017-03-31,"10,001-15,000",67,828045,2.57
2017-03-31,"100,001-200,000",27,3670891,11.43
2017-03-31,"15,001-20,000",37,667152,2.07
2017-03-31,"20,001-30,000",43,1097820,3.41
2017-03-31,"200,001-400,000",13,3800264,11.83
2017-03-31,"30,001-40,000",15,533645,1.66
2017-03-31,"40,001-50,000",19,868796,2.7
2017-03-31,"400,001-600,000",4,1942156,6.04
2017-03-31,"5,001-10,000",174,1396719,4.35
2017-03-31,"50,001-100,000",40,2827074,8.8
2017-03-31,"600,001-800,000",1,784924,2.44
2017-03-31,"800,001-1,000,000",3,2795230,8.7
2017-03-31,"more than 1,000,001",5,7743195,24.12
2017-03-31,total,2394,32102390,100.0
2017-04-07,"1,000-5,000",1749,3053448,9.51
2017-04-07,1-999,112,24738,0.07
2017-04-07,"10,001-15,000",65,802235,2.49
2017-04-07,"100,001-200,000",27,3745135,11.66
2017-04-07,"15,001-20,000",35,625475,1.94
2017-04-07,"20,001-30,000",39,980820,3.05
2017-04-07,"200,001-400,000",13,3801264,11.84
2017-04-07,"30,001-40,000",17,595601,1.85
2017-04-07,"40,001-50,000",17,764596,2.38
2017-04-07,"400,001-600,000",4,1942156,6.04
2017-04-07,"5,001-10,000",186,1504499,4.68
2017-04-07,"50,001-100,000",43,3004074,9.35
2017-04-07,"600,001-800,000",1,784924,2.44
2017-04-07,"800,001-1,000,000",3,2730230,8.5
2017-04-07,"more than 1,000,001",5,7743195,24.12
2017-04-07,total,2316,32102390,100.0
2017-04-14,"1,000-5,000",1953,3397556,10.58
2017-04-14,1-999,138,27300,0.08
2017-04-14,"10,001-15,000",72,891290,2.77
2017-04-14,"100,001-200,000",27,3661135,11.4
2017-04-14,"15,001-20,000",36,646053,2.01
2017-04-14,"20,001-30,000",42,1062645,3.31
2017-04-14,"200,001-400,000",13,3761264,11.71
2017-04-14,"30,001-40,000",19,654749,2.03
2017-04-14,"40,001-50,000",14,635554,1.97
2017-04-14,"400,001-600,000",4,1942156,6.04
2017-04-14,"5,001-10,000",199,1605316,5.0
2017-04-14,"50,001-100,000",39,2734023,8.51
2017-04-14,"600,001-800,000",2,1549924,4.82
2017-04-14,"800,001-1,000,000",3,2793770,8.7
2017-04-14,"more than 1,000,001",4,6739655,20.99
2017-04-14,total,2565,32102390,100.0
2017-04-21,"1,000-5,000",1881,3303703,10.29
2017-04-21,1-999,138,26618,0.08
2017-04-21,"10,001-15,000",73,915340,2.85
2017-04-21,"100,001-200,000",27,3709135,11.55
2017-04-21,"15,001-20,000",33,593963,1.85
2017-04-21,"20,001-30,000",42,1061895,3.3
2017-04-21,"200,001-400,000",13,3716264,11.57
2017-04-21,"30,001-40,000",19,651539,2.02
2017-04-21,"40,001-50,000",13,578554,1.8
2017-04-21,"400,001-600,000",4,1942156,6.04
2017-04-21,"5,001-10,000",208,1666851,5.19
2017-04-21,"50,001-100,000",41,2888023,8.99
2017-04-21,"600,001-800,000",2,1514924,4.71
2017-04-21,"800,001-1,000,000",3,2793770,8.7
2017-04-21,"more than 1,000,001",4,6739655,20.99
2017-04-21,total,2501,32102390,100.0
2017-04-28,"1,000-5,000",1850,3246651,10.11
2017-04-28,1-999,140,25868,0.08
2017-04-28,"10,001-15,000",74,915190,2.85
2017-04-28,"100,001-200,000",26,3563135,11.09
2017-04-28,"15,001-20,000",32,581963,1.81
2017-04-28,"20,001-30,000",43,1083855,3.37
2017-04-28,"200,001-400,000",14,3924264,12.22
2017-04-28,"30,001-40,000",18,603539,1.88
2017-04-28,"40,001-50,000",14,630554,1.96
2017-04-28,"400,001-600,000",4,1942156,6.04
2017-04-28,"5,001-10,000",213,1692843,5.27
2017-04-28,"50,001-100,000",42,2975023,9.26
2017-04-28,"600,001-800,000",3,2219954,6.91
2017-04-28,"800,001-1,000,000",2,1957740,6.09
2017-04-28,"more than 1,000,001",4,6739655,20.99
2017-04-28,total,2479,32102390,100.0
2017-05-05,"1,000-5,000",1839,3265320,10.17
2017-05-05,1-999,136,24561,0.07
2017-05-05,"10,001-15,000",72,892520,2.78
2017-05-05,"100,001-200,000",26,3595135,11.19
2017-05-05,"15,001-20,000",34,621053,1.93
2017-05-05,"20,001-30,000",42,1060905,3.3
2017-05-05,"200,001-400,000",14,3924264,12.22
2017-05-05,"30,001-40,000",18,593339,1.84
2017-05-05,"40,001-50,000",15,673554,2.09
2017-05-05,"400,001-600,000",4,1942156,6.04
2017-05-05,"5,001-10,000",212,1680211,5.23
2017-05-05,"50,001-100,000",41,2935023,9.14
2017-05-05,"600,001-800,000",3,2219954,6.91
2017-05-05,"800,001-1,000,000",2,1957740,6.09
2017-05-05,"more than 1,000,001",4,6716655,20.92
2017-05-05,total,2462,32102390,100.0
2017-05-12,"1,000-5,000",1832,3302376,10.28
2017-05-12,1-999,136,25591,0.07
2017-05-12,"10,001-15,000",80,1003431,3.12
2017-05-12,"100,001-200,000",27,3721135,11.59
2017-05-12,"15,001-20,000",36,659053,2.05
2017-05-12,"20,001-30,000",41,1041994,3.24
2017-05-12,"200,001-400,000",14,3925264,12.22
2017-05-12,"30,001-40,000",16,541339,1.68
2017-05-12,"40,001-50,000",13,588554,1.83
2017-05-12,"400,001-600,000",5,2511156,7.82
2017-05-12,"5,001-10,000",209,1672125,5.2
2017-05-12,"50,001-100,000",41,2895023,9.01
2017-05-12,"600,001-800,000",2,1554954,4.84
2017-05-12,"800,001-1,000,000",2,1957740,6.09
2017-05-12,"more than 1,000,001",4,6702655,20.87
2017-05-12,total,2458,32102390,100.0
2017-05-19,"1,000-5,000",1797,3249088,10.12
2017-05-19,1-999,138,26019,0.08
2017-05-19,"10,001-15,000",80,1007891,3.14
2017-05-19,"100,001-200,000",26,3627135,11.3
2017-05-19,"15,001-20,000",34,618593,1.92
2017-05-19,"20,001-30,000",47,1177006,3.66
