date,level,people,holding_shares,percent
2015-01-30,"1,000-5,000",2459,5290470,10.58
2015-01-30,1-999,6454,1503418,3.0
2015-01-30,"10,001-15,000",128,1582064,3.16
2015-01-30,"100,001-200,000",24,3662709,7.32
2015-01-30,"15,001-20,000",86,1617885,3.23
2015-01-30,"20,001-30,000",72,1831242,3.66
2015-01-30,"200,001-400,000",11,2873215,5.74
2015-01-30,"30,001-40,000",39,1372139,2.74
2015-01-30,"40,001-50,000",30,1345979,2.69
2015-01-30,"400,001-600,000",6,2820497,5.64
2015-01-30,"5,001-10,000",415,3283617,6.56
2015-01-30,"50,001-100,000",43,3086642,6.17
2015-01-30,"600,001-800,000",6,4198613,8.39
2015-01-30,"800,001-1,000,000",2,1927842,3.85
2015-01-30,"more than 1,000,001",7,13603668,27.2
2015-01-30,total,9782,50000000,100.0
2015-02-26,"1,000-5,000",2332,5021717,10.04
2015-02-26,1-999,6438,1498548,2.99
2015-02-26,"10,001-15,000",120,1486135,2.97
2015-02-26,"100,001-200,000",24,3615709,7.23
2015-02-26,"15,001-20,000",94,1760295,3.52
2015-02-26,"20,001-30,000",67,1702163,3.4
2015-02-26,"200,001-400,000",12,3159215,6.31
2015-02-26,"30,001-40,000",35,1236808,2.47
2015-02-26,"40,001-50,000",28,1237793,2.47
2015-02-26,"400,001-600,000",4,1900497,3.8
2015-02-26,"5,001-10,000",395,3109169,6.21
2015-02-26,"50,001-100,000",41,2962828,5.92
2015-02-26,"600,001-800,000",5,3528613,7.05
2015-02-26,"800,001-1,000,000",2,1853941,3.7
2015-02-26,"more than 1,000,001",9,15926569,31.85
2015-02-26,total,9606,50000000,100.0
2015-03-31,"1,000-5,000",2293,4950292,9.9
2015-03-31,1-999,6398,1486670,2.97
2015-03-31,"10,001-15,000",120,1479184,2.95
2015-03-31,"100,001-200,000",22,3228709,6.45
2015-03-31,"15,001-20,000",90,1677885,3.35
2015-03-31,"20,001-30,000",60,1506336,3.01
2015-03-31,"200,001-400,000",15,3943215,7.88
2015-03-31,"30,001-40,000",38,1343205,2.68
2015-03-31,"40,001-50,000",29,1292761,2.58
2015-03-31,"400,001-600,000",4,1887497,3.77
2015-03-31,"5,001-10,000",374,2942295,5.88
2015-03-31,"50,001-100,000",41,2959828,5.91
2015-03-31,"600,001-800,000",5,3472613,6.94
2015-03-31,"800,001-1,000,000",2,1853941,3.7
2015-03-31,"more than 1,000,001",9,15975569,31.95
2015-03-31,total,9500,50000000,100.0
2015-04-30,"1,000-5,000",2228,4781656,9.56
2015-04-30,1-999,6380,1480263,2.96
2015-04-30,"10,001-15,000",117,1433184,2.86
2015-04-30,"100,001-200,000",21,3148709,6.29
2015-04-30,"15,001-20,000",86,1605885,3.21
2015-04-30,"20,001-30,000",57,1422336,2.84
2015-04-30,"200,001-400,000",14,3569215,7.13
2015-04-30,"30,001-40,000",36,1275205,2.55
2015-04-30,"40,001-50,000",28,1260761,2.52
2015-04-30,"400,001-600,000",4,1959497,3.91
2015-04-30,"5,001-10,000",372,2922387,5.84
2015-04-30,"50,001-100,000",44,3154779,6.3
2015-04-30,"600,001-800,000",6,4186613,8.37
2015-04-30,"800,001-1,000,000",3,2807941,5.61
2015-04-30,"more than 1,000,001",8,14991569,29.98
2015-04-30,total,9404,50000000,100.0
2015-05-08,"1,000-5,000",2225,4774148,9.54
2015-05-08,1-999,6371,1475771,2.95
2015-05-08,"10,001-15,000",115,1413184,2.82
2015-05-08,"100,001-200,000",21,3152709,6.3
2015-05-08,"15,001-20,000",87,1620885,3.24
2015-05-08,"20,001-30,000",58,1452336,2.9
2015-05-08,"200,001-400,000",14,3559215,7.11
2015-05-08,"30,001-40,000",36,1281205,2.56
2015-05-08,"40,001-50,000",26,1155761,2.31
2015-05-08,"400,001-600,000",4,2069497,4.13
2015-05-08,"5,001-10,000",372,2914387,5.82
2015-05-08,"50,001-100,000",44,3114779,6.22
2015-05-08,"600,001-800,000",6,4218613,8.43
2015-05-08,"800,001-1,000,000",3,2807941,5.61
2015-05-08,"more than 1,000,001",8,14989569,29.97
2015-05-08,total,9390,50000000,100.0
2015-05-15,"1,000-5,000",2215,4743431,9.48
2015-05-15,1-999,6366,1474488,2.94
2015-05-15,"10,001-15,000",112,1372184,2.74
2015-05-15,"100,001-200,000",22,3339709,6.67
2015-05-15,"15,001-20,000",89,1654885,3.3
2015-05-15,"20,001-30,000",60,1497656,2.99
2015-05-15,"200,001-400,000",13,3348215,6.69
2015-05-15,"30,001-40,000",33,1181885,2.36
2015-05-15,"40,001-50,000",29,1295712,2.59
2015-05-15,"400,001-600,000",3,1479288,2.95
2015-05-15,"5,001-10,000",367,2875387,5.75
2015-05-15,"50,001-100,000",41,2947828,5.89
2015-05-15,"600,001-800,000",6,4195822,8.39
2015-05-15,"800,001-1,000,000",5,4608941,9.21
2015-05-15,"more than 1,000,001",7,13984569,27.96
2015-05-15,total,9368,50000000,100.0
2015-05-22,"1,000-5,000",2212,4728474,9.45
2015-05-22,1-999,6359,1472605,2.94
2015-05-22,"10,001-15,000",108,1323184,2.64
2015-05-22,"100,001-200,000",21,3209709,6.41
2015-05-22,"15,001-20,000",89,1660885,3.32
2015-05-22,"20,001-30,000",60,1498656,2.99
2015-05-22,"200,001-400,000",13,3366215,6.73
2015-05-22,"30,001-40,000",34,1215885,2.43
2015-05-22,"40,001-50,000",26,1147712,2.29
2015-05-22,"400,001-600,000",4,2067288,4.13
2015-05-22,"5,001-10,000",367,2871227,5.74
2015-05-22,"50,001-100,000",43,3076828,6.15
2015-05-22,"600,001-800,000",4,2838613,5.67
2015-05-22,"800,001-1,000,000",6,5538150,11.07
2015-05-22,"more than 1,000,001",7,13984569,27.96
2015-05-22,total,9353,50000000,100.0
2015-05-29,"1,000-5,000",2191,4680429,9.36
2015-05-29,1-999,6353,1472099,2.94
2015-05-29,"10,001-15,000",107,1308735,2.61
2015-05-29,"100,001-200,000",21,3203709,6.4
2015-05-29,"15,001-20,000",90,1682885,3.36
2015-05-29,"20,001-30,000",60,1496656,2.99
2015-05-29,"200,001-400,000",13,3366215,6.73
