date,level,people,holding_shares,percent
2015-01-30,"1,000-5,000",14554,29878887,9.31
2015-01-30,1-999,13618,1566728,0.48
2015-01-30,"10,001-15,000",950,11101055,3.46
2015-01-30,"100,001-200,000",93,12699446,3.96
2015-01-30,"15,001-20,000",441,7890624,2.46
2015-01-30,"20,001-30,000",418,10244588,3.19
2015-01-30,"200,001-400,000",57,16406439,5.11
2015-01-30,"30,001-40,000",165,5724798,1.78
2015-01-30,"40,001-50,000",119,5514296,1.71
2015-01-30,"400,001-600,000",17,8353417,2.6
2015-01-30,"5,001-10,000",2664,19221580,5.99
2015-01-30,"50,001-100,000",239,16726886,5.21
2015-01-30,"600,001-800,000",14,9650866,3.0
2015-01-30,"800,001-1,000,000",15,13694987,4.27
2015-01-30,"more than 1,000,001",58,151994406,47.39
2015-01-30,total,33422,320669003,100.0
2015-02-26,"1,000-5,000",13703,27619287,8.61
2015-02-26,1-999,13769,1564770,0.48
2015-02-26,"10,001-15,000",897,10431545,3.25
2015-02-26,"100,001-200,000",94,12910333,4.02
2015-02-26,"15,001-20,000",398,7117502,2.21
2015-02-26,"20,001-30,000",390,9503709,2.96
2015-02-26,"200,001-400,000",52,14780355,4.6
2015-02-26,"30,001-40,000",168,5869456,1.83
2015-02-26,"40,001-50,000",109,5047587,1.57
2015-02-26,"400,001-600,000",28,13504724,4.21
2015-02-26,"5,001-10,000",2449,17508693,5.46
2015-02-26,"50,001-100,000",209,14708402,4.58
2015-02-26,"600,001-800,000",16,11102410,3.46
2015-02-26,"800,001-1,000,000",10,9067435,2.82
2015-02-26,"more than 1,000,001",54,159932795,49.87
2015-02-26,total,32346,320669003,100.0
2015-03-31,"1,000-5,000",13937,28534066,8.89
2015-03-31,1-999,14160,1546283,0.48
2015-03-31,"10,001-15,000",957,11250169,3.5
2015-03-31,"100,001-200,000",94,12984896,4.04
2015-03-31,"15,001-20,000",423,7593389,2.36
2015-03-31,"20,001-30,000",404,9860104,3.07
2015-03-31,"200,001-400,000",56,15768906,4.91
2015-03-31,"30,001-40,000",176,6098972,1.9
2015-03-31,"40,001-50,000",141,6545113,2.04
2015-03-31,"400,001-600,000",29,14433823,4.5
2015-03-31,"5,001-10,000",2586,18720225,5.83
2015-03-31,"50,001-100,000",217,15422614,4.8
2015-03-31,"600,001-800,000",9,6370138,1.98
2015-03-31,"800,001-1,000,000",14,12906665,4.02
2015-03-31,"more than 1,000,001",48,152633640,47.59
2015-03-31,total,33251,320669003,100.0
2015-04-30,"1,000-5,000",13647,27898033,8.69
2015-04-30,1-999,14404,1537191,0.47
2015-04-30,"10,001-15,000",910,10657445,3.32
2015-04-30,"100,001-200,000",105,14486672,4.51
2015-04-30,"15,001-20,000",422,7573629,2.36
2015-04-30,"20,001-30,000",395,9593519,2.99
2015-04-30,"200,001-400,000",51,14062511,4.38
2015-04-30,"30,001-40,000",181,6314592,1.96
2015-04-30,"40,001-50,000",120,5579582,1.73
2015-04-30,"400,001-600,000",32,15398656,4.8
2015-04-30,"5,001-10,000",2521,18207039,5.67
2015-04-30,"50,001-100,000",220,15435695,4.81
2015-04-30,"600,001-800,000",17,11952138,3.72
2015-04-30,"800,001-1,000,000",10,9043279,2.82
2015-04-30,"more than 1,000,001",43,152929022,47.69
2015-04-30,total,33078,320669003,100.0
2015-05-08,"1,000-5,000",13863,28353640,8.84
2015-05-08,1-999,14395,1536985,0.47
2015-05-08,"10,001-15,000",907,10622755,3.31
2015-05-08,"100,001-200,000",99,13757076,4.29
2015-05-08,"15,001-20,000",436,7838480,2.44
2015-05-08,"20,001-30,000",400,9736941,3.03
2015-05-08,"200,001-400,000",56,15786373,4.92
2015-05-08,"30,001-40,000",178,6203216,1.93
2015-05-08,"40,001-50,000",118,5470582,1.7
2015-05-08,"400,001-600,000",30,14596422,4.55
2015-05-08,"5,001-10,000",2552,18497832,5.76
2015-05-08,"50,001-100,000",211,14736949,4.59
2015-05-08,"600,001-800,000",16,11232325,3.5
2015-05-08,"800,001-1,000,000",7,6484092,2.02
2015-05-08,"more than 1,000,001",43,155815335,48.59
2015-05-08,total,33311,320669003,100.0
2015-05-15,"1,000-5,000",14029,28778686,8.97
2015-05-15,1-999,14397,1535418,0.47
2015-05-15,"10,001-15,000",934,10979402,3.42
2015-05-15,"100,001-200,000",95,12842956,4.0
2015-05-15,"15,001-20,000",437,7851607,2.44
2015-05-15,"20,001-30,000",413,10123453,3.15
2015-05-15,"200,001-400,000",61,17175135,5.35
2015-05-15,"30,001-40,000",178,6211353,1.93
2015-05-15,"40,001-50,000",121,5629932,1.75
2015-05-15,"400,001-600,000",25,12012036,3.74
2015-05-15,"5,001-10,000",2599,18833488,5.87
2015-05-15,"50,001-100,000",218,15304785,4.77
2015-05-15,"600,001-800,000",14,9829325,3.06
2015-05-15,"800,001-1,000,000",11,10002092,3.11
2015-05-15,"more than 1,000,001",42,153559335,47.88
2015-05-15,total,33574,320669003,100.0
2015-05-22,"1,000-5,000",14094,28970225,9.03
2015-05-22,1-999,14450,1531824,0.47
2015-05-22,"10,001-15,000",943,11122773,3.46
2015-05-22,"100,001-200,000",92,12316276,3.84
2015-05-22,"15,001-20,000",451,8109802,2.52
2015-05-22,"20,001-30,000",409,9988423,3.11
2015-05-22,"200,001-400,000",62,17529429,5.46
2015-05-22,"30,001-40,000",185,6451406,2.01
2015-05-22,"40,001-50,000",122,5672980,1.76
2015-05-22,"400,001-600,000",24,11578422,3.61
2015-05-22,"5,001-10,000",2639,19106246,5.95
2015-05-22,"50,001-100,000",218,15250445,4.75
2015-05-22,"600,001-800,000",15,10636325,3.31
2015-05-22,"800,001-1,000,000",9,8338248,2.6
2015-05-22,"more than 1,000,001",43,154066179,48.04
2015-05-22,total,33756,320669003,100.0
2015-05-29,"1,000-5,000",14631,30258045,9.43
2015-05-29,1-999,14398,1525515,0.47
2015-05-29,"10,001-15,000",977,11536189,3.59
2015-05-29,"100,001-200,000",103,14100800,4.39
2015-05-29,"15,001-20,000",475,8566952,2.67
2015-05-29,"20,001-30,000",435,10667313,3.32
2015-05-29,"200,001-400,000",53,15152153,4.72
2015-05-29,"30,001-40,000",185,6429905,2.0
2015-05-29,"40,001-50,000",127,5941932,1.85
2015-05-29,"400,001-600,000",22,11003036,3.43
2015-05-29,"5,001-10,000",2759,20070303,6.25
2015-05-29,"50,001-100,000",228,16071722,5.01
2015-05-29,"600,001-800,000",15,10231325,3.19
2015-05-29,"800,001-1,000,000",10,8997478,2.8
2015-05-29,"more than 1,000,001",41,150116335,46.81
2015-05-29,total,34459,320669003,100.0
2015-06-05,"1,000-5,000",14672,30505433,9.51
2015-06-05,1-999,14360,1519028,0.47
2015-06-05,"10,001-15,000",993,11746794,3.66
2015-06-05,"100,001-200,000",106,14316790,4.46
2015-06-05,"15,001-20,000",487,8774629,2.73
2015-06-05,"20,001-30,000",454,11208021,3.49
2015-06-05,"200,001-400,000",48,13527777,4.21
2015-06-05,"30,001-40,000",183,6374386,1.98
2015-06-05,"40,001-50,000",123,5739316,1.78
2015-06-05,"400,001-600,000",27,13109343,4.08
2015-06-05,"5,001-10,000",2812,20529870,6.4
2015-06-05,"50,001-100,000",240,16850478,5.25
